Integration Number,Time (s),Max Area Error
0,0.515000,439.146830184488
1,0.219000,240.1380076010197
2,0.169000,148.8441851280832
3,0.169000,89.40668771846099
4,0.206000,70.50898475599729
5,0.198000,41.41329030302223
6,0.218000,21.48188819318557
7,0.203000,5.779028058165913
8,0.164000,0.9209559035011263
9,0.137000,0.826602838796344
10,0.123000,0.8243753752978401
11,0.128000,0.7893296529457657
12,0.143000,0.7517525326353502
13,0.130000,0.6872331639501951
14,0.144000,0.6120326218646135
15,0.120000,0.5509506960812471
16,0.120000,0.4569557268397029
17,0.124000,0.3939423505717222
18,0.118000,0.3296873590950132
19,0.106000,0.277935724052901
20,0.142000,0.2165967847213255
21,0.152000,0.2707315118471667
22,0.282000,0.32667830947138
23,0.741000,0.03150690285402302
24,0.823000,0.08368477185315459
25,0.932000,0.1294490382039798
26,1.081000,0.02879588856072823
27,0.609000,0.00445824693153074
