Integration Number,Time (s),Max Area Error
0,0.384000,54.87146498515003
1,0.185000,19.45772344335955
2,0.185000,9.440440322909142
3,0.172000,5.260560594884669
4,0.178000,2.70382353135876
5,0.184000,2.599078957601753
6,0.178000,1.743810528332581
7,0.145000,0.9577220264333579
8,0.139000,0.8961394037628103
9,0.138000,0.8957182847626345
10,0.239000,0.8319731845258589
11,0.204000,0.7359727541632347
12,0.201000,0.5656929632900303
13,0.208000,0.2852943993434833
14,0.227000,0.1575882858669558
15,0.189000,0.07208166771674696
16,0.212000,0.04848527007913606
17,0.224000,0.02401184811875823
18,0.204000,0.01148296190909859
19,0.182000,0.005472987444840038
