Integration Number,Time (s),Max Area Error
0,0.446000,31.6558287619317
1,0.291000,15.19708644354375
2,0.305000,12.9000591348005
3,0.280000,9.384304028144275
4,0.249000,7.681242081737913
5,0.340000,6.329173072625217
6,0.319000,5.767063699231782
7,0.293000,3.355804273368995
8,0.301000,2.106404537334327
9,0.303000,2.019651962984338
10,0.303000,1.841957132273843
11,0.300000,1.706410546567137
12,0.305000,1.677280541108334
13,0.316000,1.528438551259701
14,0.300000,1.614548795089046
15,0.473000,1.37030010273532
16,0.427000,1.259055111559291
17,0.453000,1.13291252194599
18,0.395000,1.101869928234203
19,0.398000,0.9779167207771318
20,0.440000,0.9396643539046691
21,0.408000,0.9127858307197414
22,0.398000,0.905220177867752
23,0.440000,0.8874641163389214
24,0.423000,0.8767278343770852
25,0.453000,0.861438696090102
26,0.433000,0.8641895871199735
27,0.866000,0.7266799420927691
28,0.908000,0.6951336466773004
29,0.785000,0.5351608050876393
30,0.904000,0.4698081604805007
31,0.870000,0.3404911270734315
32,0.860000,0.3185865287383355
33,0.835000,0.2109945637817712
34,0.906000,0.2201434958764263
35,2.805000,0.06523207510376827
36,2.482000,0.04309320081736767
37,2.365000,0.02584314326116455
38,2.443000,0.01668003017068764
39,2.576000,0.007465149924261061
