Integration Number,Time (s),Max Area Error
0,1.054000,80.52286312212067
1,0.080000,39.82573828087723
2,0.135000,21.79270807669529
3,0.158000,14.01644360967977
4,0.175000,9.268609704134098
5,0.184000,5.265532284287484
6,0.183000,2.666185351858079
7,0.178000,1.389167231924026
8,0.165000,0.9844400348338004
9,0.130000,0.9831026554968025
10,0.126000,0.9771108221544526
11,0.122000,0.9670341048784077
12,0.103000,0.946686813280473
13,0.096000,0.910767952272689
14,0.119000,0.8868355154568603
15,0.106000,0.7744314490968229
16,0.090000,0.6200176267288451
17,0.091000,0.4276342434722911
18,0.091000,0.3393568730717814
19,0.085000,0.1794860852286804
20,0.087000,0.1440537373253005
21,0.087000,0.08663005941814161
22,0.105000,0.06920517894221467
23,0.088000,0.04234074516459163
24,0.080000,0.03243910468532063
25,0.084000,0.01774297636762312
26,0.072000,0.01457730349406205
27,0.078000,0.00835374539325906
