Integration Number,Time (s),Max Area Error
0,0.300000,29.15138054196563
1,0.093000,19.13770410536179
2,0.068000,12.27473963852566
3,0.066000,7.327011504250356
4,0.067000,4.308812549681719
5,0.062000,3.073567906247157
6,0.063000,1.952575782047181
7,0.065000,1.355060382819459
8,0.052000,0.8269729982611085
9,0.054000,0.4387427857174002
10,0.062000,0.2863735216169259
11,0.057000,0.1447051284578253
12,0.053000,0.07753912726220857
13,0.057000,0.04037155550433313
14,0.057000,0.02236886105736313
15,0.056000,0.02000394922775106
16,0.061000,0.008476619044766487
