Integration Number,Time (s),Max Area Error
0,0.229000,286.0315747267152
1,0.046000,118.6201325189322
2,0.067000,57.10122775265452
3,0.062000,27.50029693373345
4,0.075000,14.18210835941654
5,0.071000,7.158958003645262
6,0.049000,4.183115335986217
7,0.058000,2.314963778499156
8,0.053000,1.16566533387204
9,0.050000,1.018644105793736
10,0.048000,0.8549747689720772
11,0.052000,0.7101251287195682
12,0.052000,0.5871061184028714
13,0.046000,0.4832847576224155
14,0.044000,0.4014507452742744
15,0.055000,0.3309552556761746
16,0.044000,0.2774923255730564
17,0.048000,0.228850800685074
18,0.047000,0.1962593448133108
19,0.043000,0.1578373037795828
20,0.048000,0.1409040289616046
21,0.046000,0.1090754832724752
22,0.048000,0.10255202445031
23,0.049000,0.07344752637633967
24,0.046000,0.07766580457818639
25,0.050000,0.07766580457819527
26,0.180000,0.01325071686750889
27,0.166000,0.009632101242673663
