Integration Number,Time (s),Max Area Error
0,0.058000,80.531140
1,0.937000,27.072482
2,0.469000,4.621204
3,0.221000,1.925087
4,0.160000,0.990003
5,0.140000,0.408938
6,0.104000,0.195210
7,0.110000,0.048291
8,0.095000,0.009824
9,0.093000,0.008556
10,0.092000,0.006846
11,0.089000,0.005487
12,0.092000,0.004256
13,0.086000,0.004212
14,0.089000,0.003747
15,0.091000,0.003426
16,0.087000,0.003200
17,0.086000,0.003132
18,0.086000,0.003038
19,0.090000,0.002151
20,0.088000,0.001597
21,0.085000,0.001597
22,0.087000,0.001597
23,0.279000,0.001597
24,1.015000,0.001597
25,3.962000,0.001843
26,4.043000,0.001396
27,3.866000,0.001396
28,3.986000,0.001363
29,3.957000,0.001357
30,3.920000,0.001378
31,3.874000,0.001074
32,3.877000,0.001074
33,3.935000,0.000997
34,3.968000,0.000997
35,3.920000,0.000932
36,3.918000,0.000932
37,4.066000,0.003622
38,3.969000,0.001171
39,3.921000,0.001159
40,3.872000,0.001157
41,3.901000,0.001163
42,3.870000,0.001172
43,3.856000,0.000946
44,3.938000,0.000942
45,3.915000,0.000934
46,3.867000,0.000929
47,3.867000,0.000927
48,3.941000,0.000925
49,3.901000,0.000925
50,3.863000,0.000925
51,3.868000,0.000925
52,3.975000,0.000925
53,3.902000,0.000925
54,3.859000,0.000926
55,3.856000,0.000943
56,3.862000,0.000952
57,3.909000,0.000957
58,3.923000,0.000960
59,3.863000,0.000960
60,3.966000,0.000959
61,3.912000,0.000903
62,3.862000,0.000901
63,3.897000,0.000899
64,3.904000,0.000905
65,3.871000,0.000908
66,3.858000,0.000910
67,3.930000,0.000911
68,4.036000,0.000911
69,3.874000,0.000909
70,3.848000,0.000907
71,3.870000,0.000904
72,3.918000,0.000895
73,3.869000,0.000895
74,3.863000,0.000893
75,3.951000,0.000890
76,3.910000,0.000887
77,3.871000,0.000884
78,3.941000,0.000881
79,3.892000,0.000878
80,4.026000,0.000875
81,3.862000,0.000872
82,3.864000,0.000870
83,3.973000,0.000867
84,3.917000,0.000864
85,3.904000,0.000861
86,3.855000,0.000859
87,3.868000,0.000856
88,4.051000,0.000853
89,3.891000,0.000851
90,3.876000,0.000848
91,3.985000,0.000845
92,3.886000,0.000841
93,3.862000,0.000837
94,3.885000,0.000834
95,3.898000,0.000830
96,3.863000,0.000826
97,3.867000,0.000823
98,3.956000,0.000819
99,3.986000,0.000816
