Integration Number,Time (s),Max Area Error
0,0.142000,834.343393
1,0.787000,625.054049
2,0.357000,318.158212
3,0.564000,185.847712
4,0.922000,113.619885
5,1.022000,67.174308
6,1.146000,40.968897
7,1.036000,20.748400
8,0.944000,8.051653
9,0.569000,2.018548
10,0.410000,0.883341
11,0.330000,0.860978
12,0.261000,0.804362
13,0.247000,0.750722
14,0.194000,0.649305
15,0.187000,0.577750
16,0.187000,0.458579
17,0.180000,0.387206
18,0.181000,0.296686
19,0.177000,0.236531
20,0.177000,0.181878
21,0.178000,0.141059
22,0.176000,0.107444
23,0.177000,0.082447
24,0.179000,0.062022
25,0.176000,0.047031
26,0.174000,0.036837
27,0.172000,0.026901
28,0.172000,0.020648
29,0.174000,0.016124
30,0.170000,0.012879
31,0.174000,0.009543
32,0.170000,0.007654
33,0.174000,0.006235
34,0.172000,0.004614
35,0.172000,0.003729
36,0.170000,0.003740
37,0.167000,0.002644
38,0.174000,0.002630
39,0.167000,0.002639
40,0.169000,0.002630
41,0.171000,0.002629
42,0.175000,0.002633
43,0.594000,0.001540
44,0.522000,0.001538
45,0.526000,0.001538
46,0.538000,0.001543
47,1.926000,0.001447
48,2.120000,0.001388
49,2.082000,0.001367
50,1.957000,0.001367
51,1.935000,0.001364
52,1.906000,0.001361
53,1.966000,0.001323
54,1.938000,0.001300
55,1.958000,0.001292
56,1.924000,0.001284
57,1.992000,0.001275
58,1.943000,0.001268
59,1.958000,0.001261
60,1.953000,0.001241
61,1.944000,0.001234
62,1.947000,0.001233
63,1.937000,0.001225
64,1.938000,0.001224
65,2.028000,0.001222
66,1.942000,0.001222
67,1.933000,0.001191
68,1.931000,0.001186
69,1.999000,0.001179
70,1.925000,0.001173
71,1.914000,0.001168
72,1.967000,0.001162
73,1.925000,0.001144
74,1.922000,0.001137
75,1.910000,0.001131
76,1.925000,0.001125
77,1.927000,0.001119
78,1.927000,0.001113
79,1.915000,0.001107
80,2.006000,0.001103
81,1.928000,0.001098
82,1.930000,0.001098
83,1.924000,0.001098
84,1.930000,0.001100
85,1.926000,0.001100
86,1.925000,0.001100
87,1.923000,0.001100
88,1.947000,0.001100
89,1.928000,0.001100
90,1.986000,0.001100
91,1.917000,0.001099
92,1.896000,0.001099
93,1.918000,0.001074
94,1.958000,0.001073
95,1.927000,0.001073
96,2.026000,0.001070
97,1.913000,0.001070
98,1.918000,0.001068
99,1.930000,0.001067
