Integration Number,Time (s),Max Area Error
0,0.009000,31.520786
1,0.076000,21.934870
2,0.063000,4.870732
3,0.058000,1.635384
4,0.065000,0.838447
5,0.055000,0.434986
6,0.043000,0.276212
7,0.036000,0.124100
8,0.032000,0.050018
9,0.032000,0.020328
10,0.031000,0.009039
11,0.031000,0.007027
12,0.028000,0.006656
13,0.030000,0.004368
14,0.027000,0.004213
15,0.029000,0.004183
16,0.027000,0.004067
17,0.030000,0.004044
18,0.027000,0.002126
19,0.027000,0.002143
20,0.027000,0.002099
21,0.027000,0.001679
22,0.026000,0.001679
23,0.028000,0.001679
24,0.058000,0.001679
25,0.150000,0.001473
26,0.147000,0.001472
27,0.159000,0.001472
28,0.535000,0.001435
29,0.519000,0.001463
30,0.519000,0.001478
31,0.522000,0.001498
32,0.524000,0.001515
33,0.520000,0.001246
34,0.533000,0.001207
35,0.584000,0.001195
36,0.551000,0.001184
37,0.516000,0.001175
38,0.520000,0.000975
39,0.518000,0.000975
40,0.517000,0.000975
41,0.522000,0.000972
42,0.520000,0.000947
43,0.507000,0.000947
44,0.504000,0.000947
45,0.517000,0.000851
46,0.516000,0.000851
47,0.515000,0.000851
48,0.519000,0.000860
49,0.519000,0.000861
50,0.504000,0.000861
51,0.505000,0.000861
52,0.505000,0.000861
53,0.505000,0.000861
54,0.506000,0.000861
55,0.506000,0.000861
56,0.505000,0.000861
57,0.503000,0.000861
58,0.517000,0.000842
59,0.519000,0.000842
60,0.520000,0.000846
61,0.514000,0.000846
62,0.518000,0.000846
63,0.530000,0.000846
64,0.543000,0.000846
65,0.518000,0.000846
66,0.516000,0.000852
67,0.518000,0.000857
68,0.518000,0.000861
69,0.517000,0.000865
70,0.518000,0.000868
71,0.517000,0.000859
72,0.521000,0.000860
73,0.508000,0.000860
74,0.505000,0.000860
75,0.507000,0.000860
76,0.506000,0.000860
77,0.521000,0.000864
78,0.521000,0.000868
79,0.517000,0.000870
80,0.518000,0.000873
81,0.520000,0.000875
82,0.520000,0.000876
83,0.519000,0.000878
84,0.522000,0.000881
85,0.518000,0.000883
86,0.513000,0.000885
87,0.516000,0.000886
88,0.519000,0.000887
89,0.518000,0.000888
90,0.516000,0.000889
91,0.521000,0.000891
92,0.530000,0.000891
93,0.627000,0.000892
94,0.559000,0.000885
95,0.597000,0.000886
96,0.520000,0.000886
97,0.520000,0.000887
98,0.518000,0.000888
99,0.519000,0.000881
