Integration Number,Time (s),Max Area Error
0,0.013000,4.082288
1,0.063000,2.836413
2,0.076000,0.927756
3,0.058000,0.328731
4,0.045000,0.097575
5,0.040000,0.047877
6,0.035000,0.025344
7,0.031000,0.016347
8,0.032000,0.010744
9,0.032000,0.007351
10,0.029000,0.005947
11,0.030000,0.005616
12,0.030000,0.004316
13,0.030000,0.004234
14,0.029000,0.003516
15,0.028000,0.002948
16,0.031000,0.003158
17,0.028000,0.002520
18,0.027000,0.002365
19,0.028000,0.002477
20,0.029000,0.002052
21,0.027000,0.001710
22,0.027000,0.001662
23,0.029000,0.001828
24,0.055000,0.001346
25,0.035000,0.001346
26,0.050000,0.001319
27,0.054000,0.001362
28,0.146000,0.001121
29,0.125000,0.001121
30,0.141000,0.001119
31,0.142000,0.001108
32,0.141000,0.001100
33,0.141000,0.001018
34,0.141000,0.000966
35,0.139000,0.000939
36,0.138000,0.000924
37,0.140000,0.000882
38,0.144000,0.000887
39,0.146000,0.000887
40,0.551000,0.000887
41,0.541000,0.000882
42,0.546000,0.000780
43,0.524000,0.000780
44,0.528000,0.000780
45,0.528000,0.000780
46,0.537000,0.000780
47,0.540000,0.000723
48,0.519000,0.000723
49,0.534000,0.000723
50,0.542000,0.000678
51,0.527000,0.000678
52,0.540000,0.000678
53,0.563000,0.000678
54,0.525000,0.000678
55,0.539000,0.000663
56,0.525000,0.000663
57,0.526000,0.000663
58,0.537000,0.000653
59,0.527000,0.000653
60,0.526000,0.000653
61,0.539000,0.000648
62,0.526000,0.000648
63,0.543000,0.000644
64,0.527000,0.000644
65,0.537000,0.000642
66,0.538000,0.000641
67,0.541000,0.000640
68,0.539000,0.000640
69,0.532000,0.000640
70,0.542000,0.000655
71,0.546000,0.000656
72,0.535000,0.000649
73,0.540000,0.000644
74,0.534000,0.000642
75,0.536000,0.000640
76,0.537000,0.000639
77,0.541000,0.000639
78,0.536000,0.000638
79,0.539000,0.000645
80,0.549000,0.000641
81,0.612000,0.000639
82,0.574000,0.000637
83,0.543000,0.000641
84,0.544000,0.000641
85,0.541000,0.000638
86,0.542000,0.000636
87,0.539000,0.000625
88,0.539000,0.000622
89,0.544000,0.000628
90,0.535000,0.000623
91,0.536000,0.000621
92,0.539000,0.000620
93,0.539000,0.000620
94,0.536000,0.000620
95,0.535000,0.000620
96,0.541000,0.000621
97,0.538000,0.000626
98,0.536000,0.000617
99,0.536000,0.000608
