Integration Number,Time (s),Max Area Error
0,0.045000,3.965056
1,0.089000,2.371823
2,0.106000,0.371133
3,0.058000,0.178651
4,0.045000,0.037466
5,0.043000,0.023846
6,0.047000,0.024338
7,0.043000,0.010529
8,0.056000,0.010529
9,0.092000,0.006959
10,0.042000,0.006959
11,0.046000,0.006393
12,0.043000,0.005338
13,0.044000,0.004618
14,0.032000,0.004752
15,0.046000,0.004118
16,0.046000,0.002658
17,0.043000,0.002687
18,0.043000,0.002630
19,0.043000,0.002519
20,0.042000,0.002519
21,0.044000,0.001835
22,0.032000,0.001907
23,0.044000,0.001951
24,0.116000,0.001530
25,0.102000,0.001525
26,0.112000,0.001525
27,0.113000,0.001491
28,0.112000,0.001511
29,0.113000,0.001114
30,0.112000,0.001108
31,0.113000,0.001109
32,0.115000,0.001120
33,0.393000,0.001128
34,1.497000,0.001134
35,1.456000,0.001139
36,1.453000,0.001143
37,1.452000,0.001146
38,1.461000,0.001149
39,1.491000,0.001152
40,1.449000,0.000854
41,1.451000,0.000855
42,1.451000,0.000859
43,1.451000,0.000864
44,1.538000,0.000870
45,1.478000,0.000876
46,1.452000,0.000883
47,1.455000,0.000889
48,1.452000,0.000896
49,1.456000,0.000902
50,1.454000,0.000908
51,1.451000,0.000914
52,1.450000,0.000919
53,1.450000,0.000925
54,1.461000,0.000930
55,1.474000,0.000935
56,1.452000,0.000940
57,1.447000,0.000944
58,1.447000,0.000949
59,1.450000,0.000950
60,1.521000,0.000956
61,1.466000,0.000876
62,1.453000,0.000874
63,1.456000,0.000872
64,1.451000,0.000871
65,1.558000,0.000870
66,1.449000,0.000870
67,1.452000,0.000870
68,1.456000,0.000869
69,1.453000,0.000869
70,1.452000,0.000861
71,1.448000,0.000871
72,1.454000,0.000877
73,1.453000,0.000881
74,1.455000,0.000884
75,1.493000,0.000886
76,1.458000,0.000887
77,1.453000,0.000888
78,1.448000,0.000888
79,1.453000,0.000889
80,1.456000,0.000889
81,1.455000,0.000889
82,1.453000,0.000889
83,1.451000,0.000889
84,1.448000,0.000888
85,1.525000,0.000888
86,1.490000,0.000888
87,1.450000,0.000888
88,1.452000,0.000887
89,1.522000,0.000887
90,1.456000,0.000887
91,1.527000,0.000886
92,1.519000,0.000886
93,1.479000,0.000885
94,1.457000,0.000885
95,1.464000,0.000884
96,1.482000,0.000884
97,1.452000,0.000883
98,1.457000,0.000882
99,1.454000,0.000882
