Integration Number,Time (s),Max Area Error
0,0.046000,118.941774
1,0.272000,85.375919
2,0.214000,38.451389
3,0.185000,19.141433
4,0.260000,11.361753
5,0.309000,6.168352
6,0.297000,3.258775
7,0.212000,2.457872
8,0.156000,1.758813
9,0.125000,1.185667
10,0.098000,0.802089
11,0.088000,0.417591
12,0.076000,0.254425
13,0.070000,0.143326
14,0.067000,0.089297
15,0.068000,0.047903
16,0.061000,0.033705
17,0.060000,0.015691
18,0.090000,0.013697
19,0.055000,0.005084
20,0.054000,0.005830
21,0.057000,0.002609
22,0.079000,0.002818
23,0.056000,0.003205
24,0.168000,0.002012
25,0.136000,0.001647
26,0.131000,0.001593
27,0.141000,0.002531
28,0.450000,0.001360
29,0.444000,0.001327
30,0.436000,0.001318
31,0.441000,0.001294
32,0.436000,0.001269
33,0.447000,0.001265
34,0.439000,0.001255
35,0.436000,0.001243
36,0.438000,0.001231
37,0.454000,0.002912
38,1.712000,0.001196
39,1.697000,0.001207
40,1.670000,0.000980
41,1.666000,0.001004
42,1.672000,0.001015
43,1.712000,0.000977
44,1.669000,0.000982
45,1.688000,0.000948
46,1.753000,0.000939
47,1.675000,0.000935
48,1.669000,0.000935
49,1.672000,0.000935
50,1.679000,0.000935
51,1.681000,0.000935
52,1.772000,0.000937
53,1.676000,0.000929
54,1.681000,0.000924
55,1.675000,0.000910
56,1.666000,0.000911
57,1.685000,0.014000
58,1.662000,0.003022
59,1.692000,0.000907
60,1.670000,0.000897
61,1.701000,0.000899
62,1.661000,0.000935
63,1.667000,0.000736
64,1.658000,0.000736
65,1.687000,0.000733
66,1.662000,0.000725
67,1.673000,0.000742
68,1.668000,0.000749
69,1.675000,0.000755
70,1.786000,0.000758
71,1.764000,0.000761
72,1.691000,0.000763
73,1.681000,0.000723
74,1.670000,0.000731
75,1.678000,0.000735
76,1.671000,0.000738
77,1.675000,0.000741
78,1.672000,0.000742
79,1.711000,0.000743
80,1.675000,0.000731
81,1.677000,0.000737
82,1.682000,0.000728
83,1.681000,0.000709
84,1.670000,0.000719
85,1.676000,0.000721
86,1.676000,0.000722
87,1.675000,0.000723
88,1.825000,0.000721
89,1.675000,0.000722
90,1.676000,0.000722
91,1.675000,0.000723
92,1.673000,0.000724
93,1.680000,0.000725
94,1.672000,0.000726
95,1.749000,0.000719
96,1.691000,0.000722
97,1.728000,0.000723
98,1.680000,0.000724
99,1.684000,0.000705
