Integration Number,Time (s),Max Area Error
0,0.078000,41.267682
1,0.301000,45.348485
2,0.401000,18.558958
3,0.697000,18.005795
4,0.737000,14.405231
5,0.877000,9.396999
6,0.846000,7.701785
7,0.666000,5.803551
8,0.677000,3.944782
9,0.724000,2.241802
10,0.605000,1.976933
11,0.575000,1.717245
12,0.578000,1.707724
13,0.584000,1.603894
14,0.571000,1.474171
15,0.604000,1.421574
16,0.560000,1.307540
17,0.548000,1.287578
18,0.568000,1.284930
19,0.565000,1.224025
20,0.529000,1.173972
21,0.549000,1.149286
22,0.553000,1.097287
23,0.588000,1.119438
24,0.602000,1.127234
25,1.880000,0.974233
26,1.591000,0.957110
27,1.737000,0.948944
28,1.585000,0.893813
29,1.472000,0.909303
30,1.313000,0.939907
31,4.868000,0.824957
32,3.895000,0.705554
33,3.582000,0.749940
34,2.580000,0.605429
35,2.460000,0.640037
36,2.234000,0.486023
37,1.811000,0.505740
38,1.640000,0.381063
39,1.410000,0.418617
40,1.405000,0.274188
41,1.447000,0.360179
42,1.151000,0.305028
43,1.077000,0.294299
44,1.321000,0.248667
45,1.187000,0.201266
46,0.987000,0.139679
47,0.965000,0.162204
48,1.054000,0.144915
49,0.985000,0.120253
50,0.810000,0.081943
51,1.189000,0.091046
52,1.226000,0.077137
53,0.908000,0.065497
54,0.823000,0.046917
55,0.855000,0.063004
56,0.986000,0.048818
57,1.129000,0.042257
58,0.902000,0.030389
59,0.803000,0.030312
60,0.734000,0.020260
61,0.676000,0.090103
62,2.376000,0.027562
63,2.311000,0.011054
64,1.709000,0.007804
65,1.616000,0.005073
66,1.619000,0.002694
67,1.459000,0.198761
68,6.558000,0.082807
69,6.831000,0.027064
70,3.529000,0.019775
71,2.253000,0.007565
72,2.024000,0.005207
73,1.936000,0.003307
74,1.608000,0.008470
75,2.299000,0.004059
76,1.530000,0.009637
77,2.507000,0.003790
78,1.549000,0.002489
79,1.490000,0.011628
80,2.566000,0.006010
81,1.789000,0.002948
82,1.471000,0.001400
83,1.507000,0.000996
84,1.358000,0.112287
85,3.737000,0.036612
86,4.112000,0.010673
87,2.348000,0.004324
88,1.754000,0.004400
89,1.861000,0.001432
90,1.404000,0.010942
91,2.622000,0.002609
92,1.572000,0.001742
93,1.362000,0.019681
94,2.150000,0.004796
95,1.680000,0.001981
96,1.421000,0.001826
97,1.437000,0.000862
98,1.317000,0.167462
99,4.234000,0.059002
