Integration Number,Time (s),Max Area Error
0,0.101000,155.954299
1,0.597000,76.843170
2,0.275000,29.366353
3,0.391000,13.740027
4,0.674000,8.938650
5,0.749000,5.044490
6,0.753000,2.579747
7,0.667000,1.224318
8,0.501000,0.988744
9,0.374000,0.986112
10,0.296000,0.981112
11,0.221000,0.967533
12,0.184000,0.943187
13,0.148000,0.875463
14,0.144000,0.779753
15,0.137000,0.590176
16,0.134000,0.473186
17,0.128000,0.167659
18,0.132000,0.165398
19,0.129000,0.146787
20,0.127000,0.099516
21,0.126000,0.075296
22,0.126000,0.052899
23,0.126000,0.041474
24,0.124000,0.030920
25,0.123000,0.024158
26,0.128000,0.018472
27,0.124000,0.014631
28,0.125000,0.011484
29,0.125000,0.009216
30,0.123000,0.007472
31,0.125000,0.006013
32,0.124000,0.004908
33,0.122000,0.004919
34,0.122000,0.003962
35,0.125000,0.003971
36,0.123000,0.003979
37,0.384000,0.001965
38,0.375000,0.001979
39,0.389000,0.001993
40,1.429000,0.001495
41,1.417000,0.001500
42,1.369000,0.001503
43,1.375000,0.001490
44,1.376000,0.001475
45,1.375000,0.001462
46,1.361000,0.001449
47,1.374000,0.001436
48,1.370000,0.001316
49,1.378000,0.001245
50,1.377000,0.001244
51,1.369000,0.001259
52,1.428000,0.001273
53,1.442000,0.001247
54,1.371000,0.001270
55,1.447000,0.001245
56,1.374000,0.001226
57,1.423000,0.001244
58,1.430000,0.001221
59,1.379000,0.001218
60,1.388000,0.001231
61,1.364000,0.001215
62,1.359000,0.001194
63,1.415000,0.001174
64,1.382000,0.001189
65,1.368000,0.001166
66,1.361000,0.001180
67,1.372000,0.001156
68,1.363000,0.001144
69,1.372000,0.001151
70,1.365000,0.001141
71,1.365000,0.001142
72,1.395000,0.001140
73,1.366000,0.001136
74,1.470000,0.001135
75,1.367000,0.001138
76,1.369000,0.001131
77,1.367000,0.001129
78,1.374000,0.001111
79,1.364000,0.001117
80,1.375000,0.001108
81,1.364000,0.001106
82,1.363000,0.001103
83,1.370000,0.001101
84,1.362000,0.001100
85,1.504000,0.001099
86,1.370000,0.001097
87,1.359000,0.001094
88,1.371000,0.001092
89,1.364000,0.001075
90,1.430000,0.001073
91,1.366000,0.001072
92,1.366000,0.001075
93,1.372000,0.001085
94,1.416000,0.001093
95,1.420000,0.001102
96,1.510000,0.001111
97,1.413000,0.001062
98,1.367000,0.001061
99,1.369000,0.001060
