Integration Number,Time (s),Max Area Error
0,0.132000,834.348772
1,0.576000,625.056070
2,0.290000,318.160214
3,0.428000,185.851287
4,0.652000,113.642744
5,0.818000,66.969384
6,0.795000,41.054154
7,0.782000,20.780161
8,0.695000,8.062457
9,0.532000,2.021696
10,0.393000,0.884207
11,0.343000,0.862265
12,0.264000,0.801983
13,0.240000,0.752006
14,0.193000,0.639761
15,0.176000,0.574684
16,0.185000,0.437710
17,0.172000,0.379831
18,0.169000,0.278758
19,0.170000,0.231109
20,0.164000,0.169066
21,0.166000,0.135269
22,0.171000,0.099616
23,0.169000,0.077873
24,0.160000,0.060944
25,0.161000,0.045692
26,0.163000,0.035942
27,0.169000,0.027268
28,0.170000,0.020807
29,0.169000,0.015721
30,0.164000,0.012496
31,0.165000,0.010008
32,0.163000,0.008255
