Integration Number,Time (s),Max Area Error
0,0.054000,29.935968
1,0.070000,17.148109
2,0.082000,4.237208
3,0.079000,1.528270
4,0.075000,0.746053
5,0.070000,0.258621
6,0.065000,0.068282
7,0.066000,0.053836
8,0.064000,0.039858
9,0.061000,0.032559
10,0.061000,0.025322
11,0.060000,0.020229
12,0.058000,0.015932
13,0.060000,0.012545
14,0.059000,0.009930
15,0.063000,0.007798
16,0.059000,0.007866
17,0.059000,0.006115
18,0.056000,0.006210
19,0.059000,0.004779
20,0.058000,0.004869
21,0.056000,0.004756
22,0.059000,0.004779
23,0.061000,0.003661
24,0.054000,0.003640
25,0.055000,0.003620
26,0.056000,0.003603
27,0.061000,0.003686
28,0.087000,0.002085
29,0.082000,0.002090
30,0.083000,0.002078
31,0.085000,0.002063
32,0.083000,0.002049
33,0.084000,0.002031
34,0.083000,0.002014
35,0.085000,0.001139
36,0.078000,0.001123
37,0.084000,0.000847
38,0.077000,0.000847
39,0.084000,0.000847
40,0.203000,0.000847
41,0.642000,0.000847
42,0.630000,0.000847
43,0.622000,0.000847
44,0.623000,0.000847
45,0.630000,0.000847
46,0.637000,0.000837
47,0.638000,0.000833
48,0.635000,0.000830
49,0.636000,0.000829
50,0.645000,0.000825
51,0.633000,0.000821
52,0.638000,0.000816
53,0.642000,0.000813
54,0.643000,0.000809
55,0.640000,0.000806
56,0.639000,0.000803
57,0.643000,0.000801
58,0.640000,0.000799
59,0.639000,0.000797
60,0.643000,0.000795
61,0.641000,0.000793
62,0.638000,0.000792
63,0.641000,0.000791
64,0.637000,0.000790
65,0.640000,0.000788
66,0.636000,0.000787
67,0.639000,0.000786
68,0.636000,0.000785
69,0.638000,0.000784
70,0.687000,0.000784
71,0.678000,0.000783
72,0.660000,0.000782
73,0.654000,0.000781
74,0.676000,0.000780
75,0.656000,0.000780
76,0.658000,0.000779
77,0.645000,0.000779
78,0.820000,0.000778
79,0.699000,0.000778
80,0.683000,0.000777
81,0.642000,0.000776
82,0.638000,0.000776
83,0.641000,0.000775
84,0.658000,0.000774
85,0.647000,0.000774
86,0.658000,0.000773
87,0.749000,0.000773
88,0.649000,0.000772
89,0.648000,0.000771
90,0.648000,0.000771
91,0.650000,0.000771
92,0.646000,0.000770
93,0.647000,0.000769
94,0.645000,0.000768
95,0.648000,0.000767
96,0.641000,0.000767
97,0.645000,0.000766
98,0.649000,0.000765
99,0.679000,0.000764
