Integration Number,Time (s),Max Area Error
0,0.055000,8.176922
1,0.407000,3.186266
2,0.142000,1.088374
3,0.135000,0.554895
4,0.120000,0.208232
5,0.100000,0.041471
6,0.089000,0.014133
7,0.079000,0.010597
8,0.079000,0.009077
9,0.074000,0.009077
10,0.077000,0.005510
11,0.074000,0.005508
12,0.081000,0.005305
13,0.077000,0.003235
14,0.074000,0.003235
15,0.077000,0.003070
16,0.075000,0.003070
17,0.076000,0.003036
18,0.079000,0.002548
19,0.078000,0.002269
20,0.074000,0.002269
21,0.078000,0.002051
22,0.074000,0.002051
23,0.076000,0.002013
24,0.078000,0.002010
25,0.079000,0.001579
26,0.075000,0.001585
27,0.078000,0.001591
28,0.240000,0.001596
29,0.888000,0.001600
30,3.456000,0.001603
31,3.463000,0.001547
32,3.385000,0.001025
33,3.426000,0.001026
34,3.417000,0.001028
35,3.432000,0.001041
36,3.379000,0.001050
37,3.396000,0.000922
38,3.412000,0.000922
39,3.420000,0.000922
40,3.437000,0.000922
41,3.386000,0.000922
42,3.620000,0.000923
43,3.381000,0.000923
44,139.030000,0.000924
45,3.630000,0.000924
46,265.357000,0.000920
47,3.515000,0.000919
48,3.471000,0.000915
49,3.458000,0.000911
50,3.463000,0.000906
51,3.449000,0.000902
52,3.365000,0.000867
53,3.342000,0.000867
54,3.437000,0.000867
55,3.334000,0.000867
56,3.398000,0.000867
57,3.463000,0.000867
58,3.395000,0.000867
59,3.403000,0.000867
60,241.122000,0.000867
61,3.473000,0.000867
62,3.374000,0.000867
63,3.477000,0.000867
64,3.390000,0.000867
65,3.398000,0.000775
66,3.483000,0.000775
67,3.352000,0.000775
68,3.382000,0.000775
69,120.208000,0.000775
70,3.369000,0.000775
71,3.356000,0.000775
72,8.791000,0.000775
73,4.267000,0.000775
74,3.600000,0.000775
75,3.899000,0.000775
76,3.507000,0.000775
77,3.519000,0.000775
78,3.448000,0.000775
79,3.408000,0.000775
80,3.385000,0.000775
81,3.424000,0.000775
82,3.396000,0.000775
83,3.467000,0.000775
84,3.534000,0.000775
85,3.539000,0.000775
86,3.436000,0.000775
87,3.433000,0.000775
88,3.401000,0.000775
89,3.388000,0.000775
90,3.438000,0.000775
91,3.414000,0.000690
92,3.408000,0.000690
93,3.393000,0.000690
94,3.509000,0.000690
95,3.394000,0.000690
96,3.416000,0.000690
97,3.395000,0.000690
98,3.413000,0.000690
99,3.403000,0.000690
