Integration Number,Time (s),Max Area Error
0,0.048000,2.191201
1,0.195000,1.209878
2,0.086000,0.886376
3,0.114000,0.543945
4,0.135000,0.183111
5,0.125000,0.035769
6,0.115000,0.017062
7,0.107000,0.004051
8,0.105000,0.004051
9,0.107000,0.004051
10,0.358000,0.004051
11,1.349000,0.004051
12,5.325000,0.004051
13,5.248000,0.001842
14,5.170000,0.001842
15,5.284000,0.001842
16,5.211000,0.001842
17,5.218000,0.001842
18,5.262000,0.001842
19,5.229000,0.001842
20,5.313000,0.001842
21,5.197000,0.001842
22,5.205000,0.001842
23,5.308000,0.001498
24,5.207000,0.001498
25,5.199000,0.001498
26,5.276000,0.001498
27,5.196000,0.001498
28,5.184000,0.001498
29,5.274000,0.001498
30,5.187000,0.001498
31,5.205000,0.001498
32,5.269000,0.001498
33,5.193000,0.001498
34,5.229000,0.001477
35,5.324000,0.001461
36,5.238000,0.001449
37,5.257000,0.001440
38,5.342000,0.001433
39,5.254000,0.001427
40,5.368000,0.001422
41,5.265000,0.001419
42,5.281000,0.001415
43,5.337000,0.001412
44,5.279000,0.001409
45,5.271000,0.000607
46,5.325000,0.000607
47,5.269000,0.000607
48,5.230000,0.000607
49,5.302000,0.000607
50,5.238000,0.000607
51,5.217000,0.000607
52,5.322000,0.000607
53,5.256000,0.000607
54,5.230000,0.000607
55,5.331000,0.000607
56,5.266000,0.000607
57,5.383000,0.000607
58,5.242000,0.000607
59,5.238000,0.000607
60,5.314000,0.000607
61,5.243000,0.000607
62,5.213000,0.000607
63,5.322000,0.000607
64,5.233000,0.000607
65,5.234000,0.000607
66,5.317000,0.000607
67,5.215000,0.000607
68,5.235000,0.000607
69,5.329000,0.000607
70,5.243000,0.000607
71,5.233000,0.000607
72,5.302000,0.000607
73,5.231000,0.000607
74,5.227000,0.000607
75,5.304000,0.000607
76,5.272000,0.000607
77,5.319000,0.000607
78,5.227000,0.000607
79,5.280000,0.000607
80,5.376000,0.000607
81,5.308000,0.000607
82,5.247000,0.000607
83,5.355000,0.000607
84,5.272000,0.000607
85,5.243000,0.000607
86,5.316000,0.000607
87,5.221000,0.000607
88,5.225000,0.000607
89,5.319000,0.000607
90,5.251000,0.000607
91,5.297000,0.000607
92,5.370000,0.000607
93,5.234000,0.000607
94,5.316000,0.000607
95,5.246000,0.000607
96,5.232000,0.000607
97,5.335000,0.000607
98,5.225000,0.000607
99,5.238000,0.000607
