Integration Number,Time (s),Max Area Error
0,0.009000,31.520786
1,0.076000,21.070797
2,0.124000,1.952380
3,0.068000,0.517741
4,0.051000,0.234901
5,0.041000,0.082847
6,0.034000,0.031260
7,0.035000,0.012690
8,0.033000,0.008745
9,0.025000,0.008745
10,0.031000,0.005715
11,0.015000,0.005715
12,0.028000,0.004858
13,0.028000,0.004610
14,0.027000,0.004401
15,0.028000,0.003260
16,0.027000,0.003128
17,0.032000,0.002983
18,0.027000,0.003004
19,0.031000,0.002956
20,0.027000,0.002944
21,0.029000,0.002584
22,0.026000,0.002584
23,0.029000,0.002600
24,0.055000,0.001367
25,0.039000,0.001367
26,0.042000,0.001367
27,0.145000,0.001367
28,0.506000,0.001367
29,0.492000,0.001367
30,0.538000,0.001367
31,0.542000,0.001382
32,0.509000,0.001394
33,0.510000,0.001309
34,0.509000,0.001314
35,0.515000,0.001291
36,0.511000,0.001294
37,0.520000,0.001196
38,0.494000,0.001196
39,0.494000,0.001196
40,0.494000,0.001196
41,0.494000,0.001196
42,0.494000,0.001196
43,0.516000,0.001196
44,0.495000,0.001196
45,0.498000,0.001196
46,0.500000,0.001196
47,0.497000,0.001198
48,0.507000,0.001199
49,0.511000,0.001201
50,0.516000,0.001195
51,0.515000,0.001190
52,0.516000,0.001185
53,0.518000,0.001181
54,0.508000,0.001179
55,0.513000,0.001177
56,0.510000,0.001175
57,0.511000,0.001173
58,0.510000,0.001172
59,0.518000,0.001170
60,0.579000,0.001168
61,0.511000,0.001167
62,0.511000,0.001165
63,0.509000,0.001164
64,0.516000,0.001163
65,0.516000,0.000715
66,0.507000,0.000711
67,0.512000,0.000707
68,0.513000,0.000705
69,0.513000,0.000699
70,0.510000,0.000741
71,0.514000,0.000776
72,0.514000,0.000803
73,0.520000,0.000826
74,0.516000,0.000843
75,0.509000,0.000857
76,0.510000,0.000661
77,0.511000,0.000656
78,0.510000,0.000651
79,0.512000,0.000646
80,0.512000,0.000641
81,0.508000,0.000636
82,0.509000,0.000631
83,0.508000,0.000626
84,0.519000,0.000622
85,0.507000,0.000618
86,0.511000,0.000621
87,0.515000,0.000624
88,0.516000,0.000626
89,0.581000,0.000629
90,0.534000,0.000631
91,0.510000,0.000634
92,0.515000,0.000636
93,0.510000,0.000638
94,0.512000,0.000640
95,0.512000,0.000642
96,0.515000,0.000644
97,0.509000,0.000646
98,0.511000,0.000648
99,0.513000,0.000650
