Integration Number,Time (s),Max Area Error
0,0.053000,2.957904793324273
1,0.035000,0.7218215104170331
2,0.029000,0.5987187773140994
3,0.028000,0.4139183674055769
4,0.027000,0.157880926523273
5,0.030000,0.0446182456037173
6,0.031000,0.009054167107184763
7,0.030000,0.001729476633561156
8,0.030000,0.0002759961158159685
9,0.033000,6.20754632948417e-05
10,0.035000,1.292935899366299e-05
11,0.033000,3.53920871665192e-06
12,0.035000,1.146939070939546e-06
13,0.033000,4.17314416800707e-07
14,0.030000,1.501655833013871e-07
15,0.032000,5.3605266669976e-08
16,0.030000,1.951769634800371e-08
17,0.028000,7.065150908758255e-09
18,0.034000,2.517524300138518e-09
19,0.023000,1.169586982818771e-09
20,0.033000,3.376717794267847e-10
21,0.032000,1.4564816019913e-10
22,0.027000,8.23398016436272e-11
23,0.029000,1.900213320027433e-11
24,0.028000,5.934364111226387e-12
25,0.029000,1.581068609368685e-12
26,0.030000,5.752065490582936e-13
27,0.026000,1.858513343222512e-13
28,0.030000,6.550315845288424e-14
29,0.027000,2.131628207280301e-14
30,0.025000,1.543210004228968e-14
31,0.029000,1.4210854715202e-14
32,0.032000,1.831867990631508e-14
33,0.084000,2.375877272697835e-14
34,0.289000,1.976196983832779e-14
35,0.380000,3.33066907387547e-15
36,0.351000,6.439293542825908e-15
37,1.217000,6.217248937900877e-15
38,1.212000,6.883382752675971e-15
39,1.188000,6.439293542825908e-15
40,1.216000,8.659739592076221e-15
41,1.208000,2.309263891220326e-14
42,1.222000,7.882583474838611e-15
43,1.156000,7.438494264988549e-15
44,1.256000,1.398881011027697e-14
45,1.155000,3.108624468950438e-15
46,1.173000,1.48769885299771e-14
47,1.176000,1.154631945610163e-14
48,1.235000,8.659739592076221e-15
49,1.187000,7.771561172376096e-15
50,1.231000,4.884981308350689e-15
51,1.237000,1.798561299892754e-14
52,1.239000,1.887379141862766e-14
53,1.230000,2.575717417130363e-14
54,1.188000,9.769962616701378e-15
55,1.179000,4.773959005888173e-15
56,1.215000,5.551115123125783e-15
57,1.353000,7.105427357601002e-15
58,1.216000,1.332267629550188e-14
59,1.207000,8.881784197001252e-15
60,1.227000,1.099120794378905e-14
61,1.243000,8.326672684688674e-15
62,1.242000,6.883382752675971e-15
63,1.216000,9.769962616701378e-15
64,1.251000,8.43769498715119e-15
65,1.207000,1.820765760385257e-14
66,1.203000,1.088018564132653e-14
67,1.214000,1.154631945610163e-14
68,1.185000,6.328271240363392e-15
69,1.244000,9.325873406851315e-15
70,1.184000,9.214851104388799e-15
71,1.211000,1.4210854715202e-14
72,1.240000,1.554312234475219e-14
73,1.275000,1.332267629550188e-14
74,1.252000,9.880984919163893e-15
75,1.207000,6.439293542825908e-15
76,1.254000,6.439293542825908e-15
77,1.280000,1.154631945610163e-14
78,1.186000,6.661338147750939e-15
79,1.203000,7.327471962526033e-15
80,1.246000,2.353672812205332e-14
81,1.260000,3.61932706027801e-14
82,1.178000,1.84297022087776e-14
83,1.226000,9.103828801926284e-15
84,1.176000,5.88418203051333e-15
85,1.264000,8.659739592076221e-15
86,1.272000,4.662936703425657e-15
87,1.210000,7.549516567451064e-15
88,1.229000,4.218847493575595e-15
89,1.195000,3.33066907387547e-15
90,1.225000,3.996802888650564e-15
91,1.286000,3.108624468950438e-15
92,1.239000,6.661338147750939e-15
93,1.222000,5.995204332975845e-15
94,1.229000,4.662936703425657e-15
95,1.234000,2.220446049250313e-15
96,1.221000,2.664535259100376e-15
97,1.272000,1.998401444325282e-15
98,1.253000,4.107825191113079e-15
99,1.188000,5.662137425588298e-15
