Integration Number,Time (s),Max Area Error
0,0.136000,52.74835508155052
1,0.075000,21.66260953113153
2,0.089000,16.56083532926658
3,0.085000,15.55208313199303
4,0.088000,8.73141287758938
5,0.095000,5.329862944579846
6,0.095000,2.565800047687886
7,0.068000,1.118645666093032
8,0.104000,0.662887042070156
9,0.084000,0.3385505741703712
10,0.068000,0.2462201797346029
11,0.097000,0.1435027763700807
12,0.086000,0.06921480805029523
13,0.067000,0.03074142119885281
14,0.090000,0.02485320073471198
15,0.065000,0.01455522753810512
16,0.072000,0.007611179069185514
17,0.087000,0.004525620488153637
18,0.068000,0.002673220441867796
19,0.081000,0.001274966110703879
20,0.083000,0.0009207062990195247
21,0.090000,0.0003195202374834949
22,0.080000,0.0002681249095650706
23,0.070000,0.0001443239104141902
24,0.067000,9.38097057279208e-05
25,0.088000,4.670353220737056e-05
26,0.087000,3.012835465887598e-05
27,0.094000,1.927114137101338e-05
28,0.072000,1.024853921061109e-05
29,0.073000,4.549752635640836e-06
30,0.085000,3.508928574147419e-06
31,0.093000,1.938608104934403e-06
32,0.089000,1.273515142452553e-06
33,0.069000,7.038667633185725e-07
34,0.073000,4.796398700435134e-07
35,0.067000,2.390965503362708e-07
36,0.080000,1.089492394079628e-07
37,0.086000,7.895643916455697e-08
38,0.073000,3.629791311965391e-08
39,0.091000,2.607873517135317e-08
40,0.087000,1.273021976722077e-08
41,0.071000,7.297904058845006e-09
42,0.094000,5.068224062654281e-09
43,0.057000,3.164206674455272e-09
44,0.082000,1.686945694245878e-09
45,0.072000,1.235911373242971e-09
46,0.083000,7.699256787674358e-10
47,0.096000,3.598059628018291e-10
48,0.071000,2.334812343463e-10
49,0.067000,1.573410290944821e-10
50,0.088000,4.972378064849181e-11
51,0.081000,3.938893655686115e-11
52,0.088000,2.041611324443693e-11
53,0.070000,1.64209756903233e-11
54,0.062000,1.436273322497073e-11
55,0.075000,7.634337606532426e-12
56,0.087000,4.00945943113129e-12
57,0.090000,1.959543638463401e-12
58,0.084000,1.327826737451687e-12
59,0.066000,9.210410212290299e-13
60,0.070000,5.621059173677168e-13
61,0.089000,4.090061622719077e-13
62,0.076000,2.668976151198876e-13
63,0.091000,1.414424133372449e-13
64,0.080000,6.505906924303417e-14
65,0.072000,4.241051954068098e-14
66,0.080000,9.281464485866309e-14
67,0.137000,2.919886554764162e-14
68,0.172000,8.848477506262498e-14
69,0.421000,6.195044477408373e-14
70,0.439000,6.439293542825908e-14
71,1.589000,5.162537064506978e-14
72,1.527000,5.262457136723242e-14
73,1.529000,5.540012892879531e-14
74,1.469000,5.484501741648273e-14
75,1.541000,5.595524044110789e-14
76,1.487000,5.895284260759581e-14
77,1.526000,5.939693181744587e-14
78,1.379000,7.172040739078511e-14
79,1.438000,7.194245199571014e-14
80,1.517000,7.083222897108499e-14
81,1.383000,7.405187574249794e-14
82,1.407000,7.549516567451064e-14
83,1.564000,7.849276784099857e-14
84,1.519000,7.593925488436071e-14
85,1.552000,7.893685705084863e-14
86,1.515000,8.104628079763643e-14
87,1.501000,8.315570454442422e-14
88,1.541000,8.526512829121202e-14
89,1.489000,8.404388296412435e-14
90,1.465000,8.615330671091215e-14
91,1.524000,8.149037000748649e-14
92,1.545000,7.66053886991358e-14
93,1.447000,7.716050021144838e-14
94,1.438000,7.716050021144838e-14
95,1.386000,8.038014698286133e-14
96,1.517000,7.971401316808624e-14
97,1.462000,7.80486786311485e-14
98,1.511000,7.638334409421077e-14
99,1.371000,7.971401316808624e-14
