Integration Number,Time (s),Max Area Error
0,0.046000,4.503813851081595
1,0.031000,0.804370649821659
2,0.029000,0.4307945368036932
3,0.026000,0.1472955790490623
4,0.026000,0.03727592545527347
5,0.028000,0.01359227879057312
6,0.032000,0.007252675217979787
7,0.033000,0.003001486993205127
8,0.074000,0.001800614088138364
9,0.034000,0.0005131064726769941
10,0.036000,0.0002205036134321769
11,0.032000,5.843863864118948e-05
12,0.034000,4.089687757502514e-05
13,0.035000,1.205688104688463e-05
14,0.033000,4.211684796251447e-06
15,0.039000,1.248018148491958e-06
16,0.035000,8.484941884656649e-07
17,0.033000,5.036044392614514e-07
18,0.034000,1.978090216070427e-07
19,0.031000,8.273400098346428e-08
20,0.029000,3.10386674140517e-08
21,0.030000,1.148520167859601e-08
22,0.031000,3.204498222331154e-09
23,0.028000,1.764645984891899e-09
24,0.028000,5.639207989460715e-10
25,0.026000,4.229487871043602e-10
26,0.026000,1.311286634830822e-10
27,0.027000,6.6472383153382e-11
28,0.030000,2.027633616563662e-11
29,0.029000,1.562949769606803e-11
30,0.029000,4.06374933703546e-12
31,0.028000,1.342814748284127e-12
32,0.029000,1.02740038698812e-12
33,0.029000,5.950795411990839e-13
34,0.032000,1.534328220031966e-13
35,0.036000,1.008082506359642e-13
36,0.034000,2.575717417130363e-14
37,0.033000,1.154631945610163e-14
38,0.032000,8.659739592076221e-15
39,0.029000,8.43769498715119e-15
40,0.028000,7.771561172376096e-15
41,0.028000,6.883382752675971e-15
42,0.031000,6.661338147750939e-15
43,0.032000,6.883382752675971e-15
44,0.091000,6.883382752675971e-15
45,0.318000,6.661338147750939e-15
46,0.347000,6.883382752675971e-15
47,1.230000,7.771561172376096e-15
48,1.198000,8.881784197001252e-15
49,1.267000,8.659739592076221e-15
50,1.248000,8.659739592076221e-15
51,1.212000,8.659739592076221e-15
52,1.200000,8.881784197001252e-15
53,1.220000,8.881784197001252e-15
54,1.246000,8.659739592076221e-15
55,1.267000,8.43769498715119e-15
56,1.227000,8.43769498715119e-15
57,1.262000,8.43769498715119e-15
58,1.200000,8.215650382226158e-15
59,1.214000,8.215650382226158e-15
60,1.194000,8.215650382226158e-15
61,1.201000,7.993605777301127e-15
62,1.196000,7.993605777301127e-15
63,1.206000,7.771561172376096e-15
64,1.194000,8.215650382226158e-15
65,1.217000,8.659739592076221e-15
66,1.223000,8.659739592076221e-15
67,1.254000,8.43769498715119e-15
68,1.208000,8.659739592076221e-15
69,1.252000,8.659739592076221e-15
70,1.256000,8.43769498715119e-15
71,1.234000,8.43769498715119e-15
72,1.238000,8.659739592076221e-15
73,1.222000,8.43769498715119e-15
74,1.337000,8.659739592076221e-15
75,1.272000,8.659739592076221e-15
76,1.209000,8.659739592076221e-15
77,1.191000,8.215650382226158e-15
78,1.209000,8.215650382226158e-15
79,1.217000,7.993605777301127e-15
80,1.232000,7.993605777301127e-15
81,1.221000,7.993605777301127e-15
82,1.273000,7.771561172376096e-15
83,1.226000,8.43769498715119e-15
84,1.230000,8.43769498715119e-15
85,1.242000,8.215650382226158e-15
86,1.264000,8.215650382226158e-15
87,1.217000,8.659739592076221e-15
88,1.269000,8.659739592076221e-15
89,1.214000,8.659739592076221e-15
90,1.237000,8.659739592076221e-15
91,1.221000,8.43769498715119e-15
92,1.196000,8.43769498715119e-15
93,1.223000,8.215650382226158e-15
94,1.242000,8.215650382226158e-15
95,1.176000,8.659739592076221e-15
96,1.205000,8.43769498715119e-15
97,1.254000,8.43769498715119e-15
98,1.291000,8.43769498715119e-15
99,1.258000,8.43769498715119e-15
