Integration Number,Time (s),Max Area Error
0,0.022000,2.223876867364237
1,0.019000,1.076459394024361
2,0.014000,0.4826304030843895
3,0.012000,0.196465708329871
4,0.012000,0.07279556504047302
5,0.012000,0.01769831805239819
6,0.012000,0.004608737782648253
7,0.012000,0.002532591072688772
8,0.012000,0.0007057798206384636
9,0.011000,0.0003420697122678007
10,0.012000,0.0001052268680407087
11,0.011000,3.279233111141977e-05
12,0.012000,1.61103974467558e-05
13,0.011000,3.426393333616495e-06
14,0.013000,1.664334491113806e-06
15,0.011000,1.803274600753468e-07
16,0.011000,1.274508956150555e-07
17,0.011000,2.687849964821964e-08
18,0.010000,2.366634677120061e-08
19,0.011000,6.144484920866944e-09
20,0.011000,5.266687308491669e-09
21,0.011000,1.225539669746922e-09
22,0.011000,9.280013424373124e-10
23,0.011000,3.017772698399313e-10
24,0.010000,2.118825115360323e-10
25,0.011000,6.116662731869837e-11
26,0.010000,4.925848617887141e-11
27,0.011000,1.382427505802752e-11
28,0.010000,1.227973278616901e-11
29,0.011000,3.390843161810153e-12
30,0.012000,2.279954003370221e-12
31,0.013000,6.481482017761664e-13
32,0.011000,5.229150445984487e-13
33,0.011000,1.280087147392805e-13
34,0.012000,6.927791673660977e-14
35,0.011000,2.531308496145357e-14
36,0.011000,1.865174681370263e-14
37,0.010000,5.88418203051333e-15
38,0.011000,3.552713678800501e-15
39,0.013000,7.549516567451064e-15
40,0.034000,6.883382752675971e-15
41,0.036000,7.327471962526033e-15
42,0.131000,7.771561172376096e-15
43,0.511000,7.993605777301127e-15
44,0.550000,7.993605777301127e-15
45,0.498000,7.771561172376096e-15
46,0.512000,7.993605777301127e-15
47,0.515000,7.993605777301127e-15
48,0.497000,7.993605777301127e-15
49,0.509000,7.771561172376096e-15
50,0.530000,7.771561172376096e-15
51,0.511000,8.215650382226158e-15
52,0.547000,7.327471962526033e-15
53,0.524000,7.771561172376096e-15
54,0.500000,7.771561172376096e-15
55,0.494000,7.993605777301127e-15
56,0.492000,7.993605777301127e-15
57,0.485000,8.215650382226158e-15
58,0.511000,7.993605777301127e-15
59,0.487000,8.215650382226158e-15
60,0.480000,7.993605777301127e-15
61,0.504000,7.993605777301127e-15
62,0.480000,7.771561172376096e-15
63,0.488000,7.771561172376096e-15
64,0.500000,7.993605777301127e-15
65,0.485000,7.993605777301127e-15
66,0.482000,7.993605777301127e-15
67,0.493000,7.993605777301127e-15
68,0.482000,7.993605777301127e-15
69,0.495000,8.215650382226158e-15
70,0.506000,7.993605777301127e-15
71,0.487000,7.993605777301127e-15
72,0.492000,7.771561172376096e-15
73,0.496000,7.771561172376096e-15
74,0.523000,7.771561172376096e-15
75,0.479000,7.993605777301127e-15
76,0.484000,7.993605777301127e-15
77,0.479000,8.215650382226158e-15
78,0.492000,8.215650382226158e-15
79,0.479000,8.215650382226158e-15
80,0.506000,8.215650382226158e-15
81,0.496000,8.215650382226158e-15
82,0.500000,8.215650382226158e-15
83,0.493000,7.993605777301127e-15
84,0.511000,7.993605777301127e-15
85,0.498000,7.771561172376096e-15
86,0.492000,7.993605777301127e-15
87,0.507000,7.993605777301127e-15
88,0.512000,7.771561172376096e-15
89,0.498000,7.993605777301127e-15
90,0.493000,7.993605777301127e-15
91,0.478000,7.993605777301127e-15
92,0.501000,7.993605777301127e-15
93,0.508000,8.215650382226158e-15
94,0.500000,7.771561172376096e-15
95,0.494000,8.215650382226158e-15
96,0.511000,7.771561172376096e-15
97,0.505000,7.993605777301127e-15
98,0.517000,7.771561172376096e-15
99,0.507000,7.327471962526033e-15
