Integration Number,Time (s),Max Area Error
0,0.120000,3.040619373900148
1,0.054000,1.6932510022233
2,0.049000,1.257125123319201
3,0.047000,0.5720718273012375
4,0.045000,0.3127622910933312
5,0.045000,0.1755518826832014
6,0.047000,0.127357181553204
7,0.051000,0.05713160625303004
8,0.051000,0.02739897838501237
9,0.048000,0.01440443637881561
10,0.050000,0.008235429618637546
11,0.045000,0.007728444041979587
12,0.050000,0.002751080144947071
13,0.049000,0.002099604678911682
14,0.051000,0.0008909798185603446
15,0.043000,0.0005862789606974061
16,0.048000,0.0002783055103290355
17,0.047000,0.0001566057662515385
18,0.044000,0.0001464076183519403
19,0.046000,5.349816186095424e-05
20,0.044000,3.906980188461695e-05
21,0.046000,3.611081960319673e-05
22,0.056000,1.305053586242444e-05
23,0.046000,1.044930097715557e-05
24,0.050000,3.021671176384189e-06
25,0.050000,2.7210635573649e-06
26,0.053000,1.140602139626523e-06
27,0.049000,7.757221525128699e-07
28,0.049000,3.937794684771845e-07
29,0.055000,2.026610748107061e-07
30,0.054000,1.863526610801358e-07
31,0.052000,7.397045576063022e-08
32,0.047000,5.177288797675317e-08
33,0.050000,2.487896688663227e-08
34,0.052000,1.374020497380002e-08
35,0.046000,1.265779792092303e-08
36,0.048000,6.741994518222327e-09
37,0.057000,3.478805465917389e-09
38,0.060000,3.414511007271415e-09
39,0.077000,1.119862425014162e-09
40,0.062000,9.216822860480534e-10
41,0.098000,2.920458319621844e-10
42,0.054000,2.790732089863468e-10
43,0.055000,1.663011950370219e-10
44,0.054000,9.874434603318605e-11
45,0.052000,6.876321734239355e-11
46,0.048000,2.55949705874059e-11
47,0.048000,1.863120768774706e-11
48,0.047000,9.306888593130225e-12
49,0.047000,5.797806679197492e-12
50,0.050000,4.554356891617317e-12
51,0.044000,1.682876060726812e-12
52,0.046000,1.285416217911006e-12
53,0.048000,5.52891066263328e-13
54,0.045000,3.694822225952521e-13
55,0.050000,2.133848653329551e-13
56,0.059000,1.099120794378905e-13
57,0.056000,6.106226635438361e-14
58,0.055000,3.47499806707674e-14
59,0.053000,1.554312234475219e-14
60,0.048000,1.310063169057685e-14
61,0.050000,1.176836406102666e-14
62,0.052000,9.214851104388799e-15
63,0.048000,9.214851104388799e-15
64,0.104000,6.661338147750939e-15
65,0.116000,7.105427357601002e-15
66,0.312000,5.995204332975845e-15
67,0.345000,5.995204332975845e-15
68,1.378000,5.773159728050814e-15
69,1.385000,5.773159728050814e-15
70,1.324000,5.995204332975845e-15
71,1.348000,6.217248937900877e-15
72,1.338000,6.439293542825908e-15
73,1.299000,6.106226635438361e-15
74,1.349000,6.106226635438361e-15
75,1.335000,6.106226635438361e-15
76,1.339000,6.106226635438361e-15
77,1.380000,6.328271240363392e-15
78,1.330000,5.88418203051333e-15
79,1.342000,5.773159728050814e-15
80,1.329000,5.662137425588298e-15
81,1.306000,5.773159728050814e-15
82,1.341000,5.662137425588298e-15
83,1.442000,5.88418203051333e-15
84,1.313000,5.773159728050814e-15
85,1.312000,5.88418203051333e-15
86,1.349000,5.662137425588298e-15
87,1.346000,5.662137425588298e-15
88,1.418000,5.551115123125783e-15
89,1.359000,5.551115123125783e-15
90,1.294000,5.551115123125783e-15
91,1.315000,5.551115123125783e-15
92,1.316000,5.551115123125783e-15
93,1.318000,5.218048215738236e-15
94,1.314000,5.218048215738236e-15
95,1.382000,5.551115123125783e-15
96,1.374000,5.551115123125783e-15
97,1.327000,5.773159728050814e-15
98,1.323000,5.551115123125783e-15
99,1.313000,5.329070518200751e-15
