Integration Number,Time (s),Max Area Error
0,0.030000,5.870808516753296
1,0.020000,2.121381793295949
2,0.015000,0.341319546412256
3,0.011000,0.2295373579414342
4,0.012000,0.07014643216553784
5,0.012000,0.04058626119832387
6,0.012000,0.02245660107182745
7,0.012000,0.006288062234462988
8,0.011000,0.005681962677853702
9,0.012000,0.002004027729870184
10,0.012000,0.000768838469107358
11,0.011000,0.0003227063006889797
12,0.011000,0.0002120294443052062
13,0.012000,0.0001387299247570528
14,0.011000,3.160395804135963e-05
15,0.011000,2.542865844445963e-05
16,0.011000,1.16596865578078e-05
17,0.011000,6.943233597622722e-06
18,0.012000,2.830101213602276e-06
19,0.011000,1.292321295975896e-06
20,0.012000,7.237304251450638e-07
21,0.012000,2.937810350545078e-07
22,0.012000,7.622813447127896e-08
23,0.011000,4.877630344068962e-08
24,0.012000,2.466012727353473e-08
25,0.012000,1.268600102743989e-08
26,0.011000,4.300977130000661e-09
27,0.012000,3.108927448813859e-09
28,0.012000,1.365749957571438e-09
29,0.011000,8.553420194346018e-10
30,0.012000,3.536460013719989e-10
31,0.011000,1.793108994618819e-10
32,0.011000,9.622913577089776e-11
33,0.012000,3.003863824346809e-11
34,0.012000,2.39410713476218e-11
35,0.011000,7.005507285384738e-12
36,0.012000,3.222866418184367e-12
37,0.013000,1.778799330054426e-12
38,0.012000,6.752376435770202e-13
39,0.012000,3.941291737419306e-13
40,0.012000,2.158273559871304e-13
41,0.012000,6.150635556423367e-14
42,0.011000,5.495603971894525e-14
43,0.012000,1.643130076445232e-14
44,0.012000,1.221245327087672e-14
45,0.012000,5.329070518200751e-15
46,0.011000,2.886579864025407e-15
47,0.013000,3.552713678800501e-15
48,0.034000,2.775557561562891e-15
49,0.034000,2.55351295663786e-15
50,0.033000,1.554312234475219e-15
51,0.039000,1.554312234475219e-15
52,0.144000,3.219646771412954e-15
53,0.559000,3.33066907387547e-15
54,0.563000,2.664535259100376e-15
55,0.561000,1.887379141862766e-15
56,0.583000,2.220446049250313e-15
57,0.544000,1.887379141862766e-15
58,0.557000,1.998401444325282e-15
59,0.558000,1.554312234475219e-15
60,0.564000,1.998401444325282e-15
61,0.564000,1.998401444325282e-15
62,0.551000,1.554312234475219e-15
63,0.570000,1.998401444325282e-15
64,0.573000,1.998401444325282e-15
65,0.549000,1.998401444325282e-15
66,0.557000,1.998401444325282e-15
67,0.574000,1.998401444325282e-15
68,0.554000,1.665334536937735e-15
69,0.570000,1.332267629550188e-15
70,0.541000,1.554312234475219e-15
71,0.554000,1.554312234475219e-15
72,0.559000,2.664535259100376e-15
73,0.564000,2.220446049250313e-15
74,0.555000,2.220446049250313e-15
75,0.563000,2.886579864025407e-15
76,0.606000,1.77635683940025e-15
77,0.571000,1.332267629550188e-15
78,0.579000,1.77635683940025e-15
79,0.559000,1.77635683940025e-15
80,0.575000,1.77635683940025e-15
81,0.566000,1.998401444325282e-15
82,0.564000,1.554312234475219e-15
83,0.565000,1.77635683940025e-15
84,0.571000,1.77635683940025e-15
85,0.563000,1.998401444325282e-15
86,0.584000,1.77635683940025e-15
87,0.562000,1.110223024625157e-15
88,0.559000,8.881784197001252e-16
89,0.584000,1.332267629550188e-15
90,0.579000,1.110223024625157e-15
91,0.567000,1.332267629550188e-15
92,0.564000,1.221245327087672e-15
93,0.596000,1.665334536937735e-15
94,0.596000,1.77635683940025e-15
95,0.583000,9.992007221626409e-16
96,0.593000,1.554312234475219e-15
97,0.573000,2.442490654175344e-15
98,0.567000,1.998401444325282e-15
99,0.555000,2.220446049250313e-15
