Integration Number,Time (s),Max Area Error
0,0.087000,59.01231795957102
1,0.092000,27.28215452894035
2,0.106000,12.6269183127149
3,0.083000,6.001615133540279
4,0.067000,2.747248741000074
5,0.072000,1.37425798286865
6,0.068000,1.323075370014314
7,0.074000,1.073888386494686
8,0.074000,1.156956778272356
9,0.107000,0.9475304408910865
10,0.119000,0.7892958991553349
11,0.146000,0.6069084978352779
12,0.147000,0.4731457268435377
13,0.110000,0.4450645374030604
14,0.090000,0.366832799112556
15,0.140000,0.3705900560859936
16,0.295000,0.1433685747609924
17,0.280000,0.1110362292624429
18,0.301000,0.03985359809109235
19,0.338000,0.04579700047137081
20,1.048000,0.01424493287349471
21,1.506000,0.005378099007392612
22,2.393000,0.0016970382878988
23,1.857000,0.0006233685180812021
24,2.034000,0.0002182528689691488
25,1.839000,8.083954717963415e-05
26,1.903000,3.010558741622926e-05
27,1.878000,1.126043172172686e-05
28,1.821000,4.537615072797152e-06
29,3.463000,1.655604859429616e-06
30,2.407000,7.08249636938163e-07
31,2.786000,2.53099405433943e-07
32,2.135000,1.11715337203222e-07
33,2.789000,4.121531749223806e-08
34,1.573000,1.77723595840007e-08
35,1.871000,6.800156993058692e-09
36,2.140000,2.847071023381886e-09
37,1.387000,1.121945869542174e-09
38,1.716000,4.590516855529359e-10
39,1.732000,1.852976660998706e-10
40,1.344000,7.442535476798184e-11
41,1.961000,3.063482800769179e-11
42,1.831000,1.230460178192061e-11
43,1.381000,5.063616193012876e-12
44,1.677000,2.046807168198939e-12
45,1.321000,8.327782907713299e-13
46,2.627000,3.521627434110997e-13
47,2.274000,1.569855356819971e-13
48,2.074000,9.747758156208874e-14
49,1.983000,2.12940776123105e-13
50,1.972000,6.794564910705958e-14
51,1.832000,6.461498003318411e-14
52,2.085000,6.52811138479592e-14
53,2.510000,6.505906924303417e-14
54,2.254000,6.505906924303417e-14
55,2.720000,6.505906924303417e-14
56,2.809000,6.505906924303417e-14
57,2.843000,6.52811138479592e-14
58,3.736000,6.550315845288424e-14
59,4.600000,6.52811138479592e-14
60,3.610000,6.52811138479592e-14
61,3.381000,6.550315845288424e-14
62,3.417000,6.550315845288424e-14
63,2.901000,6.572520305780927e-14
64,5.634000,6.550315845288424e-14
65,3.373000,6.550315845288424e-14
66,3.858000,6.550315845288424e-14
67,3.921000,6.550315845288424e-14
68,2.783000,6.550315845288424e-14
69,2.755000,6.550315845288424e-14
70,2.985000,6.550315845288424e-14
71,3.278000,6.550315845288424e-14
72,3.878000,6.550315845288424e-14
73,3.305000,6.550315845288424e-14
74,3.036000,6.550315845288424e-14
75,3.522000,6.550315845288424e-14
76,10.616000,6.550315845288424e-14
77,4.677000,6.550315845288424e-14
78,2.981000,6.550315845288424e-14
79,2.902000,6.550315845288424e-14
80,2.654000,6.550315845288424e-14
81,2.755000,6.550315845288424e-14
82,2.976000,6.550315845288424e-14
83,3.094000,6.550315845288424e-14
84,3.150000,6.550315845288424e-14
85,2.983000,6.550315845288424e-14
86,2.938000,6.52811138479592e-14
87,2.862000,6.572520305780927e-14
88,2.354000,6.550315845288424e-14
89,2.466000,6.550315845288424e-14
90,2.318000,6.550315845288424e-14
91,2.483000,6.572520305780927e-14
92,2.425000,6.572520305780927e-14
93,2.361000,6.572520305780927e-14
94,2.367000,6.572520305780927e-14
95,3.512000,6.572520305780927e-14
96,2.572000,6.572520305780927e-14
97,2.711000,6.550315845288424e-14
98,2.615000,6.550315845288424e-14
99,2.688000,6.550315845288424e-14
