Integration Number,Time (s),Max Area Error
0,0.419000,1.495370809023648
1,0.090000,0.7060306481870973
2,0.077000,0.6278147374242797
3,0.075000,0.4280495686765827
4,0.056000,0.1278523113669429
5,0.069000,0.02843711081576827
6,0.071000,0.005594128246686259
7,0.071000,0.002491582618095345
8,0.084000,0.001026998820423008
9,0.076000,0.000500192401324151
10,0.055000,0.0002517537168331696
11,0.072000,0.0001533036627772155
12,0.250000,7.60881467628538e-05
13,0.092000,2.908045785687818e-05
14,0.064000,2.562177024501011e-05
15,0.090000,9.992736055397522e-06
16,0.089000,3.862056372927469e-06
17,0.071000,2.7253355693313e-06
18,0.072000,1.152459025877128e-06
19,0.069000,5.690447324457892e-07
20,0.085000,3.784610171919667e-07
21,0.073000,1.486371524750396e-07
22,0.081000,5.745474096485736e-08
23,0.072000,3.99750650359465e-08
24,0.116000,4.729834413019773e-09
25,0.067000,4.729832858707539e-09
26,0.164000,4.729833080752144e-09
27,0.447000,4.729833080752144e-09
28,1.460000,4.729833080752144e-09
29,1.468000,4.729833080752144e-09
30,2.273000,1.312571384914918e-09
31,3.147000,5.443234751822956e-10
32,2.239000,2.266126175598515e-10
33,2.147000,9.4307672782179e-11
34,2.290000,3.926858838099179e-11
35,2.171000,1.635136470667931e-11
36,3.043000,6.805889185557135e-12
37,2.561000,2.829292355954749e-12
38,2.022000,1.176836406102666e-12
39,2.219000,4.876099524153688e-13
40,2.149000,1.94844140821715e-13
41,2.940000,8.060219158778636e-14
42,6.847000,3.785860513971784e-14
43,4.851000,2.176037128265307e-14
44,3.900000,1.187938636348917e-14
45,5.027000,1.820765760385257e-14
46,4.385000,2.131628207280301e-14
47,9.730000,2.087219286295294e-14
48,18.144000,1.998401444325282e-14
49,6.193000,2.065014825802791e-14
50,5.204000,1.909583602355269e-14
51,12.177000,2.020605904817785e-14
52,7.372000,1.931788062847772e-14
53,48.311000,1.931788062847772e-14
54,22.309000,1.84297022087776e-14
55,69.709000,1.887379141862766e-14
56,7.322000,1.754152378907747e-14
57,43.226000,1.820765760385257e-14
58,12.674000,1.731947918415244e-14
59,6.242000,1.687538997430238e-14
60,99.867000,1.731947918415244e-14
61,20.653000,1.576516694967722e-14
62,3.947000,1.576516694967722e-14
63,98.582000,1.576516694967722e-14
64,22.623000,1.687538997430238e-14
65,42.745000,1.731947918415244e-14
66,55.041000,4.662936703425657e-15
67,109.362000,3.996802888650564e-15
68,38.453000,1.854072451124011e-14
69,22.373000,1.243449787580175e-14
70,29.475000,7.549516567451064e-15
71,52.822000,9.658940314238862e-15
72,16.664000,7.327471962526033e-15
73,31.077000,6.661338147750939e-15
74,15.764000,8.326672684688674e-15
75,14.641000,7.105427357601002e-15
76,6.288000,1.154631945610163e-14
77,9.242000,8.43769498715119e-15
78,46.059000,9.436895709313831e-15
79,45.175000,8.104628079763643e-15
80,41.771000,7.438494264988549e-15
81,22.953000,5.662137425588298e-15
82,3.750000,6.661338147750939e-15
83,3.297000,9.325873406851315e-15
84,50.032000,1.465494392505207e-14
85,95.493000,8.43769498715119e-15
86,51.588000,4.662936703425657e-15
87,90.204000,1.187938636348917e-14
88,17.289000,1.454392162258955e-14
89,25.250000,1.332267629550188e-14
90,39.811000,8.992806499463768e-15
91,8.906000,9.103828801926284e-15
92,13.007000,4.218847493575595e-15
93,22.591000,8.43769498715119e-15
94,16.113000,7.771561172376096e-15
95,30.408000,5.773159728050814e-15
96,14.275000,1.021405182655144e-14
97,14.063000,4.662936703425657e-15
98,5.581000,4.662936703425657e-15
99,16.258000,9.547918011776346e-15
