Integration Number,Time (s),Max Area Error
0,0.482000,1.573877699510345
1,0.080000,0.6675054743765132
2,0.065000,0.2634699424865119
3,0.056000,0.06752389627663002
4,0.049000,0.02303108248193997
5,0.035000,0.01407110331520056
6,0.051000,0.006670365533416378
7,0.038000,0.004051373846605477
8,0.045000,0.00131559148699445
9,0.043000,0.0006822659997731684
10,0.044000,0.0003173036048531586
11,0.041000,0.0002334349156681848
12,0.044000,0.0001206609232484723
13,0.042000,5.145565625364057e-05
14,0.047000,1.648677818821831e-05
15,0.036000,1.298703318208805e-05
16,0.046000,6.066780456004395e-06
17,0.048000,3.466973247379102e-06
18,0.045000,1.494985918837344e-06
19,0.047000,7.110656414788252e-07
20,0.046000,2.560495846459787e-07
21,0.041000,2.0214826657039e-07
22,0.050000,9.521647459376226e-08
23,0.054000,5.238525702111474e-08
24,0.038000,2.808001409171368e-08
25,0.045000,1.087954704104277e-08
26,0.048000,2.521108211084311e-09
27,0.040000,2.521106212682866e-09
28,0.085000,2.521106212682866e-09
29,0.281000,2.521106212682866e-09
30,0.937000,2.521106212682866e-09
31,0.921000,2.521106212682866e-09
32,1.476000,1.005224792294257e-09
33,1.616000,4.006477372087147e-10
34,1.537000,1.597427745636537e-10
35,1.496000,6.360001414407179e-11
36,1.567000,2.551170386055901e-11
37,1.649000,1.060818100029337e-11
38,1.644000,4.41369163439731e-12
39,1.580000,1.840083641013734e-12
40,1.545000,7.690514891578459e-13
41,1.456000,3.270717030545711e-13
42,1.443000,1.391109449855321e-13
43,1.407000,5.81756864903582e-14
44,1.348000,2.098321516541546e-14
45,1.707000,9.769962616701378e-15
46,1.740000,7.771561172376096e-15
47,1.875000,7.993605777301127e-15
48,1.693000,7.327471962526033e-15
49,3.251000,7.105427357601002e-15
50,3.682000,1.110223024625157e-14
51,1.852000,7.549516567451064e-15
52,3.258000,3.996802888650564e-15
53,2.178000,3.996802888650564e-15
54,2.375000,7.438494264988549e-15
55,3.974000,5.329070518200751e-15
56,3.909000,5.551115123125783e-15
57,4.131000,8.881784197001252e-15
58,3.925000,1.232347557333924e-14
59,4.945000,5.329070518200751e-15
60,4.758000,7.216449660063518e-15
61,3.752000,3.441691376337985e-15
62,1.862000,3.996802888650564e-15
63,11.058000,4.440892098500626e-15
64,7.490000,5.551115123125783e-15
65,6.624000,5.10702591327572e-15
66,8.138000,5.995204332975845e-15
67,8.342000,5.551115123125783e-15
68,9.753000,5.440092820663267e-15
69,7.870000,4.884981308350689e-15
70,7.507000,4.996003610813204e-15
71,5.745000,5.329070518200751e-15
72,6.905000,5.329070518200751e-15
73,7.885000,4.662936703425657e-15
74,11.273000,3.552713678800501e-15
75,5.744000,5.10702591327572e-15
76,3.940000,3.774758283725532e-15
77,13.677000,2.664535259100376e-15
78,23.082000,5.10702591327572e-15
79,27.862000,7.771561172376096e-15
80,15.064000,8.215650382226158e-15
81,9.001000,5.88418203051333e-15
82,8.793000,3.996802888650564e-15
83,14.518000,3.552713678800501e-15
84,9.436000,3.885780586188048e-15
85,9.161000,3.996802888650564e-15
86,32.177000,3.108624468950438e-15
87,11.739000,3.219646771412954e-15
88,11.768000,5.773159728050814e-15
89,12.120000,3.552713678800501e-15
90,3.866000,6.106226635438361e-15
91,6.811000,5.773159728050814e-15
92,7.618000,5.329070518200751e-15
93,16.741000,5.10702591327572e-15
94,15.698000,1.176836406102666e-14
95,55.070000,1.27675647831893e-14
96,33.467000,8.43769498715119e-15
97,39.733000,5.329070518200751e-15
98,19.309000,3.774758283725532e-15
99,13.339000,5.662137425588298e-15
