Integration Number,Time (s),Max Area Error
0,0.207000,0.2910668069607112
1,0.186000,0.08740899273005764
2,0.133000,0.08740899273005054
3,0.167000,0.007837506036170838
4,0.121000,0.007837506036166397
5,0.136000,0.007837506036165731
6,0.287000,0.002853612837548036
7,0.423000,0.0009369083108833332
8,0.253000,0.0001763968375187996
9,0.224000,4.078854415601185e-05
10,0.240000,2.133944755344785e-05
11,0.276000,8.599089873051469e-06
12,0.191000,3.448621550994346e-06
13,0.243000,1.376798615337904e-06
14,0.364000,5.41575473023137e-07
15,0.312000,2.142783039893459e-07
16,0.231000,8.937173578971169e-08
17,0.187000,3.66321855072016e-08
18,0.228000,1.438009833432119e-08
19,0.210000,5.976686701103517e-09
20,0.213000,3.296423578547092e-09
21,0.174000,1.582051489812386e-09
22,0.207000,5.735842911747113e-10
23,0.421000,2.0779455933706e-10
24,0.259000,7.94271315385231e-11
25,0.234000,3.249878144373497e-11
26,0.312000,1.256461601428782e-11
27,0.216000,4.245381823864136e-12
28,0.224000,1.994737708344019e-12
29,0.226000,6.886713421749846e-13
30,0.383000,2.688960165642129e-13
31,0.352000,1.412203687323199e-13
32,0.234000,5.306866057708248e-14
33,0.246000,2.520206265899105e-14
34,0.234000,7.993605777301127e-15
35,0.213000,6.883382752675971e-15
36,0.813000,9.880984919163893e-15
37,0.487000,8.881784197001252e-15
38,0.287000,9.658940314238862e-15
39,0.787000,9.658940314238862e-15
40,0.832000,9.658940314238862e-15
41,0.734000,9.658940314238862e-15
42,0.908000,9.658940314238862e-15
43,1.599000,9.769962616701378e-15
44,785.853000,2.242650509742816e-14
45,3.262000,1.443289932012704e-14
46,6.999000,1.709743457922741e-14
47,8.505000,1.199040866595169e-14
48,8.877000,1.509903313490213e-14
49,3.673000,3.530509218307998e-14
50,9.158000,3.030908857226677e-14
51,5.916000,1.043609643147647e-14
52,7.108000,9.325873406851315e-15
53,17.399000,8.215650382226158e-15
54,21.768000,1.4210854715202e-14
55,6.147000,8.43769498715119e-15
56,10.260000,3.885780586188048e-15
57,13.339000,7.438494264988549e-15
58,9.542000,1.443289932012704e-14
59,8.170000,7.66053886991358e-15
60,9.218000,7.549516567451064e-15
61,12.481000,1.043609643147647e-14
62,11.057000,8.659739592076221e-15
63,8.999000,2.620126338115369e-14
64,16.060000,3.219646771412954e-14
65,13.417000,2.930988785010413e-14
66,15.924000,1.687538997430238e-14
67,11.451000,1.820765760385257e-14
68,17.141000,1.221245327087672e-14
69,61.017000,5.773159728050814e-15
70,15.048000,3.33066907387547e-15
71,3.323000,2.020605904817785e-14
72,9.324000,1.354472090042691e-14
73,12.617000,5.773159728050814e-15
74,8.230000,6.106226635438361e-15
75,14.257000,7.438494264988549e-15
76,13.888000,9.880984919163893e-15
77,11.013000,7.105427357601002e-15
78,6.038000,4.440892098500626e-15
79,8.978000,5.10702591327572e-15
80,7.945000,1.720845688168993e-14
81,9.945000,3.774758283725532e-14
82,13.298000,3.963496197911809e-14
83,15.268000,2.997602166487923e-14
84,8.204000,2.231548279496565e-14
85,6.559000,8.659739592076221e-15
86,6.349000,3.774758283725532e-15
87,3.170000,7.327471962526033e-15
88,7.759000,1.332267629550188e-14
89,6.109000,1.13242748511766e-14
90,7.929000,1.13242748511766e-14
91,8.336000,1.021405182655144e-14
92,6.775000,1.465494392505207e-14
93,12.207000,2.797762022055394e-14
94,13.605000,2.55351295663786e-14
95,5.580000,2.76445533131664e-14
96,7.791000,3.153033389935445e-14
97,15.026000,3.630429290524262e-14
98,16.725000,3.108624468950438e-14
99,12.669000,2.386979502944087e-14
