Integration Number,Time (s),Max Area Error
0,0.129000,1.144348597265298
1,0.068000,0.6016528203204505
2,0.038000,0.2916722498815615
3,0.027000,0.06082135064463501
4,0.022000,0.01601432355496146
5,0.016000,0.005029205839788276
6,0.017000,0.00502920583978872
7,0.054000,0.001566191990410859
8,0.050000,0.001229987911793295
9,0.059000,0.0005554564734855383
10,0.050000,0.0003444028166597057
11,0.058000,0.0001690604925668193
12,0.052000,6.302081306786e-05
13,0.049000,3.337646203593891e-05
14,0.059000,2.124037028283787e-05
15,0.057000,8.661699199663531e-06
16,0.060000,5.633946560390513e-06
17,0.054000,2.185518310771073e-06
18,0.067000,1.215484274008638e-06
19,0.049000,6.417797311364382e-07
20,0.065000,2.925224147354299e-07
21,0.056000,9.448822635427234e-08
22,0.054000,3.683690841249643e-08
23,0.057000,1.427909301909835e-08
24,0.057000,5.519390722241724e-09
25,0.053000,2.131251397585743e-09
26,0.051000,1.472296173865573e-09
27,0.059000,6.22650819792625e-10
28,0.054000,2.379045849210115e-10
29,0.053000,1.207666189273482e-10
30,0.050000,7.202483054413733e-11
31,0.049000,3.384892366398162e-11
32,0.055000,2.15268913805744e-11
33,0.050000,1.029776264260818e-11
34,0.062000,3.43791661805426e-12
35,0.063000,1.248556813493451e-12
36,0.054000,4.74953409934642e-13
37,0.048000,3.572697693243754e-13
38,0.058000,1.215694211964546e-13
39,0.050000,8.459899447643693e-14
40,0.062000,3.11972669919669e-14
41,0.052000,1.243449787580175e-14
42,0.058000,9.769962616701378e-15
43,0.051000,4.218847493575595e-15
44,0.054000,3.108624468950438e-15
45,0.083000,1.887379141862766e-15
46,0.109000,1.998401444325282e-15
47,0.230000,1.998401444325282e-15
48,0.823000,1.998401444325282e-15
49,0.802000,1.998401444325282e-15
50,0.880000,1.998401444325282e-15
51,0.776000,1.998401444325282e-15
52,1.384000,2.220446049250313e-15
53,3.045000,1.77635683940025e-15
54,2.286000,1.998401444325282e-15
55,1.653000,2.220446049250313e-15
56,9.109000,1.998401444325282e-15
57,7.786000,1.887379141862766e-15
58,41.670000,2.220446049250313e-15
59,23.326000,2.442490654175344e-15
60,11.945000,2.442490654175344e-15
61,12.921000,2.442490654175344e-15
62,17.209000,2.664535259100376e-15
63,15.602000,2.664535259100376e-15
64,23.982000,2.664535259100376e-15
65,28.908000,2.664535259100376e-15
66,24.735000,2.664535259100376e-15
67,24.952000,2.886579864025407e-15
68,26.228000,2.664535259100376e-15
69,25.455000,2.886579864025407e-15
70,25.872000,2.886579864025407e-15
71,17.343000,3.108624468950438e-15
72,31.947000,3.108624468950438e-15
73,29.284000,2.886579864025407e-15
74,15.596000,3.108624468950438e-15
75,8.541000,3.108624468950438e-15
76,11.383000,3.108624468950438e-15
77,9.303000,3.108624468950438e-15
78,11.093000,3.33066907387547e-15
79,20.900000,3.108624468950438e-15
80,38.038000,3.108624468950438e-15
81,10.269000,3.33066907387547e-15
82,21.186000,3.33066907387547e-15
83,20.443000,3.552713678800501e-15
84,16.789000,3.552713678800501e-15
85,19.629000,3.552713678800501e-15
86,15.766000,3.33066907387547e-15
87,13.687000,3.33066907387547e-15
88,15.158000,3.33066907387547e-15
89,17.859000,3.33066907387547e-15
90,17.317000,3.552713678800501e-15
91,5.783000,3.33066907387547e-15
92,7.450000,3.33066907387547e-15
93,23.727000,3.552713678800501e-15
94,22.917000,3.108624468950438e-15
95,3.497000,3.108624468950438e-15
96,4.791000,3.108624468950438e-15
97,12.036000,3.33066907387547e-15
98,25.767000,3.33066907387547e-15
99,18.485000,3.108624468950438e-15
