Integration Number,Time (s),Max Area Error
0,0.180000,1.688540159275608
1,0.110000,0.5972730237421766
2,0.066000,0.2225367804975718
3,0.065000,0.0610668351705792
4,0.054000,0.02487198402449886
5,0.071000,0.009093450525990088
6,0.062000,0.007717730065230022
7,0.083000,0.002942058820053495
8,0.079000,0.002208137756174011
9,0.087000,0.0006639219637442073
10,0.083000,0.0006205019858844807
11,0.061000,0.0001991338323756864
12,0.084000,8.794623693697545e-05
13,0.054000,5.582852353458456e-05
14,0.065000,2.699328470179285e-05
15,0.065000,1.578269913382613e-05
16,0.060000,5.225759187266199e-06
17,0.057000,4.682599408334376e-06
18,0.075000,1.426221266198624e-06
19,0.060000,5.098218727184189e-07
20,0.058000,4.696984265972759e-07
21,0.072000,1.399503704035965e-07
22,0.060000,1.06452962000958e-07
23,0.067000,4.788322771620557e-08
24,0.061000,3.151222982555879e-08
25,0.059000,1.099099178336616e-08
26,0.064000,8.979970989031472e-09
27,0.070000,2.70259747914281e-09
28,0.066000,1.517503345205284e-09
29,0.054000,7.97567789589948e-10
30,0.069000,5.246933998392933e-10
31,0.058000,2.051447900441872e-10
32,0.077000,1.071682742548319e-10
33,0.055000,4.854538993015467e-11
34,0.070000,2.577982272100598e-11
35,0.059000,1.158095841446993e-11
36,0.074000,9.436451620103981e-12
37,0.072000,3.027134098942952e-12
38,0.059000,1.482147737874584e-12
39,0.065000,7.636113963371827e-13
40,0.065000,3.341771304121721e-13
41,0.065000,2.009503674571533e-13
42,0.062000,7.349676423018536e-14
43,0.066000,5.684341886080801e-14
44,0.065000,2.176037128265307e-14
45,0.069000,1.254552017826427e-14
46,0.062000,7.549516567451064e-15
47,0.089000,9.547918011776346e-15
48,0.083000,9.103828801926284e-15
49,0.114000,9.103828801926284e-15
50,0.316000,9.103828801926284e-15
51,0.720000,9.103828801926284e-15
52,0.658000,9.103828801926284e-15
53,0.658000,9.103828801926284e-15
54,0.696000,9.103828801926284e-15
55,1.204000,6.106226635438361e-15
56,1.563000,6.328271240363392e-15
57,1.897000,6.328271240363392e-15
58,2.039000,6.328271240363392e-15
59,2.902000,6.106226635438361e-15
60,3.460000,6.106226635438361e-15
61,3.076000,6.106226635438361e-15
62,2.927000,6.217248937900877e-15
63,2.876000,6.439293542825908e-15
64,3.149000,6.439293542825908e-15
65,3.448000,6.328271240363392e-15
66,3.000000,6.550315845288424e-15
67,3.243000,6.439293542825908e-15
68,3.119000,6.661338147750939e-15
69,4.067000,6.439293542825908e-15
70,2.722000,6.439293542825908e-15
71,2.374000,6.328271240363392e-15
72,3.167000,6.217248937900877e-15
73,3.143000,6.439293542825908e-15
74,4.516000,5.88418203051333e-15
75,3.583000,5.88418203051333e-15
76,2.968000,4.440892098500626e-15
77,2.766000,4.218847493575595e-15
78,2.364000,4.440892098500626e-15
79,2.341000,4.218847493575595e-15
80,2.793000,4.440892098500626e-15
81,1.910000,4.440892098500626e-15
82,3.335000,4.440892098500626e-15
83,3.160000,4.440892098500626e-15
84,2.873000,4.218847493575595e-15
85,3.291000,4.440892098500626e-15
86,3.249000,4.440892098500626e-15
87,3.529000,4.440892098500626e-15
88,3.310000,4.662936703425657e-15
89,3.307000,4.662936703425657e-15
90,3.253000,4.662936703425657e-15
91,2.434000,4.440892098500626e-15
92,2.922000,4.440892098500626e-15
93,3.089000,4.440892098500626e-15
94,3.104000,4.218847493575595e-15
95,3.046000,4.218847493575595e-15
96,3.270000,3.996802888650564e-15
97,3.338000,4.218847493575595e-15
98,3.228000,4.218847493575595e-15
99,3.201000,3.996802888650564e-15
