Integration Number,Time (s),Max Area Error
0,0.189000,306.5003280238247
1,0.063000,131.1251806333959
2,0.058000,76.38680180467556
3,0.051000,47.48806561848033
4,0.029000,31.19707367240029
5,0.040000,19.25801722851747
6,0.105000,17.60859515535662
7,0.037000,15.15818691573006
8,0.087000,13.67394260562231
9,0.050000,12.99643009859216
10,0.071000,11.71604978432884
11,0.017000,12.6853983520626
12,0.041000,15.50886049265555
13,0.799000,13.33206877883104
14,0.216000,14.11028035331779
15,1.055000,15.26352939905364
16,2.009000,16.0909897358712
17,3.377000,17.68679783649015
18,30.503000,20.94794023112073
19,30.726000,22.91875360063018
20,12.323000,26.06775028354379
21,10.021000,23.49898688508776
22,10.542000,21.53425126211263
23,14.978000,20.5266557965768
24,15.051000,18.21325960932466
25,3.379000,16.14312868085151
26,4.194000,14.27347629686811
27,42.852000,13.31158328468215
28,1.813000,14.24095646621475
29,1.738000,14.2375275223141
30,1.997000,13.79737602242286
31,8.202000,13.25766396448114
32,7.074000,12.65663994745161
33,19.310000,11.94847795152422
34,26.188000,10.73287805256917
35,37.894000,9.189756157607439
36,15.856000,7.763395930361378
37,11.622000,6.447277302912924
38,9.716000,5.364566693776601
39,7.990000,4.141497501787419
40,17.136000,3.824357264548262
41,4.711000,3.40043874409173
42,5.438000,3.298757002154677
43,4.931000,3.121710312414946
44,11.151000,3.177509101838783
45,1.038000,3.27143581817432
46,8.556000,3.257892801277823
47,0.806000,3.309454689561837
48,3.394000,3.336803529658888
49,10.410000,3.339288611488377
50,2.975000,3.387398491980611
51,5.288000,3.419534243752032
52,15.411000,8.014206375253835
53,21.718000,11.81498830887043
54,33.763000,11.38513868203352
55,7.881000,9.728200910783972
56,8.093000,7.877477557601381
57,10.075000,6.415142058626286
58,7.727000,5.120846151200537
59,7.804000,4.656184259496008
60,5.157000,4.698797530101849
61,3.550000,4.160086131751218
62,3.188000,3.846401148816398
63,2.759000,3.436824928403605
64,2.999000,2.710442338884382
65,1.982000,2.048964063420676
66,1.387000,1.626859433016002
67,1.486000,1.655302637287332
68,1.233000,1.541862787639828
69,1.163000,1.290718104372189
70,1.194000,1.424469279535107
71,1.151000,1.4388817760311
72,1.489000,1.263435927824209
73,1.501000,1.337692488360963
74,73.367000,17.60315240421972
75,56.312000,5.630256304540493
76,35.123000,3.898087929335014
77,21.728000,3.621350604275187
78,17.688000,3.042934767602246
79,36.150000,3.313952247176953
80,24.122000,1.717056310425168
81,18.863000,5.658826113866271
82,14.271000,12.84017909252434
83,9.333000,12.31747374105014
84,6.850000,8.29749508733787
85,5.322000,5.185327187908729
86,3.956000,3.320842272031679
87,3.856000,2.102871693931044
88,4.279000,1.296760797902069
89,3.992000,1.199262352641799
90,3.535000,1.208299463659633
91,2.845000,1.244477000336012
92,2.521000,1.132173474441625
93,3.124000,3.130321714067597
94,41.861000,4.658820292451694
95,8.504000,17.2881049672737
96,7.971000,11.67181571049477
97,6.756000,5.706578695846745
98,5.007000,7.133270657849859
99,5.790000,0.9294531626769524
