Integration Number,Time (s),Max Area Error
0,0.171000,1.04334669027836
1,0.027000,0.4563152707105613
2,0.018000,0.2071848190810281
3,0.017000,0.06040613801922357
4,0.019000,0.01248502198295287
5,0.015000,0.008329705292000833
6,0.017000,0.002970830197086327
7,0.015000,0.002516647983926923
8,0.015000,0.0005425425414604668
9,0.016000,0.0005425425414609109
10,0.049000,0.0005425425414606888
11,0.174000,0.0005425425414606888
12,0.586000,0.0005425425414606888
13,1.457000,0.0002158568654208048
14,1.206000,8.844409241959283e-05
15,1.108000,3.636998745104592e-05
16,1.194000,1.49836231568834e-05
17,1.119000,6.179906595682461e-06
18,1.233000,2.551015935159384e-06
19,1.185000,1.05368378056081e-06
20,1.235000,4.349810605042137e-07
21,1.119000,1.795056242537285e-07
22,1.414000,7.405870561250083e-08
23,1.456000,3.055385267014543e-08
24,1.407000,1.260264914648701e-08
25,1.079000,5.198239283465966e-09
26,1.147000,2.14392059660895e-09
27,1.174000,8.838890730444859e-10
28,1.107000,3.644111679079742e-10
29,1.113000,1.502534763275776e-10
30,1.118000,6.195111090789851e-11
31,1.133000,2.554589872971746e-11
32,1.165000,1.053335196843364e-11
33,0.938000,4.343858606148387e-12
34,1.105000,1.791677917140078e-12
35,1.202000,7.394085344003543e-13
36,1.231000,3.05089287166993e-13
37,1.413000,1.262323578998803e-13
38,0.954000,5.262457136723242e-14
39,1.252000,2.065014825802791e-14
40,1.230000,8.881784197001252e-15
41,1.229000,7.771561172376096e-15
42,1.306000,3.774758283725532e-15
43,2.187000,3.663735981263017e-15
44,1.650000,3.219646771412954e-15
45,3.824000,3.441691376337985e-15
46,3.682000,3.441691376337985e-15
47,2.555000,3.219646771412954e-15
48,1.587000,3.441691376337985e-15
49,1.666000,3.219646771412954e-15
50,2.940000,3.441691376337985e-15
51,3.094000,3.441691376337985e-15
52,2.119000,3.441691376337985e-15
53,3.583000,3.108624468950438e-15
54,4.138000,3.996802888650564e-15
55,3.450000,4.662936703425657e-15
56,3.716000,4.218847493575595e-15
57,3.495000,4.440892098500626e-15
58,4.819000,4.440892098500626e-15
59,4.607000,3.774758283725532e-15
60,3.568000,3.774758283725532e-15
61,10.289000,3.996802888650564e-15
62,6.951000,3.663735981263017e-15
63,154.126000,3.774758283725532e-15
64,1.283000,3.774758283725532e-15
65,2.082000,3.774758283725532e-15
66,1.993000,3.774758283725532e-15
67,4.954000,3.774758283725532e-15
68,3.584000,3.774758283725532e-15
69,3.464000,3.996802888650564e-15
70,4.805000,3.996802888650564e-15
71,4.737000,3.996802888650564e-15
72,10.177000,3.774758283725532e-15
73,1.512000,3.774758283725532e-15
74,3.170000,3.774758283725532e-15
75,6.235000,3.663735981263017e-15
76,35.777000,4.551914400963142e-15
77,10.276000,4.884981308350689e-15
78,1.777000,4.884981308350689e-15
79,2.456000,5.329070518200751e-15
80,3.200000,5.329070518200751e-15
81,2.322000,5.329070518200751e-15
82,1.351000,5.10702591327572e-15
83,13.181000,5.329070518200751e-15
84,7.085000,5.329070518200751e-15
85,17.341000,5.329070518200751e-15
86,16.983000,5.10702591327572e-15
87,5.980000,5.10702591327572e-15
88,6.766000,5.10702591327572e-15
89,6.397000,4.662936703425657e-15
90,7.184000,4.662936703425657e-15
91,7.278000,4.662936703425657e-15
92,7.041000,4.884981308350689e-15
93,13.183000,5.10702591327572e-15
94,7.558000,5.10702591327572e-15
95,6.797000,5.10702591327572e-15
96,6.990000,5.10702591327572e-15
97,8.945000,5.10702591327572e-15
98,10.806000,5.10702591327572e-15
99,10.462000,5.329070518200751e-15
