Integration Number,Time (s),Max Area Error
0,0.159000,3.194692015523065
1,0.034000,0.4615830025665184
2,0.012000,0.15345064374365
3,0.014000,0.08060697265912609
4,0.012000,0.03008199300030889
5,0.011000,0.01220983795321584
6,0.011000,0.004905014473924441
7,0.010000,0.002367553580302606
8,0.011000,0.002367553580304715
9,0.027000,0.002367553580304493
10,0.109000,0.0009222551982477345
11,0.088000,0.0003419749729488553
12,0.093000,0.0001338146169709287
13,0.127000,5.183502523564698e-05
14,0.090000,2.042145237668436e-05
15,0.093000,7.827924370040762e-06
16,0.104000,3.101631608437572e-06
17,0.094000,1.242479584218081e-06
18,0.089000,5.643863769666524e-07
19,0.096000,2.111899953805008e-07
20,0.106000,7.979516936096331e-08
21,0.091000,3.049905417107368e-08
22,0.109000,1.20925984781195e-08
23,0.101000,4.744725390359861e-09
24,0.090000,2.430059153901709e-09
25,0.104000,8.820832952949331e-10
26,0.100000,3.103157730777184e-10
27,0.104000,1.20608634190944e-10
28,0.092000,4.528033503703455e-11
29,0.141000,1.760125378780231e-11
30,0.117000,7.007505686829063e-12
31,0.103000,2.76401124210679e-12
32,0.099000,1.088018564132653e-12
33,0.096000,4.301003997397856e-13
34,0.101000,1.694200335577989e-13
35,0.108000,6.672440377997191e-14
36,0.096000,2.55351295663786e-14
37,0.098000,1.121325254871408e-14
38,0.091000,3.552713678800501e-15
39,0.131000,3.663735981263017e-15
40,0.305000,3.663735981263017e-15
41,0.284000,3.219646771412954e-15
42,0.311000,3.219646771412954e-15
43,0.284000,3.219646771412954e-15
44,0.430000,4.329869796038111e-15
45,0.975000,1.77635683940025e-15
46,0.561000,1.665334536937735e-15
47,0.494000,1.665334536937735e-15
48,1.505000,1.665334536937735e-15
49,1.445000,2.331468351712829e-15
50,2.163000,2.331468351712829e-15
51,3.022000,1.77635683940025e-15
52,1.795000,1.77635683940025e-15
53,1.150000,1.77635683940025e-15
54,0.759000,1.77635683940025e-15
55,0.661000,1.554312234475219e-15
56,1.585000,3.219646771412954e-15
57,1.043000,2.55351295663786e-15
58,1.390000,2.55351295663786e-15
59,1.539000,2.55351295663786e-15
60,1.625000,2.55351295663786e-15
61,1.854000,2.55351295663786e-15
62,3.966000,1.998401444325282e-15
63,3.835000,1.998401444325282e-15
64,2.933000,2.331468351712829e-15
65,17.575000,8.881784197001252e-16
66,1.160000,8.881784197001252e-16
67,1.255000,1.332267629550188e-15
68,1.428000,1.554312234475219e-15
69,1.877000,1.332267629550188e-15
70,1.421000,1.332267629550188e-15
71,1.877000,1.554312234475219e-15
72,1.546000,1.110223024625157e-15
73,1.134000,1.332267629550188e-15
74,1.291000,1.110223024625157e-15
75,1.121000,1.110223024625157e-15
76,1.425000,1.332267629550188e-15
77,1.819000,1.110223024625157e-15
78,1.384000,1.110223024625157e-15
79,1.934000,1.110223024625157e-15
80,2.325000,1.110223024625157e-15
81,1.562000,1.110223024625157e-15
82,1.927000,8.881784197001252e-16
83,3.040000,1.332267629550188e-15
84,5.198000,1.332267629550188e-15
85,2.769000,1.332267629550188e-15
86,2.210000,1.332267629550188e-15
87,2.189000,1.77635683940025e-15
88,2.373000,1.998401444325282e-15
89,8.658000,1.77635683940025e-15
90,3.141000,1.77635683940025e-15
91,3.840000,1.554312234475219e-15
92,4.005000,1.77635683940025e-15
93,4.335000,1.77635683940025e-15
94,4.310000,1.332267629550188e-15
95,4.562000,1.332267629550188e-15
96,3.714000,1.332267629550188e-15
97,3.975000,1.332267629550188e-15
98,2.354000,1.332267629550188e-15
99,2.118000,1.332267629550188e-15
