Integration Number,Time (s),Max Area Error
0,0.638000,31.96399750092607
1,0.228000,14.23321467761244
2,0.188000,12.79348220794596
3,0.264000,11.21755595738035
4,0.248000,8.191353738546416
5,0.217000,7.468131342358623
6,0.139000,6.993333978597791
7,0.561000,7.188189009737535
8,0.212000,6.970441320251875
9,0.453000,6.91046442712228
10,0.363000,6.076029640058677
11,0.709000,5.757251903806459
12,0.236000,5.04859583490118
13,0.613000,5.119765388769072
14,1.908000,4.305495467612986
15,0.852000,4.338454764927389
16,3.922000,4.484068815864517
17,39.252000,4.794716549541318
18,45.481000,6.962152280688191
19,28.896000,8.091862057956003
20,4.508000,9.042830424209857
21,23.650000,11.21730794334498
22,6.916000,8.21437523431142
23,6.489000,6.470764668127389
24,5.754000,7.514454468817979
25,9.425000,3.88540180792362
26,9.903000,4.143675246379913
27,21.327000,4.275876403449336
28,11.034000,5.863274136160124
29,9.146000,3.753688013076921
30,3.869000,7.316567719836243
31,9.209000,18.06622087894578
32,20.974000,9.735802181306825
33,37.617000,4.019633129520277
34,6.734000,4.339695878436488
35,40.543000,3.848318702880542
36,5.937000,4.51246417527375
37,3.162000,4.488288681254364
38,4.204000,6.248006276774812
39,15.901000,11.67583246045125
40,16.135000,18.01498104597289
41,38.372000,12.33817763505234
42,2.209000,11.22236966360266
43,4.392000,9.519599899860221
44,11.348000,14.52238396822577
45,18.778000,13.46959542731938
46,55.006000,8.216773260547614
47,102.511000,117.9349489767019
48,349.228000,55.53611572551888
49,21.810000,7.323783972561868
50,17.328000,6.12231565258894
51,3.909000,5.611775162135918
52,3.803000,4.935223550176909
53,58.013000,4.41036564154338
54,20.403000,4.487055562800241
55,3.380000,4.384659789207169
56,15.362000,4.412518781271282
57,9.567000,4.040127319234725
58,13.056000,4.657143152318256
59,24.539000,3.947624291210305
60,59.965000,3.422684248400733
61,3.999000,3.815293598841944
62,3.142000,3.981877962456479
63,194.645000,3.960964039886614
64,4.194000,4.357361486243942
65,4.073000,4.449859988906427
66,2.501000,4.220318877738827
67,305.370000,3.630770742144201
68,5.455000,3.791702102439779
69,9.650000,3.86052215597303
70,4.052000,4.325309326936203
71,34.157000,4.392643272205884
72,10.387000,4.090081814736129
73,3.307000,3.971323983254127
74,7.406000,4.007117125764895
75,15.540000,4.004065450232301
76,93.426000,4.227044277477063
77,75.938000,3.90263377379628
78,34.464000,3.894981356930553
79,61.556000,4.563879648194993
80,31.964000,4.944200688938974
81,44.497000,4.119896378711775
82,4.988000,5.007389727025877
83,25.796000,4.362568718510411
84,4.872000,5.101415402817763
85,3.432000,4.912186954059523
86,41.235000,5.300195954896103
87,19.582000,4.637710128191431
88,7.969000,4.371393235676851
89,23.809000,4.30268689804306
90,19.272000,4.225583363221086
91,33.937000,4.11831000519129
92,52.621000,4.61821619588776
93,129.724000,6.769737042102921
94,5.960000,6.187217181802179
95,25.356000,5.189773897500431
96,29.016000,5.005274436830446
97,47.500000,5.347989332056413
98,69.618000,4.663582812060193
99,22.672000,5.359391032273263
