Integration Number,Time (s),Max Area Error
0,0.079000,1.570301832923678
1,0.055000,0.4971169572494811
2,0.042000,0.1666529398253693
3,0.033000,0.03342010705962761
4,0.024000,0.01703332055124163
5,0.029000,0.009848653185347223
6,0.027000,0.004575995589721216
7,0.028000,0.001862148542029929
8,0.029000,0.001077486643857428
9,0.028000,0.0005248629121845649
10,0.024000,0.0002862755234485093
11,0.030000,0.0001421263861886013
12,0.027000,6.520362246842382e-05
13,0.026000,2.860926058279034e-05
14,0.028000,1.38697263950549e-05
15,0.025000,9.901854836846802e-06
16,0.036000,2.912024362977661e-06
17,0.023000,2.228571593043682e-06
18,0.031000,8.536808031589516e-07
19,0.026000,5.051446445580865e-07
20,0.024000,2.7880765007815e-07
21,0.032000,1.339448032489088e-07
22,0.025000,5.410289949381308e-08
23,0.027000,3.556091687784146e-08
24,0.027000,1.320618636668769e-08
25,0.027000,8.723898270446284e-09
26,0.029000,3.381473323571527e-09
27,0.024000,1.882714206757896e-09
28,0.032000,7.098694965179675e-10
29,0.023000,6.325173718124688e-10
30,0.030000,1.66523017597342e-10
31,0.024000,1.266977633918032e-10
32,0.027000,6.843925426380792e-11
33,0.029000,3.816880145279811e-11
34,0.025000,2.076605554179878e-11
35,0.029000,7.324585382662008e-12
36,0.024000,6.226574811307728e-12
37,0.030000,1.974198582388453e-12
38,0.029000,9.816591983735634e-13
39,0.024000,5.586642259913788e-13
40,0.032000,2.400302179239588e-13
41,0.023000,1.241229341530925e-13
42,0.028000,8.704148513061227e-14
43,0.027000,3.130828929442941e-14
44,0.030000,2.042810365310288e-14
45,0.027000,1.887379141862766e-14
46,0.033000,1.754152378907747e-14
47,0.036000,1.665334536937735e-14
48,0.041000,1.48769885299771e-14
49,0.039000,1.532107773982716e-14
50,0.033000,1.376676550535194e-14
51,0.037000,1.376676550535194e-14
52,0.101000,1.376676550535194e-14
53,0.312000,1.376676550535194e-14
54,0.299000,1.376676550535194e-14
55,0.303000,1.376676550535194e-14
56,0.297000,1.376676550535194e-14
57,0.491000,1.332267629550188e-14
58,0.581000,1.332267629550188e-14
59,0.761000,1.287858708565182e-14
60,0.976000,1.354472090042691e-14
61,0.696000,1.310063169057685e-14
62,0.750000,1.332267629550188e-14
63,0.820000,1.310063169057685e-14
64,0.861000,1.265654248072678e-14
65,0.938000,1.287858708565182e-14
66,1.030000,1.310063169057685e-14
67,1.011000,1.287858708565182e-14
68,1.050000,1.310063169057685e-14
69,1.014000,1.310063169057685e-14
70,0.974000,1.287858708565182e-14
71,0.976000,1.243449787580175e-14
72,0.938000,1.221245327087672e-14
73,0.990000,1.243449787580175e-14
74,1.063000,1.287858708565182e-14
75,1.039000,1.287858708565182e-14
76,0.969000,1.265654248072678e-14
77,0.990000,1.265654248072678e-14
78,0.984000,1.310063169057685e-14
79,0.953000,1.243449787580175e-14
80,1.102000,1.176836406102666e-14
81,1.166000,1.243449787580175e-14
82,1.041000,1.176836406102666e-14
83,0.914000,1.176836406102666e-14
84,0.951000,1.199040866595169e-14
85,1.024000,1.243449787580175e-14
86,1.011000,1.221245327087672e-14
87,1.002000,1.243449787580175e-14
88,1.013000,1.243449787580175e-14
89,1.032000,1.199040866595169e-14
90,0.986000,1.221245327087672e-14
91,1.019000,1.243449787580175e-14
92,1.017000,1.199040866595169e-14
93,1.053000,1.154631945610163e-14
94,1.439000,1.176836406102666e-14
95,1.437000,1.176836406102666e-14
96,1.311000,1.176836406102666e-14
97,1.180000,1.199040866595169e-14
98,1.049000,1.176836406102666e-14
99,1.076000,1.243449787580175e-14
