Integration Number,Time (s),Max Area Error
0,5.850000,19.0060049195016
1,0.137000,9.215500287878999
2,0.177000,3.900451714825988
3,0.148000,2.035089611220997
4,0.138000,1.017458978297779
5,0.114000,0.4113682724032643
6,0.119000,0.1804170576441566
7,0.100000,0.03565059226576706
8,0.073000,0.006192396252439725
9,0.089000,0.003275469218921079
10,0.194000,0.001126462525182337
11,0.080000,0.000748099923431722
12,0.100000,0.0004739948287479923
13,0.189000,0.0001324080595838106
14,0.059000,0.000110594368880057
15,0.065000,4.045133800612e-05
16,0.058000,3.298723713629492e-05
17,0.091000,9.655429633492751e-06
18,0.095000,6.752498185047529e-06
19,0.077000,2.483691101895502e-06
20,0.095000,1.759410209967172e-06
21,0.073000,7.835268285294461e-07
22,0.100000,2.370545808538793e-07
23,0.080000,2.019110114659384e-07
24,0.076000,8.132534223825871e-08
25,0.071000,5.611932629712157e-08
26,0.085000,2.202467030976152e-08
27,0.101000,9.258336097772712e-09
28,0.063000,5.032863459319969e-09
29,0.112000,2.411269184321441e-09
30,0.060000,1.744904887246435e-09
31,0.074000,7.104969945714856e-10
32,0.058000,3.153191041604941e-10
33,0.059000,1.694687723485799e-10
34,0.062000,6.874634195241924e-11
35,0.061000,5.937628166918785e-11
36,0.092000,2.676969756976177e-11
37,0.061000,8.36930524883428e-12
38,0.082000,6.440070698943146e-12
39,0.103000,1.978195385277104e-12
40,0.060000,1.896038881454842e-12
41,0.126000,4.690692279041286e-13
42,0.203000,3.959055305813308e-13
43,0.426000,1.569855356819971e-13
44,0.104000,1.301181384860683e-13
45,0.102000,4.196643033083092e-14
46,0.094000,2.176037128265307e-14
47,0.089000,1.043609643147647e-14
48,0.145000,4.551914400963142e-15
49,0.507000,3.663735981263017e-15
50,0.258000,5.88418203051333e-15
51,0.404000,5.551115123125783e-15
52,0.269000,4.107825191113079e-15
53,0.382000,4.107825191113079e-15
54,0.852000,3.996802888650564e-15
55,0.942000,3.996802888650564e-15
56,3.365000,4.107825191113079e-15
57,2.990000,4.107825191113079e-15
58,4.368000,4.107825191113079e-15
59,5.756000,4.107825191113079e-15
60,3.674000,6.439293542825908e-15
61,9.829000,4.662936703425657e-15
62,6.308000,2.664535259100376e-15
63,4.642000,2.331468351712829e-15
64,6.867000,3.774758283725532e-15
65,3.797000,3.552713678800501e-15
66,4.744000,3.996802888650564e-15
67,10.890000,3.108624468950438e-15
68,5.929000,3.108624468950438e-15
69,7.793000,2.664535259100376e-15
70,7.765000,3.108624468950438e-15
71,8.457000,4.440892098500626e-15
72,6.697000,3.774758283725532e-15
73,5.706000,4.996003610813204e-15
74,7.770000,2.664535259100376e-15
75,8.251000,2.664535259100376e-15
76,7.835000,2.886579864025407e-15
77,9.633000,2.664535259100376e-15
78,6.006000,2.664535259100376e-15
79,6.540000,2.664535259100376e-15
80,8.181000,2.664535259100376e-15
81,7.973000,2.886579864025407e-15
82,13.361000,2.886579864025407e-15
83,12.731000,2.664535259100376e-15
84,14.809000,2.886579864025407e-15
85,12.761000,3.108624468950438e-15
86,54.827000,3.108624468950438e-15
87,13.987000,3.996802888650564e-15
88,13.180000,4.440892098500626e-15
89,11.766000,3.33066907387547e-15
90,14.608000,3.552713678800501e-15
91,10.173000,5.995204332975845e-15
92,8.122000,3.996802888650564e-15
93,11.045000,3.33066907387547e-15
94,9.148000,2.886579864025407e-15
95,18.541000,2.775557561562891e-15
96,7.012000,2.442490654175344e-15
97,5.758000,2.442490654175344e-15
98,6.404000,2.664535259100376e-15
99,9.793000,2.220446049250313e-15
