Integration Number,Time (s),Max Area Error
0,1.430000,41.25418504451648
1,0.652000,19.2553463193983
2,1.087000,14.09751982572208
3,0.803000,8.974955225029536
4,0.847000,5.744025344622361
5,0.708000,3.569732029375747
6,0.606000,1.662900820524116
7,0.626000,0.5865549040760809
8,0.588000,0.1650669191272645
9,0.667000,0.04015948626752786
10,0.634000,0.007192312906033838
11,0.489000,0.00306382203228428
12,0.620000,0.001833573179698345
13,0.571000,0.0008830653569322777
14,0.709000,0.0003395852164930213
15,0.594000,0.0002236331553928661
16,0.529000,0.0001028498564878966
17,0.547000,4.230216319300872e-05
18,0.565000,2.614594595629072e-05
19,0.683000,1.289624445688364e-05
20,0.874000,5.439564727538482e-06
21,0.589000,2.98315813218597e-06
22,0.491000,1.826565071416653e-06
23,0.471000,8.697784277256204e-07
24,0.682000,2.669619916240151e-07
25,0.511000,2.109558099316899e-07
26,0.543000,7.965145210064861e-08
27,0.596000,5.062870056526947e-08
28,0.679000,2.856453917843282e-08
29,0.824000,9.175356696644599e-09
30,0.656000,7.402042312421031e-09
31,0.534000,3.605068910061959e-09
32,0.583000,1.811257144268552e-09
33,0.524000,9.628092767499652e-10
34,0.509000,3.06259240190343e-10
35,0.567000,2.124997955377239e-10
36,0.494000,7.010969582665894e-11
37,0.495000,4.250877427836031e-11
38,0.589000,2.253730535528575e-11
39,1.045000,1.440625396753603e-11
40,0.612000,7.001066393286237e-12
41,0.620000,3.42292860722182e-12
42,0.693000,1.38178357644847e-12
43,0.567000,7.396305790052793e-13
44,1.052000,3.839151219153791e-13
45,0.661000,2.189359804560809e-13
46,0.567000,7.194245199571014e-14
47,0.515000,9.103828801926284e-14
48,0.481000,8.948397578478762e-14
49,0.506000,8.948397578478762e-14
50,0.784000,9.015010959956271e-14
51,1.679000,8.970602038971265e-14
52,1.602000,8.970602038971265e-14
53,1.575000,8.970602038971265e-14
54,1.640000,8.970602038971265e-14
55,2.796000,1.072475441787901e-13
56,3.011000,1.133537708142285e-13
57,2.854000,6.283862319378386e-14
58,3.198000,5.218048215738236e-14
59,3.891000,9.481304630298837e-14
60,3.323000,6.705747068735946e-14
61,8.581000,9.525713551283843e-14
62,4.745000,1.385558334732195e-13
63,3.799000,2.48245868306185e-13
64,3.672000,1.949551631241775e-13
65,3.177000,1.454392162258955e-13
66,3.518000,1.708633234898116e-13
67,4.505000,2.084998840246044e-13
68,3.524000,8.837375276016246e-14
69,3.665000,5.995204332975845e-14
70,2.599000,5.950795411990839e-14
71,3.015000,5.950795411990839e-14
72,3.095000,6.128431095930864e-14
73,3.842000,6.106226635438361e-14
74,3.563000,6.272760089132134e-14
75,4.577000,6.461498003318411e-14
76,4.067000,6.572520305780927e-14
77,3.659000,6.59472476627343e-14
78,3.694000,6.616929226765933e-14
79,9.079000,6.7390537594747e-14
80,4.491000,6.94999613415348e-14
81,4.395000,6.927791673660977e-14
82,4.295000,7.105427357601002e-14
83,3.598000,7.271960811294775e-14
84,3.857000,7.382983113757291e-14
85,3.669000,7.527312106958561e-14
86,4.520000,7.66053886991358e-14
87,4.212000,7.87148124459236e-14
88,4.179000,7.827072323607354e-14
89,4.795000,7.971401316808624e-14
90,3.951000,7.971401316808624e-14
91,4.288000,7.993605777301127e-14
92,3.699000,8.126832540256146e-14
93,4.111000,8.126832540256146e-14
94,4.007000,8.126832540256146e-14
95,3.686000,8.126832540256146e-14
96,4.197000,8.293365993949919e-14
97,4.150000,8.459899447643693e-14
98,3.699000,8.459899447643693e-14
99,4.045000,8.459899447643693e-14
