Integration Number,Time (s),Max Area Error
0,0.158000,0.3546570784770842
1,0.034000,0.02429833231060119
2,0.016000,0.02429833231060119
3,0.020000,0.0242983323106013
4,0.019000,0.0005609520251746991
5,0.032000,0.000560952025174366
6,0.131000,0.000560952025174366
7,0.406000,0.000560952025174366
8,1.241000,0.000560952025174366
9,1.652000,0.000234320573876845
10,2.735000,9.698957420833931e-05
11,2.098000,3.999147343325404e-05
12,2.183000,1.642243968724699e-05
13,2.063000,6.724262482160626e-06
14,2.146000,2.746776404438656e-06
15,2.045000,1.120125648013115e-06
16,2.022000,4.560102494499674e-07
17,3.121000,1.855692588481617e-07
18,2.288000,7.545084945714819e-08
19,2.112000,3.067237752674146e-08
20,2.338000,1.24639540910465e-08
21,2.084000,5.063588437437261e-09
22,2.575000,2.055992265326267e-09
23,2.691000,8.343066237870289e-10
24,2.958000,3.379578839002306e-10
25,1.946000,9.509182330447175e-11
26,2.041000,3.855671337760214e-11
27,1.894000,1.560773732478538e-11
28,1.863000,6.335820756930843e-12
29,1.808000,2.576716617852526e-12
30,2.355000,1.052047338134798e-12
31,2.142000,4.28879154412698e-13
32,2.025000,1.749711486809247e-13
33,1.655000,7.260858581048524e-14
34,1.693000,2.97539770599542e-14
35,1.681000,1.110223024625157e-14
36,1.561000,2.664535259100376e-15
37,1.456000,4.440892098500626e-16
38,4.163000,4.440892098500626e-16
39,278.847000,1.110223024625157e-15
40,23.108000,2.220446049250313e-16
41,1.759000,4.440892098500626e-16
42,219.537000,2.220446049250313e-16
43,12.011000,6.661338147750939e-16
44,7.994000,1.887379141862766e-15
45,20.695000,6.661338147750939e-16
46,2.043000,8.881784197001252e-16
47,2240.603000,1.332267629550188e-15
48,104.738000,1.332267629550188e-15
49,11.257000,1.554312234475219e-15
50,9.052000,4.440892098500626e-16
51,9.253000,6.661338147750939e-16
52,3.875000,2.220446049250313e-16
53,2.461000,4.440892098500626e-16
54,3.222000,1.221245327087672e-15
55,23.670000,9.992007221626409e-16
56,5.339000,4.440892098500626e-16
57,2.645000,6.661338147750939e-16
58,3.689000,4.440892098500626e-16
59,2.181000,6.661338147750939e-16
60,2.575000,4.440892098500626e-16
61,10.380000,4.440892098500626e-16
62,1.660000,4.440892098500626e-16
63,7.797000,8.881784197001252e-16
64,7.530000,2.220446049250313e-16
65,2.319000,2.220446049250313e-16
66,10.237000,1.332267629550188e-15
67,7.371000,1.332267629550188e-15
68,4.710000,2.220446049250313e-16
69,2.250000,1.443289932012704e-15
70,4.174000,1.77635683940025e-15
71,4.110000,1.332267629550188e-15
72,1.450000,1.443289932012704e-15
73,1.943000,6.661338147750939e-16
74,3.483000,8.881784197001252e-16
75,2.348000,5.551115123125783e-16
76,3.228000,8.881784197001252e-16
77,2.541000,2.220446049250313e-15
78,13.903000,1.110223024625157e-15
79,4.136000,1.998401444325282e-15
80,8.838000,5.551115123125783e-16
81,1.354000,4.440892098500626e-16
82,1.524000,5.551115123125783e-16
83,3.462000,6.661338147750939e-16
84,28.343000,6.661338147750939e-16
85,5.744000,4.440892098500626e-16
86,9.626000,5.551115123125783e-16
87,2.909000,2.220446049250313e-16
88,11.095000,2.220446049250313e-16
89,5.905000,6.661338147750939e-16
90,67.796000,4.440892098500626e-16
91,19.696000,6.661338147750939e-16
92,3.706000,6.661338147750939e-16
93,4.981000,1.221245327087672e-15
94,5.399000,1.332267629550188e-15
95,5.637000,1.221245327087672e-15
96,3.209000,8.881784197001252e-16
97,1.363000,1.110223024625157e-15
98,5.685000,4.440892098500626e-16
99,1.867000,1.998401444325282e-15
