Integration Number,Time (s),Max Area Error
0,0.419000,4.896266207509133
1,0.113000,0.8717849392697887
2,0.063000,0.5900919546671748
3,0.061000,0.2704140422382171
4,0.060000,0.09424418723206329
5,0.057000,0.01298587849972743
6,0.047000,0.008842575196321478
7,0.133000,0.002986249177937772
8,0.127000,0.002464557353509367
9,0.072000,0.001338530974612118
10,0.066000,0.000677878640766183
11,0.079000,0.0002372879113763382
12,0.069000,0.000123271809619796
13,0.054000,4.279190350464646e-05
14,0.045000,4.263582490904305e-05
15,0.063000,1.68131077767919e-05
16,0.051000,6.377086232411955e-06
17,0.043000,5.113188594529916e-06
18,0.053000,1.264350030893979e-06
19,0.045000,9.314490228007344e-07
20,0.054000,5.886593170689736e-07
21,0.054000,2.282298499078905e-07
22,0.050000,1.633451093274729e-07
23,0.063000,6.306182842585883e-08
24,0.052000,2.45394654596609e-08
25,0.046000,2.264569232135472e-08
26,0.061000,8.823347386055502e-09
27,0.049000,3.955748173467555e-09
28,0.055000,2.247492303375509e-09
29,0.052000,1.027326335112377e-09
30,0.050000,7.921050482195824e-10
31,0.046000,3.031995765567785e-10
32,0.056000,1.173947605792591e-10
33,0.048000,8.552414332285707e-11
34,0.067000,4.105538131682351e-11
35,0.046000,1.630406920583027e-11
36,0.057000,5.981881656680343e-12
37,0.044000,5.582423412420212e-12
38,0.055000,2.183142555622908e-12
39,0.056000,1.15230047725845e-12
40,0.061000,4.507505479978136e-13
41,0.072000,1.467714838554457e-13
42,0.057000,1.461053500406706e-13
43,0.072000,7.72715225139109e-14
44,0.079000,2.386979502944087e-14
45,0.060000,1.965094753586527e-14
46,0.084000,1.443289932012704e-14
47,0.069000,1.576516694967722e-14
48,0.105000,1.665334536937735e-14
49,0.280000,1.643130076445232e-14
50,0.341000,1.643130076445232e-14
51,1.094000,1.643130076445232e-14
52,1.029000,1.643130076445232e-14
53,1.063000,1.643130076445232e-14
54,0.932000,1.643130076445232e-14
55,1.591000,8.215650382226158e-15
56,1.621000,8.43769498715119e-15
57,1.507000,4.440892098500626e-15
58,1.811000,6.217248937900877e-15
59,3.974000,5.551115123125783e-15
60,3.576000,2.442490654175344e-15
61,12.153000,5.10702591327572e-15
62,4.804000,4.229949723821846e-14
63,5.799000,2.109423746787797e-14
64,6.004000,3.030908857226677e-14
65,5.317000,4.818367926873179e-14
66,13.390000,3.996802888650564e-14
67,4.969000,3.641531520770513e-14
68,6.958000,2.353672812205332e-14
69,7.128000,2.930988785010413e-14
70,7.573000,3.397282455352979e-14
71,4.178000,2.19824158875781e-14
72,5.060000,9.769962616701378e-15
73,5.863000,4.662936703425657e-15
74,4.290000,1.720845688168993e-14
75,4.138000,3.219646771412954e-14
76,3.236000,2.231548279496565e-14
77,5.523000,1.199040866595169e-14
78,6.375000,2.19824158875781e-14
79,6.324000,2.065014825802791e-14
80,5.266000,9.325873406851315e-15
81,4.653000,1.187938636348917e-14
82,4.668000,3.68594044175552e-14
83,4.469000,4.374278717023117e-14
84,4.334000,1.443289932012704e-14
85,6.469000,5.10702591327572e-15
86,3.507000,1.043609643147647e-14
87,12.164000,9.325873406851315e-15
88,3.199000,6.328271240363392e-15
89,3.035000,4.662936703425657e-15
90,4.570000,4.107825191113079e-15
91,3.197000,7.66053886991358e-15
92,2.977000,5.329070518200751e-15
93,2.609000,3.996802888650564e-15
94,1.766000,3.33066907387547e-15
95,6.792000,1.143529715363911e-14
96,4.787000,1.099120794378905e-14
97,4.264000,7.438494264988549e-15
98,4.155000,8.659739592076221e-15
99,3.936000,7.993605777301127e-15
