Integration Number,Time (s),Max Area Error
0,0.204000,0.8701673043113516
1,0.052000,0.1648154955092465
2,0.023000,0.05103502160544227
3,0.020000,0.04160612750257431
4,0.028000,0.01124271012005496
5,0.027000,0.01106705591744483
6,0.027000,0.004483299804487251
7,0.035000,0.001576483541819607
8,0.024000,0.001332314660833944
9,0.034000,0.0005126353900826164
10,0.026000,0.0002547140804147752
11,0.024000,0.0001240521660746952
12,0.029000,5.587273634510836e-05
13,0.024000,4.298457597817773e-05
14,0.034000,1.601791231675698e-05
15,0.025000,1.140907206820252e-05
16,0.048000,3.560973312666249e-06
17,0.029000,2.768043210643611e-06
18,0.029000,9.820777930880098e-07
19,0.034000,8.02911461539324e-07
20,0.033000,3.966637599495115e-07
21,0.034000,1.536065883378512e-07
22,0.028000,7.237362953382842e-08
23,0.031000,2.338142501834284e-08
24,0.019000,2.125912801353991e-08
25,0.027000,7.070904750605678e-09
26,0.021000,2.925126918462695e-09
27,0.023000,2.155318257202055e-09
28,0.024000,1.011788763882748e-09
29,0.034000,5.798408420076839e-10
30,0.024000,2.942013299644941e-10
31,0.034000,1.076869704519368e-10
32,0.022000,8.455069977486573e-11
33,0.032000,3.116618074727739e-11
34,0.022000,1.764766111023164e-11
35,0.026000,1.045297182145077e-11
36,0.024000,5.353051335532655e-12
37,0.034000,1.745936728525521e-12
38,0.027000,1.452171716209705e-12
39,0.027000,6.900036098045348e-13
40,0.029000,2.535749388243858e-13
41,0.030000,1.219024881038422e-13
42,0.025000,8.737455203799982e-14
43,0.021000,3.586020369539256e-14
44,0.032000,1.409983241273949e-14
45,0.028000,4.996003610813204e-15
46,0.021000,4.662936703425657e-15
47,0.048000,4.440892098500626e-15
48,0.040000,4.218847493575595e-15
49,0.057000,4.218847493575595e-15
50,0.115000,4.440892098500626e-15
51,0.527000,4.440892098500626e-15
52,1.386000,4.440892098500626e-15
53,0.988000,4.440892098500626e-15
54,1.036000,4.440892098500626e-15
55,0.964000,4.440892098500626e-15
56,1.288000,4.551914400963142e-15
57,2.898000,4.218847493575595e-15
58,2.848000,4.218847493575595e-15
59,3.051000,4.218847493575595e-15
60,3.517000,4.218847493575595e-15
61,3.451000,4.440892098500626e-15
62,3.299000,4.218847493575595e-15
63,3.052000,4.662936703425657e-15
64,3.205000,4.662936703425657e-15
65,2.557000,4.662936703425657e-15
66,2.551000,4.662936703425657e-15
67,2.671000,4.218847493575595e-15
68,2.713000,4.662936703425657e-15
69,2.632000,4.662936703425657e-15
70,2.915000,4.662936703425657e-15
71,2.692000,4.218847493575595e-15
72,2.779000,4.440892098500626e-15
73,3.225000,4.440892098500626e-15
74,2.749000,4.662936703425657e-15
75,3.435000,4.440892098500626e-15
76,3.605000,4.440892098500626e-15
77,3.591000,4.440892098500626e-15
78,3.593000,4.107825191113079e-15
79,3.371000,4.440892098500626e-15
80,3.207000,4.107825191113079e-15
81,3.451000,4.662936703425657e-15
82,3.069000,4.662936703425657e-15
83,3.468000,4.440892098500626e-15
84,4.249000,4.440892098500626e-15
85,3.752000,4.662936703425657e-15
86,3.879000,4.662936703425657e-15
87,4.040000,4.107825191113079e-15
88,3.963000,4.440892098500626e-15
89,3.654000,4.440892098500626e-15
90,4.162000,4.107825191113079e-15
91,4.185000,4.440892098500626e-15
92,3.723000,4.440892098500626e-15
93,3.893000,4.440892098500626e-15
94,3.938000,4.440892098500626e-15
95,4.146000,4.440892098500626e-15
96,4.118000,4.440892098500626e-15
97,3.865000,4.440892098500626e-15
98,3.874000,4.440892098500626e-15
99,4.234000,4.551914400963142e-15
