Integration Number,Time (s),Max Area Error
0,0.460000,432.0166229818196
1,0.101000,319.430229505337
2,0.120000,190.3679331442412
3,0.134000,111.1733915001246
4,0.153000,63.4781750791492
5,0.146000,45.93272247113505
6,0.151000,24.76340121479884
7,0.110000,11.87088775689112
8,0.135000,1.839382419291794
9,0.102000,1.054138800921019
10,0.103000,0.9088422415291957
11,0.110000,0.8137072025560815
12,0.132000,0.7865076947040994
13,0.100000,0.7828136355734127
14,0.106000,0.7395511564047939
15,0.107000,0.6943733618365816
16,0.108000,0.6328344929199445
17,0.098000,0.5606537642693521
18,0.100000,0.4575618636599137
19,0.111000,0.3985588401196104
20,0.110000,0.3100869725141435
21,0.102000,0.2416210627294259
22,0.103000,0.1911744215911949
23,0.114000,0.1470356247875699
24,0.095000,0.1115814644853782
25,0.122000,0.08038102851067541
26,0.106000,0.06205087255158892
27,0.088000,0.04264669727877146
28,0.098000,0.03166957750294319
29,0.104000,0.02381043767853364
30,0.106000,0.01727284955871922
31,0.111000,0.01725912103372074
32,0.149000,0.006412716183787248
33,0.163000,0.004769865161315834
34,0.226000,0.00483023293493956
35,0.466000,0.002933811207989967
36,0.677000,0.002120862269436308
37,0.549000,0.001229951937574469
38,0.553000,0.0007118273903679029
39,0.480000,0.0003969512334689451
40,0.573000,0.0002318635738414176
41,0.523000,0.0001777788666217361
42,0.546000,0.0001314235647845718
43,0.543000,7.62652356405269e-05
44,0.525000,4.172342850450317e-05
45,0.552000,2.611906468230618e-05
46,0.550000,1.854838080306287e-05
47,0.542000,1.408725112805875e-05
48,0.532000,9.067576837495928e-06
49,0.528000,5.284592339060978e-06
50,0.524000,3.410171668605244e-06
51,0.559000,2.590098464039237e-06
52,0.555000,1.594562381690423e-06
53,0.672000,1.106268918249498e-06
54,0.632000,6.107146299783039e-07
55,0.575000,3.996376107817667e-07
56,0.568000,2.316688493264607e-07
57,0.509000,1.483093849952155e-07
58,0.544000,9.882642681979803e-08
59,0.534000,5.642067857358768e-08
60,0.588000,3.962232264509424e-08
61,0.589000,2.422304345994775e-08
62,0.468000,1.974465413390192e-08
63,0.547000,1.338663291328146e-08
64,0.561000,7.711858929226878e-09
65,0.578000,4.503275308209709e-09
66,0.553000,2.836481716173012e-09
67,0.546000,1.646283553924377e-09
68,0.574000,1.368772650778283e-09
69,0.520000,7.98416333047669e-10
70,0.529000,4.919611384934797e-10
71,0.537000,3.128085568349093e-10
72,0.553000,1.902282775745334e-10
73,0.623000,1.445733532889903e-10
74,0.550000,8.364042791697557e-11
75,0.539000,5.272493552865853e-11
76,0.583000,3.596489772661471e-11
77,0.660000,2.965550027766994e-11
78,0.579000,1.769207003121664e-11
79,0.523000,1.391220472157784e-11
80,0.604000,7.451816941284051e-12
81,0.611000,5.815570247591495e-12
82,0.572000,3.268163517589073e-12
83,0.574000,2.099098672658783e-12
84,0.601000,2.494449091727802e-12
85,0.558000,9.459100169806334e-13
86,0.541000,5.611067166455541e-13
87,0.572000,5.816458426011195e-13
88,0.543000,4.04343225568482e-13
89,0.536000,3.101963130802687e-13
90,0.564000,2.20046203480706e-13
91,0.540000,3.255173908200959e-13
92,0.560000,3.432809592140984e-13
93,0.557000,2.990940828340172e-13
94,0.610000,3.199662756969701e-13
95,0.575000,2.831068712794149e-13
96,0.589000,2.209343819004062e-13
97,0.564000,2.339239912885205e-13
98,0.630000,2.207123372954811e-13
99,0.869000,2.207123372954811e-13
