Integration Number,Time (s),Max Area Error
0,0.311000,55.21691244558605
1,0.094000,20.9458894165156
2,0.111000,13.04538230021725
3,0.128000,7.048744700342777
4,0.129000,3.19516341209499
5,0.129000,2.325908431492258
6,0.140000,1.765474274246422
7,0.121000,0.8799557600033752
8,0.114000,0.7544805547907771
9,0.108000,0.7538315795972427
10,0.158000,0.7541069326190939
11,0.571000,0.6307602748171339
12,0.510000,0.4708980965469833
13,0.538000,0.2171727888728449
14,0.516000,0.1182241075199933
15,0.515000,0.05863300923054349
16,0.518000,0.02887419809180614
17,0.629000,0.01426734787682915
18,0.489000,0.007113630042828389
19,0.664000,0.003523907970398144
20,0.492000,0.001770880432682809
21,0.523000,0.0008979542976472743
22,0.574000,0.0004802865978223991
23,0.511000,0.000267969559279102
24,0.518000,0.0001439538172871568
25,0.531000,9.137309038531605e-05
26,0.539000,5.903080938729488e-05
27,0.513000,3.467837008119812e-05
28,0.555000,2.02073355892729e-05
29,0.547000,1.52609519443736e-05
30,0.481000,8.625789210459089e-06
31,0.536000,5.021268599136874e-06
32,0.502000,3.944481705042691e-06
33,0.502000,2.121577215019599e-06
34,0.535000,1.361779574882149e-06
35,0.551000,8.819555357142406e-07
36,0.505000,5.648081690123874e-07
37,0.530000,3.101283081452522e-07
38,0.556000,2.272036414563416e-07
39,0.509000,1.206411313070532e-07
40,0.510000,7.567561932653177e-08
41,0.513000,4.66713873104041e-08
42,0.512000,2.835704004944262e-08
43,0.590000,1.617384370877772e-08
44,0.563000,9.945060774896319e-09
45,0.491000,5.715913298232067e-09
46,0.491000,4.801671504850447e-09
47,0.497000,2.619676475745791e-09
48,0.561000,1.692570306133234e-09
49,0.515000,1.082126610540968e-09
50,0.505000,6.856804013466444e-10
51,0.547000,3.897515643558336e-10
52,0.508000,2.413711452931011e-10
53,0.509000,1.739518529220163e-10
54,0.504000,9.975265058415062e-11
55,0.513000,5.218014909047497e-11
56,0.531000,3.303335383009198e-11
57,0.542000,1.801814253354905e-11
58,0.531000,9.861778060837878e-12
59,0.525000,6.247891093380531e-12
60,0.500000,4.908295991867817e-12
61,0.511000,2.471467475118061e-12
62,0.518000,3.251066083009846e-12
63,0.524000,2.178701663524407e-12
64,0.517000,1.982081165863292e-12
65,0.549000,6.089573290068984e-13
66,0.516000,6.079581282847357e-13
67,0.519000,1.669775429036235e-13
68,0.510000,3.730349362740526e-13
69,0.547000,2.225997164373439e-13
70,0.504000,2.660094367001875e-13
71,0.511000,2.851052727237402e-13
72,0.554000,2.544631172440859e-13
73,0.550000,2.545741395465484e-13
74,0.575000,2.550182287563985e-13
75,0.574000,2.533528942194607e-13
76,0.756000,4.622968674539152e-13
77,0.786000,2.539080057317733e-13
78,0.585000,2.534639165219232e-13
79,0.774000,2.635669460460122e-13
80,0.701000,2.635669460460122e-13
81,1.026000,2.62234678416462e-13
82,1.067000,2.902122986370159e-13
83,0.903000,9.119371924271036e-13
84,0.644000,7.158718062783009e-13
85,0.846000,5.195843755245733e-13
86,0.592000,3.191891195797325e-13
87,0.928000,3.876898801991047e-13
88,0.614000,1.88182802673964e-13
89,1.102000,2.27151630838307e-13
90,1.264000,2.986499936241671e-13
91,1.014000,4.440892098500626e-13
92,1.423000,2.209343819004062e-13
93,0.951000,2.204902926905561e-13
94,0.799000,3.770317391627032e-13
95,0.665000,3.770317391627032e-13
96,0.648000,1.210143096841421e-13
97,1.030000,1.283417816466681e-13
98,0.830000,4.161115896295087e-13
99,0.982000,4.163336342344337e-13
