Integration Number,Time (s),Max Area Error
0,0.498000,55.87311165635798
1,0.046000,26.72523449541653
2,0.050000,13.64940767810929
3,0.065000,8.055501089136449
4,0.068000,4.988359856549077
5,0.051000,3.124704105906148
6,0.051000,1.722372844902529
7,0.042000,0.9405568736020669
8,0.051000,0.391625226342593
9,0.038000,0.1866040718260424
10,0.050000,0.06040493652194923
11,0.040000,0.01748512591168794
12,0.044000,0.009142397583774775
13,0.042000,0.003135914288636688
14,0.027000,0.0015748696455129
15,0.036000,0.00112449695056438
16,0.036000,0.0005333227050430267
17,0.038000,0.0001710895165077941
18,0.028000,0.0001461942627722923
19,0.038000,7.544735702524896e-05
20,0.045000,2.033211157081993e-05
21,0.023000,1.704059003793112e-05
22,0.037000,8.575567344015766e-06
23,0.028000,3.362874483769929e-06
24,0.025000,1.361463729310231e-06
25,0.023000,1.168368061410519e-06
26,0.038000,3.747216514859986e-07
27,0.025000,2.725133956271719e-07
28,0.027000,1.44025942061532e-07
29,0.028000,6.74101492403878e-08
30,0.030000,2.256116404808495e-08
31,0.025000,1.598780285938517e-08
32,0.032000,7.7709707557716e-09
33,0.032000,2.931555220797577e-09
34,0.027000,2.129095344471921e-09
35,0.031000,1.077278710681639e-09
36,0.030000,4.581519608137796e-10
37,0.026000,3.104716483903758e-10
38,0.031000,6.434830446266915e-11
39,0.027000,6.43505249087184e-11
40,0.081000,6.43514130871381e-11
41,0.298000,6.43514130871381e-11
42,1.050000,6.43514130871381e-11
43,0.974000,6.43514130871381e-11
44,0.993000,6.43514130871381e-11
45,1.319000,2.167577228817663e-11
46,1.506000,7.009504088273388e-12
47,1.159000,2.595590409271153e-12
48,1.214000,1.007194327939942e-12
49,2.140000,3.766986722553156e-13
50,1.585000,1.496580637194711e-13
51,1.297000,6.150635556423367e-14
52,1.224000,2.042810365310288e-14
53,1.240000,1.509903313490213e-14
54,1.280000,1.465494392505207e-14
55,1.407000,9.992007221626409e-15
56,1.403000,1.021405182655144e-14
57,2.703000,5.440092820663267e-15
58,2.525000,5.10702591327572e-15
59,1.652000,5.10702591327572e-15
60,2.105000,5.10702591327572e-15
61,1.557000,5.10702591327572e-15
62,1.820000,5.10702591327572e-15
63,3.022000,5.10702591327572e-15
64,2.448000,5.10702591327572e-15
65,3.280000,5.10702591327572e-15
66,2.508000,5.10702591327572e-15
67,2.880000,6.106226635438361e-15
68,2.947000,4.440892098500626e-15
69,2.430000,4.884981308350689e-15
70,3.476000,5.329070518200751e-15
71,3.510000,4.773959005888173e-15
72,2.883000,5.995204332975845e-15
73,2.699000,5.218048215738236e-15
74,2.362000,3.996802888650564e-15
75,1.779000,4.218847493575595e-15
76,3.561000,4.218847493575595e-15
77,2.894000,4.662936703425657e-15
78,2.772000,4.884981308350689e-15
79,2.880000,4.884981308350689e-15
80,2.940000,4.884981308350689e-15
81,3.114000,4.996003610813204e-15
82,3.299000,4.440892098500626e-15
83,2.780000,1.099120794378905e-14
84,3.278000,8.43769498715119e-15
85,3.419000,4.440892098500626e-15
86,3.414000,4.218847493575595e-15
87,3.235000,4.218847493575595e-15
88,2.742000,5.440092820663267e-15
89,4.715000,5.551115123125783e-15
90,4.373000,4.884981308350689e-15
91,5.328000,8.43769498715119e-15
92,10.466000,8.326672684688674e-15
93,4.663000,7.993605777301127e-15
94,3.842000,1.754152378907747e-14
95,4.014000,1.609823385706477e-14
96,2.494000,1.354472090042691e-14
97,3.316000,1.176836406102666e-14
98,2.934000,8.548717289613705e-15
99,3.451000,9.769962616701378e-15
