Integration Number,Time (s),Max Area Error
0,0.228000,0.2831553245252258
1,0.031000,0.03273000710005913
2,0.022000,0.03273000710005869
3,0.028000,0.03386332531052094
4,0.047000,0.01175009748330413
5,0.028000,0.005890215829863821
6,0.028000,0.001579191955176418
7,0.033000,0.00157919195517553
8,0.088000,0.001579191955175308
9,0.444000,0.0006262551773266178
10,0.371000,0.0002585672186077304
11,0.274000,0.0001067991012475566
12,0.304000,4.50562179641345e-05
13,0.267000,1.837175845076366e-05
14,0.241000,7.704927835305853e-06
15,0.243000,3.138179138995056e-06
16,0.358000,1.311803391690347e-06
17,0.333000,5.462197624206411e-07
18,0.269000,2.241153829185549e-07
19,0.277000,9.223448882433871e-08
20,0.282000,3.863893560662746e-08
21,0.232000,1.621563050502317e-08
22,0.258000,6.624405690658364e-09
23,0.438000,2.763327899835133e-09
24,0.269000,1.064237364900578e-09
25,0.274000,4.311649925980987e-10
26,0.290000,1.812057170980097e-10
27,0.263000,7.656664191557638e-11
28,0.271000,3.113775903784699e-11
29,0.282000,1.177924424666799e-11
30,0.466000,4.969358258222201e-12
31,0.262000,2.08877359852977e-12
32,0.248000,7.784883848671598e-13
33,0.293000,2.956523914576792e-13
34,0.303000,1.239008895481675e-13
35,0.417000,5.229150445984487e-14
36,0.637000,2.042810365310288e-14
37,0.431000,8.104628079763643e-15
38,0.309000,2.442490654175344e-15
39,0.299000,3.441691376337985e-15
40,1.015000,4.107825191113079e-15
41,0.886000,4.107825191113079e-15
42,0.974000,4.107825191113079e-15
43,0.911000,4.107825191113079e-15
44,1.298000,3.108624468950438e-15
45,1.795000,1.332267629550188e-15
46,2.217000,2.442490654175344e-15
47,2.596000,5.440092820663267e-15
48,3.859000,3.33066907387547e-15
49,11.394000,3.441691376337985e-15
50,6.417000,4.329869796038111e-15
51,7.739000,2.886579864025407e-15
52,3.067000,1.554312234475219e-15
53,2.034000,1.554312234475219e-15
54,3.380000,2.331468351712829e-15
55,4.516000,2.886579864025407e-15
56,5.421000,2.997602166487923e-15
57,3.554000,2.442490654175344e-15
58,2.683000,2.664535259100376e-15
59,3.693000,2.664535259100376e-15
60,4.259000,3.33066907387547e-15
61,3.667000,3.219646771412954e-15
62,4.172000,2.220446049250313e-15
63,2.584000,1.110223024625157e-15
64,2.624000,2.886579864025407e-15
65,6.993000,2.220446049250313e-15
66,3.607000,2.442490654175344e-15
67,4.520000,3.108624468950438e-15
68,6.209000,3.219646771412954e-15
69,6.207000,2.442490654175344e-15
70,5.430000,2.775557561562891e-15
71,3.442000,1.332267629550188e-15
72,2.121000,2.775557561562891e-15
73,3.858000,3.441691376337985e-15
74,6.707000,2.442490654175344e-15
75,7.332000,2.664535259100376e-15
76,3.736000,2.55351295663786e-15
77,7.256000,3.552713678800501e-15
78,6.680000,2.442490654175344e-15
79,5.249000,2.220446049250313e-15
80,4.694000,1.332267629550188e-15
81,4.667000,1.665334536937735e-15
82,4.486000,1.332267629550188e-15
83,3.657000,2.664535259100376e-15
84,7.616000,2.775557561562891e-15
85,5.892000,2.664535259100376e-15
86,4.021000,2.331468351712829e-15
87,4.416000,1.998401444325282e-15
88,4.499000,3.774758283725532e-15
89,4.551000,2.220446049250313e-15
90,6.868000,2.442490654175344e-15
91,7.322000,3.33066907387547e-15
92,13.926000,5.329070518200751e-15
93,4.915000,4.218847493575595e-15
94,2.896000,3.33066907387547e-15
95,3.605000,2.442490654175344e-15
96,2.254000,9.992007221626409e-16
97,1.938000,1.110223024625157e-15
98,2.740000,1.887379141862766e-15
99,9.142000,3.552713678800501e-15
