Integration Number,Time (s),Max Area Error
0,0.115000,23.89559929675312
1,0.113000,3.410494870829535
2,0.057000,1.006383243431514
3,0.042000,0.5231963505743764
4,0.025000,0.2696095708736923
5,0.020000,0.1380747555429809
6,0.023000,0.04127546079681688
7,0.015000,0.01082537631187241
8,0.028000,0.003477189316168694
9,0.016000,0.001159141110564033
10,0.022000,0.0006969721951803898
11,0.018000,0.0002622877204216945
12,0.013000,0.0001675914896074326
13,0.022000,6.417191906571418e-05
14,0.012000,4.113714607345553e-05
15,0.018000,1.811896116166167e-05
16,0.015000,8.920679841373236e-06
17,0.018000,5.406335968127784e-06
18,0.016000,1.909296247437631e-06
19,0.015000,1.062306310917194e-06
20,0.021000,6.957928138096037e-07
21,0.021000,2.933793243897753e-07
22,0.015000,1.586282832866104e-07
23,0.016000,7.182656414084221e-08
24,0.015000,3.174602003497284e-08
25,0.015000,1.87348909719276e-08
26,0.017000,9.801552680599457e-09
27,0.014000,5.949229331392303e-09
28,0.017000,2.025761558499539e-09
29,0.013000,1.101604363284991e-09
30,0.019000,6.035814070770584e-10
31,0.018000,3.536053672092976e-10
32,0.019000,1.62882818344201e-10
33,0.015000,9.728551297882859e-11
34,0.034000,3.376099400043131e-11
35,0.047000,2.694333645081315e-11
36,0.062000,1.154742967912625e-11
37,0.082000,4.488631688559508e-12
38,0.031000,2.644329200052198e-12
39,0.024000,1.764810519944149e-12
40,0.037000,5.324629626102251e-13
41,0.022000,3.219646771412954e-13
42,0.064000,1.572075802869222e-13
43,0.018000,6.417089082333405e-14
44,0.028000,2.786659791809143e-14
45,0.020000,2.55351295663786e-14
46,0.019000,1.77635683940025e-14
47,0.033000,1.310063169057685e-14
48,0.018000,7.549516567451064e-15
49,0.023000,6.217248937900877e-15
50,0.025000,6.217248937900877e-15
51,0.052000,6.994405055138486e-15
52,0.195000,7.216449660063518e-15
53,0.607000,7.216449660063518e-15
54,0.521000,7.216449660063518e-15
55,0.711000,7.216449660063518e-15
56,0.562000,7.216449660063518e-15
57,1.077000,6.994405055138486e-15
58,1.394000,6.106226635438361e-15
59,1.715000,6.106226635438361e-15
60,1.876000,6.328271240363392e-15
61,1.389000,6.328271240363392e-15
62,1.105000,6.550315845288424e-15
63,1.385000,6.994405055138486e-15
64,0.971000,6.994405055138486e-15
65,1.072000,6.994405055138486e-15
66,0.956000,6.994405055138486e-15
67,1.071000,6.994405055138486e-15
68,1.032000,6.994405055138486e-15
69,1.116000,6.994405055138486e-15
70,1.045000,6.772360450213455e-15
71,1.025000,6.994405055138486e-15
72,1.364000,6.994405055138486e-15
73,1.070000,6.994405055138486e-15
74,1.233000,6.994405055138486e-15
75,1.091000,6.994405055138486e-15
76,1.128000,6.994405055138486e-15
77,1.122000,6.994405055138486e-15
78,1.037000,6.994405055138486e-15
79,1.076000,6.994405055138486e-15
80,0.939000,6.994405055138486e-15
81,1.095000,6.994405055138486e-15
82,0.985000,6.994405055138486e-15
83,1.072000,7.216449660063518e-15
84,1.029000,7.216449660063518e-15
85,1.281000,7.438494264988549e-15
86,1.749000,6.994405055138486e-15
87,0.927000,6.994405055138486e-15
88,1.114000,6.994405055138486e-15
89,0.997000,6.994405055138486e-15
90,1.146000,6.994405055138486e-15
91,0.965000,7.216449660063518e-15
92,1.298000,7.216449660063518e-15
93,1.344000,7.216449660063518e-15
94,1.209000,7.216449660063518e-15
95,1.160000,7.216449660063518e-15
96,1.092000,7.216449660063518e-15
97,1.192000,7.216449660063518e-15
98,1.119000,7.216449660063518e-15
99,1.269000,7.216449660063518e-15
