Integration Number,Time (s),Max Area Error
0,0.469000,28.87142008660669
1,0.167000,18.8666976925693
2,0.096000,12.05170236119934
3,0.090000,7.291681989337517
4,0.088000,4.373483416716368
5,0.083000,3.109827663818221
6,0.083000,1.991739972801702
7,0.067000,1.352169709278416
8,0.069000,0.8237934451052087
9,0.079000,0.419713802008133
10,0.066000,0.2102247866226317
11,0.061000,0.1099401043797541
12,0.069000,0.0557048650249059
13,0.079000,0.03066403312048083
14,0.064000,0.01487160136690258
15,0.072000,0.009026522177799867
16,0.060000,0.00365812494707729
17,0.066000,0.002778709304878113
18,0.072000,0.000615498988474017
19,0.068000,0.0008652252829504103
20,0.100000,0.0008652252829499663
21,0.344000,0.0008652252829501883
22,1.190000,0.0008652252829501883
23,2.094000,0.0001151422937917257
24,2.123000,3.015624524516092e-05
25,3.208000,1.169020874636217e-05
26,1.699000,4.563404878643595e-06
27,1.363000,1.781040284920543e-06
28,1.837000,6.93792665762416e-07
29,1.206000,2.702862411663176e-07
30,1.535000,1.049915328010798e-07
31,1.346000,4.072224046858253e-08
32,1.170000,1.670156069000228e-08
33,1.264000,6.087948367650142e-09
34,1.303000,2.624983452825802e-09
35,1.178000,9.993570415645081e-10
36,1.109000,3.535463033443875e-10
37,1.251000,1.371494029456244e-10
38,1.122000,7.546729907659255e-11
39,1.124000,2.169242563354601e-11
40,1.112000,8.678391338889924e-12
41,1.165000,3.450795205139912e-12
42,1.143000,1.377564728954894e-12
43,1.501000,5.522249324485529e-13
44,1.140000,3.133049375492192e-13
45,1.227000,1.221245327087672e-13
46,1.110000,4.307665335545607e-14
47,0.994000,7.083222897108499e-14
48,1.265000,1.096900348329655e-13
49,1.134000,1.09801057135428e-13
50,1.160000,1.003641614261142e-13
51,1.974000,1.003641614261142e-13
52,1.511000,1.001421168211891e-13
53,1.496000,1.001421168211891e-13
54,1.560000,1.001421168211891e-13
55,2.150000,1.001421168211891e-13
56,2.151000,1.001421168211891e-13
57,2.065000,1.001421168211891e-13
58,2.177000,1.001421168211891e-13
59,2.174000,1.001421168211891e-13
60,2.116000,9.803269307440132e-14
61,1.914000,9.781064846947629e-14
62,1.928000,9.781064846947629e-14
63,2.277000,9.803269307440132e-14
64,2.484000,9.781064846947629e-14
65,2.431000,9.781064846947629e-14
66,2.541000,9.781064846947629e-14
67,2.253000,9.781064846947629e-14
68,2.291000,9.803269307440132e-14
69,2.050000,9.803269307440132e-14
70,2.328000,9.803269307440132e-14
71,2.503000,9.803269307440132e-14
72,2.667000,9.781064846947629e-14
73,2.389000,9.803269307440132e-14
74,2.611000,9.803269307440132e-14
75,2.107000,9.781064846947629e-14
76,2.161000,9.803269307440132e-14
77,2.258000,9.803269307440132e-14
78,2.214000,9.803269307440132e-14
79,2.288000,9.803269307440132e-14
80,2.162000,9.781064846947629e-14
81,2.292000,9.825473767932635e-14
82,2.330000,9.781064846947629e-14
83,1.945000,9.781064846947629e-14
84,2.086000,9.803269307440132e-14
85,2.203000,9.781064846947629e-14
86,2.277000,9.803269307440132e-14
87,2.344000,9.781064846947629e-14
88,2.267000,9.803269307440132e-14
89,2.167000,9.825473767932635e-14
90,2.720000,9.781064846947629e-14
91,2.160000,9.781064846947629e-14
92,2.102000,9.781064846947629e-14
93,2.036000,9.781064846947629e-14
94,2.062000,9.803269307440132e-14
95,2.100000,9.803269307440132e-14
96,2.231000,9.803269307440132e-14
97,2.213000,9.758860386455126e-14
98,2.206000,9.758860386455126e-14
99,2.195000,9.758860386455126e-14
