Integration Number,Time (s),Max Area Error
0,0.157000,0.5813253322532093
1,0.067000,0.241886346757009
2,0.030000,0.09016226524360926
3,0.026000,0.03314389128217554
4,0.019000,0.006054904344973244
5,0.018000,0.006054904344973466
6,0.097000,0.006054904344973466
7,0.385000,0.0007739760268468121
8,0.348000,7.587157437216607e-05
9,0.327000,8.877644591565037e-06
10,0.344000,6.526717478694266e-07
11,0.344000,1.233519902887892e-07
12,0.319000,3.80914355613271e-09
13,0.531000,2.407443133733977e-09
14,0.728000,8.315299560024414e-10
15,0.569000,2.953710609432392e-10
16,0.460000,9.894574048985305e-11
17,0.406000,3.505262746728022e-11
18,0.446000,1.174438324369476e-11
19,0.404000,4.158451361035986e-12
20,0.393000,1.394218074324272e-12
21,0.395000,4.931610675384945e-13
22,0.369000,1.645350522494482e-13
23,0.386000,5.81756864903582e-14
24,0.390000,1.931788062847772e-14
25,0.504000,6.883382752675971e-15
26,0.391000,2.331468351712829e-15
27,0.369000,6.661338147750939e-16
28,0.529000,1.110223024625157e-15
29,1.235000,8.881784197001252e-16
30,1.260000,8.881784197001252e-16
31,1.299000,8.881784197001252e-16
32,2.037000,8.881784197001252e-16
33,1.513000,4.440892098500626e-16
34,4.212000,4.440892098500626e-16
35,47.993000,4.440892098500626e-16
36,23.348000,4.440892098500626e-16
37,10.897000,4.440892098500626e-16
38,57.079000,4.440892098500626e-16
39,11.530000,4.440892098500626e-16
40,41.698000,4.440892098500626e-16
41,53.088000,4.440892098500626e-16
42,10.115000,4.440892098500626e-16
43,39.269000,4.440892098500626e-16
44,49.582000,4.440892098500626e-16
45,10.142000,4.440892098500626e-16
46,38.054000,4.440892098500626e-16
47,47.139000,4.440892098500626e-16
48,10.972000,4.440892098500626e-16
49,7.185000,4.440892098500626e-16
50,6.791000,4.440892098500626e-16
51,8.324000,4.440892098500626e-16
52,9.526000,4.440892098500626e-16
53,8.568000,4.440892098500626e-16
54,8.626000,4.440892098500626e-16
55,8.092000,4.440892098500626e-16
56,9.779000,4.440892098500626e-16
57,8.111000,4.440892098500626e-16
58,8.774000,4.440892098500626e-16
59,9.721000,4.440892098500626e-16
60,9.358000,4.440892098500626e-16
61,9.837000,4.440892098500626e-16
62,10.772000,4.440892098500626e-16
63,9.804000,4.440892098500626e-16
64,11.089000,4.440892098500626e-16
65,12.267000,4.440892098500626e-16
66,2.981000,4.440892098500626e-16
67,6.445000,4.440892098500626e-16
68,7.921000,4.440892098500626e-16
69,12.610000,4.440892098500626e-16
70,24.427000,4.440892098500626e-16
71,5.290000,4.440892098500626e-16
72,3.235000,4.440892098500626e-16
73,6.285000,4.440892098500626e-16
74,8.339000,4.440892098500626e-16
75,10.520000,4.440892098500626e-16
76,16.066000,4.440892098500626e-16
77,16.733000,4.440892098500626e-16
78,21.645000,4.440892098500626e-16
79,5.753000,4.440892098500626e-16
80,2.949000,4.440892098500626e-16
81,6.363000,4.440892098500626e-16
82,8.604000,4.440892098500626e-16
83,10.151000,4.440892098500626e-16
84,14.165000,4.440892098500626e-16
85,18.061000,4.440892098500626e-16
86,21.760000,4.440892098500626e-16
87,6.059000,4.440892098500626e-16
88,3.422000,4.440892098500626e-16
89,6.242000,4.440892098500626e-16
90,8.342000,4.440892098500626e-16
91,9.695000,4.440892098500626e-16
92,13.875000,4.440892098500626e-16
93,16.291000,4.440892098500626e-16
94,22.215000,4.440892098500626e-16
95,4.521000,4.440892098500626e-16
96,3.275000,4.440892098500626e-16
97,7.140000,4.440892098500626e-16
98,7.750000,4.440892098500626e-16
99,9.854000,4.440892098500626e-16
