Integration Number,Time (s),Max Area Error
0,0.160000,1.52084053754039
1,0.030000,0.6305514544941155
2,0.018000,0.2363457478198452
3,0.017000,0.1203084490080533
4,0.017000,0.04077123784748582
5,0.016000,0.01731346644468101
6,0.017000,0.00437848940488772
7,0.016000,0.002857136709373043
8,0.016000,0.001206251353413124
9,0.014000,0.0009498739575506399
10,0.019000,0.0002797504989584532
11,0.014000,0.0002507027744359513
12,0.018000,8.558855474261051e-05
13,0.015000,3.809971669177514e-05
14,0.014000,3.108685918973286e-05
15,0.023000,1.221992042921283e-05
16,0.016000,6.283652607796952e-06
17,0.016000,2.678656180199468e-06
18,0.015000,1.648978102064547e-06
19,0.016000,6.272784143224186e-07
20,0.016000,2.749059986317803e-07
21,0.014000,1.976115042712223e-07
22,0.018000,5.909046241203697e-08
23,0.014000,4.582618617909873e-08
24,0.016000,2.934373644070121e-08
25,0.016000,1.170972541153503e-08
26,0.017000,5.375781375605015e-09
27,0.014000,3.910633372683492e-09
28,0.017000,1.217938305764221e-09
29,0.015000,8.732131684396904e-10
30,0.018000,3.310751672813694e-10
31,0.019000,1.791495840564039e-10
32,0.016000,6.125500107145854e-11
33,0.015000,2.87223578254725e-11
34,0.017000,2.240563290456521e-11
35,0.020000,1.038324981550431e-11
36,0.016000,7.425615677902897e-12
37,0.021000,2.274180843642171e-12
38,0.016000,1.875499755499277e-12
39,0.023000,5.252465129501616e-13
40,0.016000,3.482769628249116e-13
41,0.017000,1.059152765492399e-13
42,0.015000,9.170442183403793e-14
43,0.016000,5.52891066263328e-14
44,0.016000,2.509104035652854e-14
45,0.017000,1.798561299892754e-14
46,0.019000,1.598721155460225e-14
47,0.021000,1.643130076445232e-14
48,0.043000,1.598721155460225e-14
49,0.045000,1.620925615952729e-14
50,0.182000,1.620925615952729e-14
51,0.629000,1.620925615952729e-14
52,0.575000,1.620925615952729e-14
53,0.577000,1.620925615952729e-14
54,0.577000,1.620925615952729e-14
55,0.792000,1.620925615952729e-14
56,0.922000,1.576516694967722e-14
57,1.105000,1.576516694967722e-14
58,1.164000,1.576516694967722e-14
59,1.419000,1.576516694967722e-14
60,1.024000,1.576516694967722e-14
61,1.253000,1.576516694967722e-14
62,1.226000,1.554312234475219e-14
63,2.903000,1.598721155460225e-14
64,2.150000,1.576516694967722e-14
65,1.707000,1.554312234475219e-14
66,2.386000,1.576516694967722e-14
67,1.630000,1.554312234475219e-14
68,2.535000,1.576516694967722e-14
69,0.931000,1.576516694967722e-14
70,1.500000,1.598721155460225e-14
71,1.426000,1.576516694967722e-14
72,1.250000,1.576516694967722e-14
73,1.053000,1.598721155460225e-14
74,1.837000,1.620925615952729e-14
75,1.973000,1.576516694967722e-14
76,2.203000,1.554312234475219e-14
77,9.609000,1.620925615952729e-14
78,1.937000,1.554312234475219e-14
79,7.886000,1.598721155460225e-14
80,2.591000,1.598721155460225e-14
81,2.675000,1.598721155460225e-14
82,2.038000,1.598721155460225e-14
83,1.999000,1.576516694967722e-14
84,2.794000,1.598721155460225e-14
85,1.881000,1.598721155460225e-14
86,2.607000,1.598721155460225e-14
87,2.421000,1.620925615952729e-14
88,2.565000,1.620925615952729e-14
89,2.486000,1.620925615952729e-14
90,2.515000,1.620925615952729e-14
91,3.115000,1.598721155460225e-14
92,2.956000,1.598721155460225e-14
93,3.271000,1.620925615952729e-14
94,2.939000,1.598721155460225e-14
95,2.773000,1.598721155460225e-14
96,3.059000,1.620925615952729e-14
97,2.713000,1.620925615952729e-14
98,2.635000,1.620925615952729e-14
99,2.420000,1.620925615952729e-14
