Integration Number,Time (s),Max Area Error
0,0.064000,59.01231795957164
1,0.068000,27.28215452894117
2,0.067000,12.62691831271563
3,0.053000,6.001615133540529
4,0.044000,2.747248741000376
5,0.050000,1.374257982868611
6,0.042000,1.323075370014209
7,0.047000,1.073888386494631
8,0.042000,1.156956778272371
9,0.064000,0.9475304408913137
10,0.062000,0.789295899155513
11,0.072000,0.6069084978353594
12,0.071000,0.4731457268433207
13,0.071000,0.4450645374028703
14,0.065000,0.3668327991121944
15,0.072000,0.3705900560857494
16,0.209000,0.1433685747609938
17,0.188000,0.1110362292623082
18,0.193000,0.0398535980910022
19,0.244000,0.04579700047132995
20,0.878000,0.0142449328734866
21,1.211000,0.005378099007379289
