Integration Number,Time (s),Max Area Error
0,0.482000,432.0166229817497
1,0.176000,237.7476792929122
2,0.124000,145.2728517735082
3,0.122000,87.8738451745248
4,0.138000,73.09420223637335
5,0.147000,42.98863055048402
6,0.141000,22.6049533596118
7,0.127000,6.27286427937613
8,0.117000,1.006166597076918
9,0.098000,0.8554214437473711
10,0.084000,0.8301059140835643
11,0.084000,0.7992854218265306
12,0.089000,0.7215428528776107
13,0.088000,0.679268134353689
14,0.071000,0.5949203503474427
15,0.079000,0.5232384802543981
16,0.077000,0.4380190254346704
17,0.086000,0.3382661202389924
18,0.084000,0.2812177730165184
19,0.078000,0.201642717525859
20,0.084000,0.1736754282056213
21,0.086000,0.1282954716701982
22,0.073000,0.109212031235412
23,0.084000,0.07289684841834987
24,0.076000,0.06387861431446951
25,0.084000,0.03446306155459111
26,0.078000,0.03155667805179585
27,0.075000,0.006909061196347821
