Integration Number,Time (s),Max Area Error
0,0.358000,55.21691244559188
1,0.125000,21.50654392377571
2,0.124000,9.72710256221421
3,0.138000,5.098977111900305
4,0.122000,2.67064319964304
5,0.115000,2.293715413828829
6,0.125000,1.537382704347172
7,0.102000,0.9211889546255594
8,0.094000,0.8041788520869582
9,0.085000,0.7835462795156569
10,0.090000,0.749338126060082
11,0.077000,0.7044673807864184
12,0.080000,0.6290001995408252
13,0.077000,0.5535517429269889
14,0.076000,0.4698779960900117
15,0.081000,0.3878450568626258
16,0.077000,0.3023328030612014
17,0.077000,0.2387202568539183
18,0.077000,0.175309707336385
19,0.078000,0.1366665801898997
20,0.076000,0.09468060551785717
21,0.077000,0.07460805960814387
22,0.083000,0.05207740657573523
23,0.074000,0.04140284842439246
24,0.078000,0.02942841776392535
25,0.075000,0.02312892958219903
26,0.078000,0.0156195838806652
27,0.071000,0.01327362262717757
28,0.076000,0.008812890415915708
