Integration Number,Time (s),Max Area Error
0,0.377000,28.8714200866067
1,0.113000,17.12418647952065
2,0.064000,11.06732536619413
3,0.074000,6.231723866345708
4,0.058000,4.108054249458651
5,0.046000,3.004125288352207
6,0.039000,1.882007437265814
7,0.039000,1.261892746875555
8,0.038000,0.7706970277010015
9,0.034000,0.3862725376168108
10,0.037000,0.1973385925637958
11,0.037000,0.1042321746216737
12,0.034000,0.05692678345956859
13,0.038000,0.03262675654864022
14,0.037000,0.01797811824833806
15,0.034000,0.01075129002916686
16,0.034000,0.005686174941885946
