Integration Number,Time (s),Max Area Error
0,0.231000,306.5003280238242
1,0.071000,131.1251806333958
2,0.063000,76.38680180467587
3,0.051000,47.48806561848065
4,0.030000,31.19707367240108
5,0.041000,19.25801722851854
6,0.111000,17.60859515535752
7,0.037000,15.15818691573131
8,0.086000,13.67394260562375
9,0.046000,12.99643009859419
10,0.065000,11.71604978433648
11,0.016000,12.68539835209093
12,0.043000,15.50886049291022
13,0.827000,13.3320687722896
14,0.224000,14.11028035116632
15,1.090000,15.26352939910592
16,1.638000,16.09098974752245
17,2.367000,17.68679783255726
18,20.740000,20.94794106469725
19,19.315000,22.91874447028418
20,8.443000,26.06765209848286
21,6.823000,23.49908876783699
22,7.871000,21.55223489192975
23,10.514000,20.67559915034627
24,9.455000,18.36673182580471
25,2.614000,16.28094885398071
26,3.217000,14.35397786606361
27,8.634000,13.87934223955799
28,1.213000,13.33193594491527
29,12.735000,13.05834264567313
30,1.965000,12.94543767546096
31,5.241000,12.37508132255412
32,3.072000,11.87513784691578
33,13.889000,9.248806431728312
34,10.613000,13.03473214163468
35,18.789000,10.46150922217709
36,13.729000,8.99472825067355
37,9.439000,7.641969868068776
38,7.559000,6.469811360595502
39,5.160000,5.027428458555438
40,3.894000,3.600375774275711
41,3.110000,2.537586405098621
42,2.601000,2.889389417301058
43,2.096000,3.068293819810989
44,1.865000,2.918972649019279
45,1.329000,2.750589131314018
46,1.252000,2.300061305278939
47,1.146000,2.100972277556566
48,1.141000,1.886106857574837
49,1.135000,1.824990329930613
50,1.164000,1.791570914719444
51,1.228000,1.63638579769403
52,1.175000,1.63141155786635
53,1.312000,1.547523562788528
54,1.193000,1.530856212530695
55,1.391000,1.509988096372826
56,1.344000,1.695809144516559
57,18.546000,2.780990681907047
58,4.013000,1.605831521814887
59,41.318000,1.919942816140917
60,10.695000,2.027054058205191
61,23.248000,2.216414687406008
62,16.187000,2.035261366135223
63,9.070000,2.480549511878876
64,5.524000,2.663284168364933
65,4.400000,2.593940679360796
66,3.404000,2.461606351857338
67,2.869000,2.234233988548464
68,2.493000,2.02282691747262
69,2.694000,1.835937494684896
70,3.288000,1.725375033581442
71,3.992000,1.565078733777785
72,32.743000,1.635693430360186
73,6.678000,1.728311544434676
74,5.755000,1.779226307707752
75,4.930000,1.789930406424842
76,3.807000,1.761750393279197
77,3.153000,2.274413060415163
78,2.766000,1.923179497451469
79,3.124000,1.471148861527221
80,3.425000,1.312539462973274
81,3.440000,1.173396771642583
82,2.820000,1.225902455793267
83,2.394000,1.270078578438165
84,2.078000,1.221015326783633
85,1.949000,1.152681731283608
86,1.925000,1.048256955039968
87,1.790000,0.964235818047289
88,1.696000,1.120480523438638
89,1.715000,1.214883208501228
90,1.754000,1.142696333257338
91,1.768000,0.9584856599372524
92,1.636000,0.9227737265225271
93,1.634000,0.8699481441028512
94,1.555000,0.8160408827423076
95,1.580000,0.7597878844358417
96,1.588000,0.78192127174022
97,1.608000,0.8546257021226908
98,1.573000,0.9585706998024974
99,1.603000,0.9316622513718633
