Integration Number,Time (s),Max Area Error
0,1.026000,81.77574719667044
1,0.058000,40.92323270838057
2,0.099000,22.49025181340391
3,0.107000,14.04316493254061
4,0.120000,9.204958649583299
5,0.122000,5.196428256526425
6,0.113000,2.730213131897336
7,0.123000,1.53781297974499
8,0.110000,0.9766101661910518
9,0.096000,0.9767096153670143
10,0.127000,0.9657244155287551
11,0.142000,0.9254980960635893
12,0.131000,0.811338031427828
13,0.130000,0.5554037581240105
14,0.118000,0.121007363081584
15,0.142000,0.06703724014668044
16,0.122000,0.02223840207733097
17,0.134000,0.01583624914550497
18,0.113000,0.00544897627967833
