Integration Number,Time (s),Max Area Error
0,0.239000,30.91146471275605
1,0.114000,14.62093144259001
2,0.076000,13.351168075693
3,0.075000,10.07353973210199
4,0.080000,9.495482154176203
5,0.053000,8.396827467316653
6,0.194000,8.396827467316557
7,0.089000,8.973486939957009
8,0.286000,10.68940963145452
9,1.485000,9.615589345057531
10,3.391000,8.036248978288093
11,4.275000,5.54270485704321
12,5.330000,3.697389234813781
13,6.093000,2.46950175494884
14,5.521000,1.618248627973966
15,4.123000,1.149174297511157
16,2.936000,1.0476356580103
17,2.193000,1.040935450657545
18,1.576000,1.185165669639652
19,1.480000,1.149858779108939
20,1.579000,0.9581850646250663
21,1.467000,0.8718134702800615
22,1.454000,0.8585093320485351
23,1.490000,0.8612724542850341
24,1.824000,0.9028663142414928
25,1.798000,0.8988686862758388
26,1.710000,0.754187341798501
27,1.582000,0.5900985844628086
28,1.660000,0.4313425446134944
29,1.383000,0.3916367338849054
30,1.627000,0.4125588699734337
31,1.582000,0.4555993274724564
32,1.306000,0.4732405535560744
33,1.281000,0.4500826060987853
34,1.441000,0.4150312023839913
35,1.315000,0.3620083675913859
36,1.349000,0.3174420067115151
37,1.333000,0.2828041764747558
38,1.526000,0.2004656401635962
39,1.452000,0.1708113099981232
40,1.248000,0.1781844926663689
41,1.133000,0.1820269503831575
42,1.345000,0.1762732345353339
43,1.581000,0.1626276247561984
44,1.452000,0.1510792730756365
45,1.263000,0.1418626588403928
46,1.311000,0.1256657775903993
47,1.262000,0.1155569843853379
48,1.359000,0.1105057978623847
49,1.261000,0.1088379542380369
50,1.233000,0.1039030966845167
51,1.258000,0.09705217833332602
52,1.243000,0.09483984185846994
53,1.292000,0.09257508466593611
54,1.297000,0.0925457310667448
55,1.343000,0.08884891992918509
56,1.478000,0.08581709366719448
57,1.511000,0.08138894620866788
58,1.511000,0.07724850041351394
59,1.314000,0.07251789962145705
60,1.303000,0.069811796086092
61,1.312000,0.06710097829718165
62,1.425000,0.06521119244842555
63,1.410000,0.0625619438545908
64,1.312000,0.0615158641557636
65,1.297000,0.05953162959709624
66,1.384000,0.05860971900162371
67,1.443000,0.05683335740248996
68,1.474000,0.05293054402057562
69,1.357000,0.04882397583312481
70,1.397000,0.04760855394521957
71,1.495000,0.04464264423103947
72,1.625000,0.04261651432537628
73,1.472000,0.04045438290606174
74,1.346000,0.03974638672734998
75,1.274000,0.03715410627040527
76,1.394000,0.0329284701210939
77,1.351000,0.03053034082539718
78,1.569000,0.02992722467522424
79,1.491000,0.02919798404428309
80,1.356000,0.02840216322468936
81,1.518000,0.02782861137099713
82,1.503000,0.02803492612361125
83,1.334000,0.02812189723474701
84,1.576000,0.02783056248704541
85,1.544000,0.02791426735861013
86,1.549000,0.02806643554980259
87,1.452000,0.02832464664596923
88,1.585000,0.02826037130498094
89,1.671000,0.02833799135771997
90,1.719000,0.02836417430719274
91,1.531000,0.02804577742651415
92,1.722000,0.02768256555369031
93,1.571000,0.02732135164197924
94,1.493000,0.02697598868542173
95,1.452000,0.0266909769156265
96,1.405000,0.02640916746299515
97,1.530000,0.02619701683320108
98,1.424000,0.02595280571884229
99,1.407000,0.0251897501300018
