Integration Number,Time (s),Max Area Error
0,0.043000,15.53147288200159
1,0.040000,5.871770003925609
2,0.042000,2.638090963966324
3,0.045000,0.8119742165060115
4,0.037000,0.1979849447499686
5,0.040000,0.07934910800142325
6,0.035000,0.05338034742158226
7,0.034000,0.04651461278330316
8,0.032000,0.03435033231890916
9,0.035000,0.02815475587043414
10,0.036000,0.02052128828558542
11,0.033000,0.01679005140544865
12,0.033000,0.0122714381030552
13,0.034000,0.009858031022032976
14,0.043000,0.007318975304910658
15,0.034000,0.005803889876482171
16,0.050000,0.004290892585690709
17,0.037000,0.003405952411263291
18,0.048000,0.002514713511711619
19,0.042000,0.001999467112586362
20,0.047000,0.001473497938877633
21,0.054000,0.001172327755514346
22,0.060000,0.0008636775919497186
23,0.069000,0.0006871942599770975
24,0.062000,0.0005061941634014744
25,0.070000,0.000402774924436522
26,0.064000,0.0002966468338980732
27,0.076000,0.0002360546158434174
28,0.073000,0.000173835752274476
29,0.085000,0.0001383406300446977
30,0.075000,0.0001018626162830882
31,0.067000,8.107153630720898e-05
32,0.072000,5.968719136617562e-05
33,0.090000,4.750819793875038e-05
34,0.244000,3.497578792976963e-05
35,0.151000,2.784146917089725e-05
36,0.128000,2.049356628297527e-05
37,0.112000,1.631567442450521e-05
38,0.101000,1.200804156453739e-05
39,0.083000,9.561294421978062e-06
40,0.201000,7.035823886947234e-06
41,0.091000,5.60290020779064e-06
42,0.090000,4.122394493988324e-06
43,0.102000,3.283316630464661e-06
44,0.085000,2.415261879828989e-06
45,0.080000,1.923998354969036e-06
46,0.092000,1.415076918309666e-06
47,0.103000,1.12743216396094e-06
48,0.121000,8.2903839215831e-07
49,0.133000,6.606254232544018e-07
50,0.127000,4.857191858720356e-07
51,0.211000,3.871030191948677e-07
52,0.085000,2.845497802939079e-07
53,0.076000,2.268242774716711e-07
54,0.074000,1.666946269907044e-07
55,0.064000,1.329100313141041e-07
56,0.076000,9.765249575632851e-08
57,0.076000,7.787815881066251e-08
58,0.077000,5.720280504828423e-08
59,0.077000,4.5628482991944e-08
60,0.078000,3.350935817714173e-08
61,0.072000,2.672916832313632e-08
62,0.074000,1.962733953142504e-08
63,0.119000,1.565804919057001e-08
64,0.079000,1.149623007901113e-08
65,0.078000,9.1726787276869e-09
66,0.071000,6.733335222719461e-09
67,0.067000,5.373110623096977e-09
68,0.076000,3.943404935924377e-09
69,0.073000,3.147185512197836e-09
70,0.077000,2.309932578548057e-09
71,0.075000,1.84353332599585e-09
72,0.082000,1.35276467805312e-09
73,0.084000,1.079710765239383e-09
74,0.074000,7.921845401881455e-10
75,0.077000,6.323918055883837e-10
76,0.074000,4.639182371590778e-10
77,0.080000,3.703484185990646e-10
78,0.073000,2.716084024356746e-10
79,0.072000,2.168496493482053e-10
80,0.069000,1.590748643920392e-10
81,0.065000,1.271044380857234e-10
82,0.071000,9.322498328856454e-11
83,0.095000,7.44950767739283e-11
84,0.095000,5.458433705030075e-11
85,0.086000,4.366240702324831e-11
86,0.133000,3.214417620966969e-11
87,0.085000,2.55985233010847e-11
88,0.071000,1.885203104734501e-11
89,0.086000,1.509903313490213e-11
90,0.078000,1.108024783036399e-11
91,0.073000,8.882783397723415e-12
92,0.076000,6.497136162408879e-12
93,0.075000,5.2332582711756e-12
94,0.076000,3.837263840011929e-12
95,0.070000,3.08397751780376e-12
96,0.074000,2.317257496997627e-12
97,0.071000,1.908362357028182e-12
98,0.086000,1.410538352786261e-12
99,0.081000,1.255662240851052e-12
