Integration Number,Time (s),Max Area Error
0,0.726000,19.62400013956502
1,0.042000,11.08498894467879
2,0.049000,4.713083602818273
3,0.045000,2.403621114874753
4,0.057000,1.26067345327315
5,0.048000,0.5852361650450746
6,0.044000,0.2563618066897575
7,0.050000,0.07019333019106311
8,0.032000,0.01299623048411602
9,0.036000,0.0041595510001049
10,0.038000,0.002492370771070229
11,0.053000,0.001179684443247231
12,0.077000,0.0005098582916935879
13,0.042000,0.0002452426199750501
14,0.041000,0.0002054834788933757
15,0.068000,7.686555128250117e-05
16,0.049000,2.817971356505744e-05
17,0.042000,2.205964401214011e-05
18,0.044000,1.216743381582397e-05
19,0.063000,3.836878634144725e-06
20,0.050000,2.01365375129825e-06
21,0.060000,1.057272169369128e-06
22,0.046000,8.553328922911163e-07
23,0.055000,2.088943554801048e-07
24,0.042000,1.689509746549689e-07
25,0.053000,5.747541520495503e-08
26,0.048000,4.199240866142873e-08
27,0.055000,2.090468198545636e-08
28,0.049000,5.672271985446287e-09
29,0.034000,4.985282964220517e-09
30,0.054000,1.708852503945479e-09
31,0.036000,1.024573426100517e-09
32,0.039000,5.162184013585147e-10
33,0.031000,3.862901110096573e-10
34,0.054000,9.097456121764935e-11
35,0.024000,8.320955036111854e-11
36,0.041000,3.370792533985423e-11
37,0.032000,1.778976965738366e-11
38,0.038000,1.345989986134555e-11
39,0.038000,4.175548795615214e-12
40,0.044000,2.331579374015291e-12
41,0.033000,7.112088695748753e-13
42,0.029000,5.295763827461997e-13
43,0.045000,1.927347170749272e-13
44,0.026000,1.572075802869222e-13
45,0.045000,7.882583474838611e-14
46,0.030000,4.463096558993129e-14
47,0.051000,1.48769885299771e-14
48,0.036000,7.771561172376096e-15
49,0.029000,7.327471962526033e-15
50,0.052000,7.327471962526033e-15
51,0.051000,5.773159728050814e-15
52,0.051000,4.551914400963142e-15
53,0.065000,4.551914400963142e-15
54,0.191000,4.551914400963142e-15
55,0.643000,4.773959005888173e-15
56,0.609000,4.773959005888173e-15
57,0.606000,4.773959005888173e-15
58,0.609000,4.773959005888173e-15
59,0.943000,3.33066907387547e-15
60,1.234000,1.06581410364015e-14
61,1.808000,3.996802888650564e-15
62,1.386000,3.996802888650564e-15
63,1.701000,3.996802888650564e-15
64,1.737000,4.440892098500626e-15
65,2.002000,3.33066907387547e-15
66,1.860000,4.440892098500626e-15
67,1.691000,3.774758283725532e-15
68,1.474000,2.664535259100376e-15
69,3.101000,3.219646771412954e-15
70,2.444000,3.108624468950438e-15
71,2.220000,3.108624468950438e-15
72,3.451000,3.33066907387547e-15
73,2.978000,4.773959005888173e-15
74,2.271000,3.441691376337985e-15
75,2.261000,3.441691376337985e-15
76,2.419000,5.88418203051333e-15
77,2.271000,4.440892098500626e-15
78,2.192000,5.329070518200751e-15
79,2.146000,9.547918011776346e-15
80,2.216000,2.997602166487923e-15
81,1.984000,3.441691376337985e-15
82,1.631000,3.663735981263017e-15
83,2.702000,4.329869796038111e-15
84,2.250000,3.774758283725532e-15
85,2.393000,3.552713678800501e-15
86,2.239000,3.552713678800501e-15
87,2.099000,3.552713678800501e-15
88,2.619000,3.33066907387547e-15
89,2.861000,3.996802888650564e-15
90,2.510000,6.106226635438361e-15
91,5.192000,3.108624468950438e-15
92,2.823000,3.33066907387547e-15
93,2.575000,3.108624468950438e-15
94,3.264000,3.552713678800501e-15
95,5.156000,3.33066907387547e-15
96,3.630000,3.996802888650564e-15
97,2.321000,4.329869796038111e-15
98,2.061000,3.552713678800501e-15
99,1.970000,3.108624468950438e-15
