Integration Number,Time (s),Max Area Error
0,0.647000,39.59931689353778
1,0.353000,19.18710369430223
2,0.361000,13.99866419621957
3,0.368000,9.112098788031419
4,0.376000,5.482237374539369
5,0.300000,3.464526397989316
6,0.350000,1.409361004216532
7,0.325000,0.655129835103764
8,0.372000,0.2737310372526185
9,0.295000,0.08557909844914025
10,0.349000,0.02417118858918244
11,0.354000,0.007179186758835332
12,0.241000,0.002063061828615709
13,0.324000,0.000583989714790123
14,0.257000,0.0004544154127485989
15,0.361000,0.0001887852562991732
16,0.259000,7.414873519651088e-05
17,0.279000,5.645920657459946e-05
18,0.265000,2.465173708610102e-05
19,0.256000,1.249099193323389e-05
20,0.266000,7.321567762730297e-06
21,0.235000,3.387228470819181e-06
22,0.265000,1.331943599636176e-06
23,0.281000,8.761640293286632e-07
24,0.255000,3.146484148786044e-07
25,0.332000,2.294652911016826e-07
26,0.313000,6.953735187664734e-08
27,0.233000,5.658658408513872e-08
28,0.290000,2.500532958471524e-08
29,0.320000,1.542338212701111e-08
30,0.306000,4.872271697209385e-09
31,0.295000,2.357944950404089e-09
32,0.328000,1.858868836634997e-09
33,0.337000,8.112532867698974e-10
34,0.297000,3.689686334240605e-10
35,0.278000,1.565798601887991e-10
36,0.250000,1.13162590409388e-10
37,0.262000,4.289313348948554e-11
38,0.770000,2.407274379834234e-11
39,0.320000,1.201705401854269e-11
40,0.363000,6.987743716990735e-12
41,0.287000,3.606892562402209e-12
42,0.294000,1.300071161836058e-12
43,0.423000,8.169021015191902e-13
44,0.472000,4.622968674539152e-13
45,1.186000,2.142730437526552e-13
46,0.949000,9.259260025373806e-14
47,1.988000,5.551115123125783e-14
48,0.998000,6.361577931102147e-14
49,1.377000,8.459899447643693e-14
50,1.199000,8.104628079763643e-14
51,0.779000,8.104628079763643e-14
52,2.411000,8.060219158778636e-14
53,2.915000,8.060219158778636e-14
54,2.433000,8.060219158778636e-14
55,1.824000,8.060219158778636e-14
56,2.941000,7.371880883511039e-14
57,2.239000,6.861178292183467e-14
58,2.883000,3.430589146091734e-14
59,3.887000,4.640732242933154e-14
60,3.033000,3.252953462151709e-14
61,2.622000,3.230749001659206e-14
62,2.226000,3.219646771412954e-14
63,2.447000,3.663735981263017e-14
64,4.388000,3.519406988061746e-14
65,4.861000,3.519406988061746e-14
66,2.542000,3.375077994860476e-14
67,2.616000,3.375077994860476e-14
68,3.824000,3.186340080674199e-14
69,12.662000,3.26405569239796e-14
70,6.469000,3.430589146091734e-14
71,4.029000,3.26405569239796e-14
72,5.161000,3.11972669919669e-14
73,7.339000,3.26405569239796e-14
74,4.663000,3.141931159689193e-14
75,3.512000,3.286260152890463e-14
76,3.097000,3.419486915845482e-14
77,3.014000,3.286260152890463e-14
78,2.759000,3.430589146091734e-14
79,3.019000,3.286260152890463e-14
80,3.013000,3.141931159689193e-14
81,4.711000,3.286260152890463e-14
82,3.662000,2.953193245502916e-14
83,7.019000,2.897682094271659e-14
84,3.804000,2.986499936241671e-14
85,2.929000,3.241851231905457e-14
86,3.591000,3.019806626980426e-14
87,3.879000,2.930988785010413e-14
88,4.226000,2.953193245502916e-14
89,4.360000,2.875477633779155e-14
90,4.785000,2.731148640577885e-14
91,9.161000,2.819966482547898e-14
92,6.366000,2.97539770599542e-14
93,5.863000,2.97539770599542e-14
94,3.615000,4.329869796038111e-14
95,7.173000,4.04121180963557e-14
96,8.890000,4.729550084903167e-14
97,4.596000,5.46229728115577e-14
98,4.513000,3.952393967665557e-14
99,3.427000,4.285460875053104e-14
