Integration Number,Time (s),Max Area Error
0,0.050000,0.3544715625747589
1,0.014000,0.02504729577106513
2,0.008000,0.02504729577106446
3,0.008000,0.02504729577106446
4,0.009000,0.000600363920633562
5,0.011000,0.0006003639206328959
6,0.034000,0.0006003639206331179
7,0.139000,0.0006003639206331179
8,0.460000,0.0006003639206331179
9,0.656000,0.0002361843745185555
10,0.617000,9.508700502114387e-05
11,0.782000,3.874354711241867e-05
12,0.782000,1.598478308295626e-05
13,0.770000,6.593497665074999e-06
14,0.766000,2.739529927131557e-06
15,0.739000,1.135964367349196e-06
16,0.787000,4.736480776479368e-07
17,0.753000,1.963870523979949e-07
18,0.743000,8.200301149230427e-08
19,0.791000,3.404122594918846e-08
20,0.755000,1.420345796532274e-08
21,0.742000,5.900556709903526e-09
22,0.792000,2.46340081666574e-09
23,0.756000,1.022248730109254e-09
24,0.746000,4.269979925197731e-10
25,0.790000,1.773001745419833e-10
26,0.772000,7.399081347614356e-11
27,0.775000,3.074207555187058e-11
28,0.805000,1.283639861071606e-11
29,0.771000,5.328293362083514e-12
30,0.749000,2.226441253583289e-12
31,0.804000,9.243716903029053e-13
32,0.772000,3.863576125695545e-13
33,0.747000,1.596500709410975e-13
34,0.805000,6.639133687258436e-14
35,0.765000,2.775557561562891e-14
36,0.762000,1.176836406102666e-14
37,0.762000,4.218847493575595e-15
38,0.822000,2.55351295663786e-15
39,0.884000,1.332267629550188e-15
40,1.088000,6.661338147750939e-16
41,1.098000,4.440892098500626e-16
42,1.459000,5.551115123125783e-16
43,48.671000,3.33066907387547e-16
44,18.400000,6.661338147750939e-16
45,4.024000,5.551115123125783e-16
46,1.197000,5.551115123125783e-16
47,1.192000,1.110223024625157e-15
48,21.569000,8.881784197001252e-16
49,18.220000,1.554312234475219e-15
50,5.415000,1.77635683940025e-15
51,3.115000,4.440892098500626e-16
52,6.585000,1.332267629550188e-15
53,2.308000,1.110223024625157e-15
54,0.997000,6.661338147750939e-16
55,1.028000,4.440892098500626e-16
56,1.226000,6.661338147750939e-16
57,2.403000,6.661338147750939e-16
58,2.384000,4.440892098500626e-16
59,10.578000,4.440892098500626e-16
60,172.058000,2.220446049250313e-16
