Integration Number,Time (s),Max Area Error
0,0.125000,1.869578271848136
1,0.040000,0.7816270970507666
2,0.032000,0.3855956345347141
3,0.028000,0.1368852998948963
4,0.032000,0.01088888034413316
5,0.021000,0.01088888034413282
6,0.051000,0.0108888803441326
7,0.263000,0.003375454743040351
8,0.203000,0.00126978537235134
9,0.208000,0.000476548353716133
10,0.213000,0.0001865507452469828
11,0.207000,7.516920133832095e-05
12,0.199000,3.185329953381277e-05
13,0.169000,1.781891927699064e-05
14,0.233000,6.020804083184395e-06
15,0.200000,2.273067166269627e-06
16,0.185000,9.228976908248754e-07
17,0.213000,3.159948791520151e-07
18,0.229000,1.273543965840673e-07
19,0.193000,5.165194805201168e-08
20,0.182000,2.232240547961339e-08
21,0.308000,8.350881985919045e-09
22,0.192000,3.338635701233272e-09
23,0.177000,1.861422349591635e-09
24,0.173000,6.984535172449569e-10
25,0.219000,2.719073854962062e-10
26,0.190000,1.757581857830814e-10
27,0.210000,6.743716696178126e-11
28,0.192000,2.529731979450389e-11
29,0.203000,9.796163880082531e-12
30,0.175000,3.613775945154885e-12
31,0.224000,1.390665360645471e-12
32,0.184000,5.084821452783217e-13
33,0.183000,2.12940776123105e-13
34,0.186000,1.068034549689401e-13
35,0.179000,5.795364188543317e-14
36,0.177000,3.463895836830488e-14
37,0.180000,1.587618925213974e-14
38,0.199000,9.214851104388799e-15
39,0.184000,8.659739592076221e-15
40,0.278000,8.659739592076221e-15
41,0.603000,8.659739592076221e-15
42,0.580000,8.659739592076221e-15
43,0.578000,8.659739592076221e-15
44,0.580000,8.659739592076221e-15
45,1.218000,8.881784197001252e-15
46,1.647000,8.659739592076221e-15
47,1.661000,7.771561172376096e-15
48,1.147000,6.217248937900877e-15
49,1.264000,6.328271240363392e-15
50,1.727000,6.661338147750939e-15
51,1.685000,6.328271240363392e-15
52,2.069000,6.217248937900877e-15
53,1.743000,6.550315845288424e-15
54,1.832000,6.217248937900877e-15
55,1.609000,6.550315845288424e-15
56,1.608000,6.550315845288424e-15
57,1.590000,6.328271240363392e-15
58,1.567000,6.328271240363392e-15
59,1.236000,6.328271240363392e-15
60,1.241000,6.328271240363392e-15
61,1.323000,6.328271240363392e-15
62,1.188000,6.661338147750939e-15
63,1.773000,6.661338147750939e-15
64,1.994000,6.550315845288424e-15
65,2.054000,6.661338147750939e-15
66,2.334000,6.661338147750939e-15
67,2.302000,6.328271240363392e-15
68,3.478000,6.217248937900877e-15
69,2.878000,6.550315845288424e-15
70,2.734000,6.550315845288424e-15
71,4.548000,6.550315845288424e-15
72,3.640000,6.217248937900877e-15
73,3.920000,6.883382752675971e-15
74,3.789000,6.883382752675971e-15
75,2.892000,6.883382752675971e-15
76,3.174000,6.550315845288424e-15
77,2.695000,6.883382752675971e-15
78,2.150000,6.550315845288424e-15
79,2.382000,6.550315845288424e-15
80,2.354000,6.550315845288424e-15
81,2.510000,6.217248937900877e-15
82,2.905000,5.995204332975845e-15
83,2.961000,6.439293542825908e-15
84,2.913000,6.439293542825908e-15
85,3.046000,6.439293542825908e-15
86,2.576000,5.995204332975845e-15
87,2.041000,6.439293542825908e-15
88,2.367000,5.995204332975845e-15
89,3.552000,6.439293542825908e-15
90,3.156000,6.439293542825908e-15
91,2.683000,5.995204332975845e-15
92,2.637000,6.439293542825908e-15
93,2.546000,6.439293542825908e-15
94,2.469000,6.439293542825908e-15
95,2.432000,6.439293542825908e-15
96,2.221000,6.883382752675971e-15
97,1.984000,6.661338147750939e-15
98,1.935000,6.661338147750939e-15
99,1.825000,6.217248937900877e-15
