Integration Number,Time (s),Max Area Error
0,0.123000,0.8834477419234652
1,0.039000,0.1683142731090099
2,0.021000,0.05085376556373111
3,0.016000,0.03047680799767272
4,0.018000,0.01676107185204723
5,0.017000,0.007162367863379648
6,0.016000,0.003983637872529533
7,0.022000,0.001444711295955026
8,0.016000,0.001336345486642632
9,0.034000,0.0005997078411046353
10,0.027000,0.0002925284260537619
11,0.043000,0.0001333591017878
12,0.027000,7.931776604497287e-05
13,0.028000,4.68870949197342e-05
14,0.045000,1.894115341638525e-05
15,0.037000,8.361325396055719e-06
16,0.024000,5.630582666227291e-06
17,0.047000,2.282402856490506e-06
18,0.045000,1.465269927836133e-06
19,0.029000,7.089111087044131e-07
20,0.024000,4.234633308453084e-07
21,0.025000,2.462232522315588e-07
22,0.027000,9.987196480931715e-08
23,0.040000,3.453554375809631e-08
24,0.015000,3.153842276226726e-08
25,0.018000,2.694280709647501e-08
26,0.037000,1.039179253758959e-08
27,0.020000,7.260029577516036e-09
28,0.039000,2.695986767164982e-09
29,0.015000,2.379562991094986e-09
30,0.038000,9.036564829756344e-10
31,0.024000,4.785027929443686e-10
32,0.034000,2.267888099538595e-10
33,0.025000,1.320307196905901e-10
34,0.029000,8.208977941848161e-11
35,0.022000,3.70776742641965e-11
36,0.044000,1.219235823413101e-11
37,0.016000,1.131417182165251e-11
38,0.046000,3.998579245489964e-12
39,0.050000,1.50890411276805e-12
40,0.020000,1.081912337497215e-12
41,0.053000,3.446132268436486e-13
42,0.023000,2.160494005920555e-13
43,0.032000,5.573319583618286e-14
44,0.018000,5.062616992290714e-14
45,0.032000,1.687538997430238e-14
46,0.026000,1.287858708565182e-14
47,0.035000,4.662936703425657e-15
48,0.022000,4.440892098500626e-15
49,0.028000,3.663735981263017e-15
50,0.037000,4.662936703425657e-15
51,0.049000,4.440892098500626e-15
52,0.057000,4.662936703425657e-15
53,0.283000,4.662936703425657e-15
54,0.925000,4.662936703425657e-15
55,0.722000,4.662936703425657e-15
56,0.560000,4.662936703425657e-15
57,0.572000,4.662936703425657e-15
58,1.055000,4.440892098500626e-15
59,1.047000,4.440892098500626e-15
60,1.168000,4.440892098500626e-15
61,1.518000,4.440892098500626e-15
62,1.971000,4.440892098500626e-15
63,1.775000,4.440892098500626e-15
64,1.850000,4.440892098500626e-15
65,1.691000,4.440892098500626e-15
66,1.931000,4.440892098500626e-15
67,3.116000,4.440892098500626e-15
68,1.896000,4.440892098500626e-15
69,2.131000,4.440892098500626e-15
70,3.364000,4.440892098500626e-15
71,1.530000,4.884981308350689e-15
72,1.511000,4.884981308350689e-15
73,1.446000,4.440892098500626e-15
74,3.155000,4.440892098500626e-15
75,1.609000,4.440892098500626e-15
76,1.591000,4.884981308350689e-15
77,1.567000,4.884981308350689e-15
78,1.535000,4.884981308350689e-15
79,1.588000,4.884981308350689e-15
80,1.603000,4.884981308350689e-15
81,1.539000,4.884981308350689e-15
82,1.545000,4.884981308350689e-15
83,1.587000,4.884981308350689e-15
84,1.560000,4.884981308350689e-15
85,1.552000,4.884981308350689e-15
86,1.631000,4.884981308350689e-15
87,1.673000,4.884981308350689e-15
88,1.623000,4.884981308350689e-15
89,1.691000,4.884981308350689e-15
90,1.760000,4.662936703425657e-15
91,2.115000,4.884981308350689e-15
92,1.590000,5.10702591327572e-15
93,1.929000,4.884981308350689e-15
94,1.951000,4.884981308350689e-15
95,1.893000,4.884981308350689e-15
96,2.540000,3.33066907387547e-15
97,2.475000,3.33066907387547e-15
98,2.339000,3.33066907387547e-15
99,1.957000,3.33066907387547e-15
