Integration Number,Time (s),Max Area Error
0,0.077000,0.7129265093565254
1,0.033000,0.1457786399291983
2,0.018000,0.057278973728764
3,0.013000,0.04062731346899184
4,0.027000,0.01078307309558268
5,0.011000,0.01050631016818482
6,0.023000,0.003479179559591761
7,0.021000,0.002515054295405328
8,0.020000,0.0007913123112535114
9,0.014000,0.0006928247596174053
10,0.028000,0.0002282755296638683
11,0.016000,0.0001886945639858473
12,0.028000,5.885664265581347e-05
13,0.021000,2.928733323948052e-05
14,0.015000,1.857342939970419e-05
15,0.045000,5.155817432100918e-06
16,0.016000,3.984012085789246e-06
17,0.039000,1.567053579121236e-06
18,0.016000,9.80977350906187e-07
19,0.024000,4.670758181335444e-07
20,0.020000,2.358627535503643e-07
21,0.028000,7.331440543545398e-08
22,0.013000,7.082896602561561e-08
23,0.035000,2.240054963742466e-08
24,0.013000,2.117312636329416e-08
25,0.037000,6.597885127135328e-09
26,0.014000,6.255609807936935e-09
27,0.036000,1.99584504478878e-09
28,0.031000,6.289245790824793e-10
29,0.014000,6.208971115029271e-10
30,0.030000,2.365736495590909e-10
31,0.016000,1.764721702102179e-10
32,0.037000,5.574585237866359e-11
33,0.022000,4.833100586409955e-11
34,0.031000,1.569322449768151e-11
35,0.038000,4.831135491656369e-12
36,0.019000,4.139688591919821e-12
37,0.037000,1.27853283515833e-12
38,0.017000,1.258104731505227e-12
39,0.032000,5.710987238671805e-13
40,0.026000,3.603783937933258e-13
41,0.031000,1.143529715363911e-13
42,0.027000,6.006306563222097e-14
43,0.034000,3.175237850427948e-14
44,0.028000,1.620925615952729e-14
45,0.025000,8.215650382226158e-15
46,0.038000,4.218847493575595e-15
47,0.047000,3.996802888650564e-15
48,0.056000,3.33066907387547e-15
49,0.043000,2.775557561562891e-15
50,0.042000,2.664535259100376e-15
51,0.049000,2.664535259100376e-15
52,0.048000,2.331468351712829e-15
53,0.057000,2.331468351712829e-15
54,0.206000,2.331468351712829e-15
55,0.819000,2.55351295663786e-15
56,0.729000,2.55351295663786e-15
57,0.586000,2.55351295663786e-15
58,0.677000,2.55351295663786e-15
59,0.823000,2.886579864025407e-15
60,1.010000,1.998401444325282e-15
61,1.413000,2.331468351712829e-15
62,1.357000,2.331468351712829e-15
63,1.642000,2.55351295663786e-15
64,1.512000,2.220446049250313e-15
65,3.964000,2.331468351712829e-15
66,1.578000,2.220446049250313e-15
67,1.837000,2.220446049250313e-15
68,1.958000,1.998401444325282e-15
69,2.385000,1.77635683940025e-15
70,2.361000,1.998401444325282e-15
71,2.847000,1.77635683940025e-15
72,10.248000,1.77635683940025e-15
73,2.393000,1.77635683940025e-15
74,2.008000,1.77635683940025e-15
75,2.281000,2.109423746787797e-15
76,2.165000,2.109423746787797e-15
77,5.451000,2.109423746787797e-15
78,12.123000,2.109423746787797e-15
79,3.376000,2.109423746787797e-15
80,6.080000,1.887379141862766e-15
81,7.103000,1.887379141862766e-15
82,5.705000,2.109423746787797e-15
83,1.989000,2.109423746787797e-15
84,1.764000,2.109423746787797e-15
85,2.090000,2.109423746787797e-15
86,2.165000,2.109423746787797e-15
87,2.059000,2.109423746787797e-15
88,2.110000,2.109423746787797e-15
89,2.344000,1.887379141862766e-15
90,7.959000,1.998401444325282e-15
91,1.917000,1.998401444325282e-15
92,1.850000,1.998401444325282e-15
93,2.197000,1.77635683940025e-15
94,2.449000,1.998401444325282e-15
95,1.381000,1.77635683940025e-15
96,2.045000,1.77635683940025e-15
97,1.815000,1.887379141862766e-15
98,1.463000,1.665334536937735e-15
99,1.659000,1.77635683940025e-15
