Integration Number,Time (s),Max Area Error
0,0.326000,54.97898988397938
1,0.098000,21.36949688659621
2,0.124000,13.06096065662854
3,0.135000,7.100203778402905
4,0.152000,3.089758497855567
5,0.152000,2.303116243786307
6,0.155000,2.277730159366282
7,0.149000,1.037107767961145
8,0.131000,0.7055709846910226
9,0.125000,0.7022648512441092
10,0.115000,0.6956162802320703
11,0.115000,0.664671748458438
12,0.130000,0.6218159845953943
13,0.111000,0.5664245148104109
14,0.115000,0.4824206858178647
15,0.112000,0.4161888469725258
16,0.118000,0.3497599455586923
17,0.130000,0.2834171956830189
18,0.118000,0.2191341588176284
19,0.114000,0.1726995407533393
20,0.139000,0.1261181284686954
21,0.122000,0.09890769402910238
22,0.108000,0.06595966002839848
23,0.121000,0.05311220737442501
24,0.122000,0.03410751108033128
25,0.106000,0.0277230398957129
26,0.107000,0.01806197520104891
27,0.107000,0.01440626948988633
28,0.112000,0.01005899352992057
29,0.130000,0.007411961150398216
30,0.126000,0.005573474756602748
31,0.137000,0.003908426842641255
32,0.120000,0.002988865518638195
33,0.118000,0.002071385917171154
34,0.133000,0.001646624144467812
35,0.122000,0.001063226757112679
36,0.122000,0.0008322510816313189
37,0.140000,0.0005743812663828729
38,0.111000,0.0004557319144635752
39,0.117000,0.0003060719216694263
40,0.121000,0.0002541062097667357
41,0.106000,0.0001651081526812259
42,0.117000,0.0001345048726016929
43,0.127000,9.752821297648318e-05
44,0.120000,7.952429091440116e-05
45,0.114000,6.413940524607753e-05
46,0.118000,5.217951306102364e-05
47,0.098000,4.211896536343573e-05
48,0.166000,3.415444663401601e-05
49,0.119000,2.764835241952923e-05
50,0.107000,2.23298003036998e-05
51,0.127000,1.811408827268046e-05
52,0.106000,1.464567317999155e-05
53,0.111000,1.189783869048888e-05
54,0.122000,9.553700889508576e-06
55,0.119000,7.787328877517652e-06
56,0.128000,6.270435020772069e-06
57,0.125000,5.095864826776264e-06
58,0.119000,4.112840725101208e-06
59,0.128000,3.328849849326687e-06
60,0.116000,2.692475667975813e-06
61,0.130000,2.182293382446687e-06
62,0.126000,1.759570678938616e-06
63,0.118000,1.424088169832416e-06
64,0.127000,1.1525414653768e-06
65,0.128000,9.303471912858186e-07
66,0.123000,7.540998958610601e-07
67,0.115000,6.090794422153323e-07
68,0.127000,4.930224575261377e-07
69,0.127000,3.984689225244864e-07
70,0.135000,3.222188189599962e-07
71,0.128000,2.604629187885621e-07
72,0.123000,2.104048499873556e-07
73,0.122000,1.702287437677086e-07
74,0.125000,1.37599162730595e-07
75,0.126000,1.112806791159215e-07
76,0.105000,8.997935507792931e-08
77,0.118000,7.272957613935205e-08
78,0.137000,5.878417219662424e-08
79,0.120000,4.752520132988991e-08
80,0.133000,3.841652396197048e-08
81,0.121000,3.105102774902946e-08
82,0.124000,2.511527563697769e-08
83,0.128000,2.028720835767217e-08
84,0.126000,1.640486457787915e-08
85,0.127000,1.325728993251118e-08
86,0.142000,1.071406519059792e-08
87,0.103000,8.661832806566849e-09
88,0.111000,7.000653168276472e-09
89,0.119000,5.656801915776555e-09
90,0.125000,4.573385670170182e-09
91,0.128000,3.697012695980106e-09
92,0.112000,2.987321501279894e-09
93,0.125000,2.415407651668033e-09
94,0.114000,1.951820038925689e-09
95,0.134000,1.577769692673314e-09
96,0.109000,1.275272554224216e-09
97,0.134000,1.031004837059868e-09
98,0.112000,8.330589551519552e-10
99,0.109000,6.734615087822249e-10
